Card,Row,Word,Tag 1,Colour,Difficulty,Length,Difficulty_total
12,1,VIRTUAL PRIVATE NETWORK,Technology,1,3.0,23.0,9.0
12,3,MORSE CODE,Technology,1,2.0,10.0,9.0
13,4,HOPSCOTCH,Games,1,2.0,9.0,9.0
13,5,MANSA MUSA,People and Characters,1,2.0,10.0,9.0
13,2,TABLE TENNIS,Sports,1,1.0,12.0,9.0
13,3,FLOYD MAYWEATHER JR.,People and Characters,1,2.0,20.0,9.0
13,1,MAHATMA GANDHI,People and Characters,1,2.0,14.0,9.0
14,4,AMASIE,Food and Drink,1,3.0,6.0,9.0
14,3,BLINK 182,People and Characters,1,2.0,9.0,9.0
14,5,DESPICABLE ME,Movies,1,1.0,13.0,9.0
14,2,"I'M BLUE, DA BA DEE DA BA DI",Music,1,1.0,28.0,9.0
14,1,RUN JOZI,Music,1,2.0,8.0,9.0
15,4,CHAKALAKA,Food and Drink,1,2.0,9.0,9.0
15,3,*SHOOTING*,Actions,1,1.0,10.0,9.0
15,5,ZAPIRO,People and Characters,1,2.0,6.0,9.0
15,2,"WP, JOU LEKKER DING",Culture,1,1.0,19.0,9.0
15,1,REQUIEM FOR A DREAM ,Movies,1,3.0,20.0,9.0
18,2,*HITCHHIKING*,Actions,1,1.0,13.0,8.0
18,5,JOE ROGAN PODCAST,TV Show,1,1.0,17.0,8.0
18,1,MIMOSA,Food and Drink,1,2.0,6.0,8.0
18,3,TOM BRADY,People and Characters,1,3.0,9.0,8.0
18,4,HALLOWEEN,Events,1,1.0,9.0,8.0
19,3,LAAITIE,Culture,1,1.0,7.0,8.0
19,1,HOME ALONE,Movies,1,2.0,10.0,8.0
19,5,SPUD,Movies,1,2.0,4.0,8.0
19,4,BLEACH,TV Show,1,2.0,6.0,8.0
19,2,BRAAI DAY,Events,1,1.0,9.0,8.0
20,3,GRAVE OF THE FIREFLIES,Movies,1,3.0,22.0,9.0
20,1,GET OUT,Movies,1,2.0,7.0,9.0
20,5,5 SECOND RULE,Games,1,2.0,13.0,9.0
20,2,WIMPY,Companies,1,1.0,5.0,9.0
20,4,VAPE,Things,1,1.0,4.0,9.0
21,1,SLAUGHTERHOUSE-FIVE,Language and Literature ,1,3.0,19.0,8.0
21,4,UNITED NATIONS,History,1,1.0,14.0,8.0
21,5,ZEBRA,Animals,1,1.0,5.0,8.0
21,2,GOLDEN GATE BRIDGE,Geography,1,1.0,18.0,8.0
21,3,JAN SMUTS,People and Characters,1,2.0,9.0,8.0
23,5,SHOPRITE,Companies,1,1.0,8.0,8.0
23,4,DEATH STAR,Language and Literature ,1,2.0,10.0,8.0
23,2,BIOLUMINESCENCE,Math and Science,1,3.0,15.0,8.0
23,3,SAMUEL L. JACKSON,People and Characters,1,1.0,17.0,8.0
23,1,AND UNITED WE SHALL STAND,Music,1,1.0,25.0,8.0
24,2,AIR FRYER,Things,1,1.0,9.0,9.0
24,4,TOM HOLLAND,People and Characters,1,2.0,11.0,9.0
24,3,EMMA STONE,People and Characters,1,2.0,10.0,9.0
24,1,FAJITAS,Food and Drink,1,2.0,7.0,9.0
24,5,KILL BILL,Movies,1,2.0,9.0,9.0
25,1,THE BIG HOLE ,Geography,1,1.0,13.0,9.0
25,2,MASTERCHEF,TV Show,1,2.0,10.0,9.0
25,3,FIBONACCI SEQUENCE,Math and Science,1,3.0,18.0,9.0
25,4,PICK 'N PAY,Companies,1,1.0,11.0,9.0
25,5,GLOBAL POSITIONING SYSTEM,Technology,1,2.0,25.0,9.0
26,1,JUSTIN TIMBERLAKE,People and Characters,1,1.0,17.0,9.0
26,2,PROOF OF STAKE,Technology,1,3.0,14.0,9.0
26,3,MASCARA,Things,1,1.0,7.0,9.0
26,4,TAEKWONDO,Sports,1,2.0,9.0,9.0
26,5,IN THE MEANTIME,Music,1,2.0,15.0,9.0
27,1,BBC,TV Show,1,1.0,3.0,9.0
27,3,EINA MALÈNA,Culture,1,2.0,11.0,9.0
27,2,"WHAT IS LOVE, BABY DON'T HURT ME",Music,1,2.0,32.0,9.0
27,5,AMAZING RACE,TV Show,1,2.0,12.0,9.0
27,4,7 CARDS,Games,1,2.0,7.0,9.0
28,4,BREAKING BAD,TV Show,1,1.0,12.0,9.0
28,2,WESTWORLD,TV Show,1,3.0,9.0,9.0
28,1,SURVIVOR,TV Show,1,1.0,8.0,9.0
28,3,HOUSE OF CRONIES,Games,1,3.0,16.0,9.0
28,5,CRICKET,Sports,1,1.0,7.0,9.0
29,2,PROJECT RUNWAY,TV Show,1,2.0,14.0,8.0
29,5,GUY FAWKES ,Events,1,1.0,11.0,8.0
29,4,HITCHHIKER'S GUIDE TO GALAXY,Language and Literature ,1,2.0,28.0,8.0
29,3,TERMINATOR,Movies,1,1.0,10.0,8.0
29,1,RED DEAD REDEMPTION,Games,1,2.0,19.0,8.0
30,3,"BET ON IT, BET ON IT",Music,1,2.0,20.0,9.0
30,4,CAPE TOWN KLOPSE,Culture,1,1.0,16.0,9.0
30,1,FINDING NEMO,Movies,1,1.0,12.0,9.0
30,5,MAHER ZAIN,Music,1,3.0,10.0,9.0
30,2,HARVEST FESTIVAL,Events,1,2.0,16.0,9.0
31,5,ALEXANDER FLEMING,People and Characters,1,3.0,17.0,9.0
31,1,ARTIFICIAL INTELLIGENCE,Technology,1,1.0,23.0,9.0
31,2,RUBIK'S CUBE,Things,1,1.0,12.0,9.0
31,3,I WANNA BE A BILLIONAIRE,Music,1,1.0,24.0,9.0
31,4,INDABA,Culture,1,3.0,6.0,9.0
35,3,EVERYBODY LOVES RAYMOND,TV Show,1,2.0,23.0,8.0
35,2,ZUCCHINI,Food and Drink,1,2.0,8.0,8.0
35,5,STEP BROTHERS ,Movies,1,1.0,14.0,8.0
35,1,V FOR VENDETTA,Movies,1,2.0,14.0,8.0
35,4,LABOUR DAY,Events,1,1.0,10.0,8.0
36,5,FAIRY TAIL,TV Show,1,2.0,10.0,9.0
36,4,PAUL LEVESQUE,People and Characters,1,2.0,13.0,9.0
36,1,YOU,Companies,1,1.0,3.0,9.0
36,3,DEXTER,TV Show,1,2.0,6.0,9.0
36,2,SISTERHOOD OF THE TRAVELING PANTS,Movies,1,2.0,33.0,9.0
37,5,BIG BANG THEORY,TV Show,1,1.0,15.0,7.0
37,1,CAN'T GET YOU OUT OF MY HEAD,Music,1,2.0,28.0,7.0
37,2,RUSSIA,Geography,1,1.0,6.0,7.0
37,3,THE ELDER SCROLLS,Games,1,2.0,17.0,7.0
37,4,"HARDER, BETTER, FASTER, STRONGER",Music,1,1.0,32.0,7.0
38,4,HUMMUS,Food and Drink,1,1.0,6.0,7.0
38,3,MOTHER'S DAY,Events,1,1.0,12.0,7.0
38,2,THANKSGIVING,Events,1,1.0,12.0,7.0
38,1,ZEF,Culture,1,2.0,3.0,7.0
38,5,JENNIFER LAWRENCE,People and Characters,1,2.0,17.0,7.0
39,5,*EXERCISING*,Actions,1,1.0,12.0,9.0
39,4,BLOOD DIAMOND,Movies,1,2.0,13.0,9.0
39,3,FRUITY LOOPS,Music,1,3.0,12.0,9.0
39,2,SMALLVILLE,TV Show,1,2.0,10.0,9.0
39,1,HELEN ZILLE,People and Characters,1,1.0,11.0,9.0
40,1,SMOSH,People and Characters,1,3.0,5.0,9.0
40,2,BENNI MCCARTHY,People and Characters,1,2.0,14.0,9.0
40,5,DJANGO UNCHAINED,Movies,1,2.0,16.0,9.0
40,4,KANYE WEST,People and Characters,1,1.0,10.0,9.0
40,3,BOKKE,Culture,1,1.0,5.0,9.0
42,5,ALL I WANT FOR CHRISTMAS IS YOU,Music,1,2.0,31.0,8.0
42,1,LEMON CREAMS,Food and Drink,1,1.0,12.0,8.0
42,2,30 SECONDS ,Games,1,1.0,11.0,8.0
42,4,PURSUIT OF HAPPYNESS,Movies,1,2.0,20.0,8.0
42,3,LOS ANGELES,Geography,1,2.0,11.0,8.0
43,5,TRAPPE VAN VERGELYKING,Language and Literature ,1,1.0,22.0,8.0
43,4,ALAN TURING,People and Characters,1,3.0,11.0,8.0
43,2,LAW AND ORDER,TV Show,1,2.0,13.0,8.0
43,3,CHEDDAR CHEESE,Food and Drink,1,1.0,14.0,8.0
43,1,SWISS ARMY KNIFE,Things,1,1.0,16.0,8.0
44,1,JACOB ZUMA,People and Characters,1,1.0,10.0,8.0
44,5,AMERICAN FOOTBALL,Sports,1,1.0,17.0,8.0
44,4,BROOKLYN NINE-NINE,TV Show,1,2.0,18.0,8.0
44,3,CITY OF GOD,Movies,1,2.0,11.0,8.0
44,2,BLACK DEATH,History,1,2.0,11.0,8.0
45,3,CALCULUS,Math and Science,1,2.0,8.0,7.0
45,1,CURIOUS CASE OF BENJAMIN BUTTON,Movies,1,2.0,31.0,7.0
45,4,DOOM,Games,1,1.0,,7.0
45,5,HOCKEY,Sports,1,1.0,6.0,7.0
45,2,WE ARE THE CHAMPIONS,Music,1,1.0,20.0,7.0
46,1,X-FILES,TV Show,1,2.0,7.0,9.0
46,3,IMAGINE DRAGONS,People and Characters,1,1.0,15.0,9.0
46,4,*RUNNING*,Actions,1,1.0,9.0,9.0
46,5,TURING MACHINE,Math and Science,1,3.0,14.0,9.0
46,2,THEY WERE ALL YELLOW,Music,1,2.0,20.0,9.0
47,2,GLOBAL WARMING,Events,1,1.0,14.0,8.0
47,4,SOUTH PARK,TV Show,1,1.0,10.0,8.0
47,3,30 ROCK,TV Show,1,2.0,7.0,8.0
47,1,WOODY ALLEN,People and Characters,1,2.0,11.0,8.0
47,5,ADVENTURE TIME,TV Show,1,2.0,14.0,8.0
50,2,SEINFELD,TV Show,1,3.0,8.0,9.0
50,1,SYDNEY OPERA HOUSE,Geography,1,1.0,18.0,9.0
50,3,DRAGON PRINCE,TV Show,1,2.0,13.0,9.0
50,5,HIGH SCHOOL MUSICAL 3,Movies,1,1.0,21.0,9.0
50,4,PATRICE MOTSEPE,People and Characters,1,2.0,15.0,9.0
51,4,STETHOSCOPE,Things,1,2.0,11.0,8.0
51,5,TOY STORY,Movies,1,1.0,9.0,8.0
51,1,THE SUPER BOWL,Events,1,1.0,14.0,8.0
51,2,JURASSIC PARK,Movies,1,1.0,13.0,8.0
51,3,OZARK,TV Show,1,3.0,5.0,8.0
52,3,*KNITTING*,Actions,1,2.0,10.0,9.0
52,4,ZENDAYA,People and Characters,1,2.0,7.0,9.0
52,5,VASELINE,Companies,1,1.0,8.0,9.0
52,1,MARK RUFFALO,People and Characters,1,2.0,12.0,9.0
52,2,PAIN AND GLORY,Movies,1,2.0,14.0,9.0
53,4,MET EISH BRA,Culture,1,2.0,12.0,9.0
53,5,KOMBI,Culture,1,2.0,5.0,9.0
53,1,ROBSON WALTON,People and Characters,1,2.0,13.0,9.0
53,3,PAC-MAN,Games,1,1.0,7.0,9.0
53,2,TATJANA SMITH,People and Characters,1,2.0,13.0,9.0
54,4,POTATO WARRAS,Food and Drink,1,2.0,13.0,9.0
54,5,GEM SQUASH,Food and Drink,1,3.0,10.0,9.0
54,1,*MEXICAN WAVE*,Actions,1,1.0,14.0,9.0
54,3,*CLIMBING*,Actions,1,2.0,10.0,9.0
54,2,TSOTSI,Movies,1,1.0,6.0,9.0
55,3,HAPPY BIRTHDAY TO YOU,Music,1,1.0,21.0,9.0
55,2,PUMPED UP KICKS ,Music,1,2.0,16.0,9.0
55,1,JUST KEEP SWIMING,Music,1,1.0,17.0,9.0
55,5,CHALTE CHALTE,Movies,1,3.0,13.0,9.0
55,4,ONE-PUNCH MAN,TV Show,1,2.0,6.0,9.0
56,2,TOKOLOSHE,Culture,1,2.0,9.0,9.0
56,4,GODFATHER,Movies,1,1.0,9.0,9.0
56,5,IN THE 18 AREA,Music,1,3.0,14.0,9.0
56,3,BOONDOCKS,TV Show,1,2.0,9.0,9.0
56,1,BOXING DAY,Events,1,1.0,10.0,9.0
57,1,DEVIL WEARS PRADA ,Movies,1,2.0,18.0,9.0
57,5,NATIONAL WOMEN'S DAY,Events,1,2.0,20.0,9.0
57,4,GUY FAWKES DAY,Events,1,2.0,14.0,9.0
57,3,WHAT THE FRIKKADEL,Culture,1,2.0,18.0,9.0
57,2,NEW YORK,Geography,1,1.0,8.0,9.0
59,4,LOGAN PAUL,People and Characters,1,2.0,10.0,8.0
59,5,CINDERELLA,Movies,1,1.0,10.0,8.0
59,3,PICTIONARY,Games,1,2.0,10.0,8.0
59,2,THE PENGUIN,TV Show,1,1.0,11.0,8.0
59,1,MARIE CURIE,People and Characters,1,2.0,11.0,8.0
60,5,GREAT GATSBY,Language and Literature ,1,1.0,12.0,8.0
60,1,WORKERS’ DAY,Events,1,1.0,12.0,8.0
60,4,COWBOY BEBOP,TV Show,1,3.0,12.0,8.0
60,2,GAME OF THRONES,TV Show,1,1.0,15.0,8.0
60,3,DIEGO MARADONA,People and Characters,1,2.0,14.0,8.0
61,4,*COOKING*,Actions,1,1.0,9.0,7.0
61,5,FUTURAMA,TV Show,1,2.0,8.0,7.0
61,3,TETRIS,Games,1,1.0,6.0,7.0
61,1,BIG MOUTH,TV Show,1,2.0,9.0,7.0
61,2,STANDARD BANK,Companies,1,1.0,13.0,7.0
62,4,SHARPEVILLE,History,1,1.0,11.0,7.0
62,2,DURAN DURAN,Music,1,2.0,11.0,7.0
62,3,CHRIS PRATT,People and Characters,1,2.0,11.0,7.0
62,1,CHRISTMAS DAY,Events,1,1.0,13.0,7.0
62,5,LOVE LANGUAGES,Language and Literature ,1,1.0,14.0,7.0
63,1,EGG FRIED RICE,Food and Drink,1,2.0,14.0,9.0
63,4,MAKE THE CIRCLE BIGGER,Culture,1,2.0,22.0,9.0
63,3,FRUIT CAKE,Food and Drink,1,2.0,10.0,9.0
63,2,NKOSI,Culture,1,2.0,5.0,9.0
63,5,JULIA ROBERTS,People and Characters,1,1.0,13.0,9.0
64,3,EGGNOG,Food and Drink,1,2.0,6.0,7.0
64,5,MOMENTUM,Math and Science,1,1.0,8.0,7.0
64,4,DSTV DECODER,Things,1,1.0,12.0,7.0
64,1,BUSINESS DAY,Events,1,1.0,12.0,7.0
64,2,LITTLE PRINCE,Language and Literature ,1,2.0,13.0,7.0
65,2,WORLD WIDE WEB,Technology,1,1.0,14.0,8.0
65,4,PATRICIA DE LILLE,People and Characters,1,2.0,17.0,8.0
65,5,AT&T,Companies,1,2.0,4.0,8.0
65,3,KING OF THE HILL,TV Show,1,2.0,16.0,8.0
65,1,JOHNNY DEPP,People and Characters,1,1.0,11.0,8.0
68,3,KOEKSISTERS,Culture,1,1.0,11.0,8.0
68,2,CREED,Movies,1,2.0,5.0,8.0
68,1,BOKKOMS,Food and Drink,1,3.0,7.0,8.0
68,4,GANGNAM STYLE,Music,1,1.0,13.0,8.0
68,5,AG NEE MAN,Culture,1,1.0,10.0,8.0
69,4,PRESSURE COOKER,Things,1,2.0,15.0,9.0
69,3,HILARY DUFF,People and Characters,1,2.0,11.0,9.0
69,2,INVICTUS,Movies,1,2.0,8.0,9.0
69,1,VOETSTOOTS,Culture,1,2.0,10.0,9.0
69,5,FIGHT CLUB,Movies,1,1.0,10.0,9.0
70,4,BLUE CHEESE,Food and Drink,1,1.0,11.0,9.0
70,3,FETA,Food and Drink,1,1.0,4.0,9.0
70,2,SEE BOTH SIDES LIKE CHANEL,Music,1,2.0,26.0,9.0
70,5,BASTILLE DAY,Events,1,3.0,12.0,9.0
70,1,CHESS BOXING,Sports,1,2.0,12.0,9.0
71,3,"EARTH, WIND AND FIRE",People and Characters,1,2.0,20.0,9.0
71,5,YASIS,Culture,1,2.0,5.0,9.0
71,1,DAISIES,Events,1,1.0,7.0,9.0
71,4,GULF WAR,History,1,3.0,8.0,9.0
71,2,TOYOTA,Companies,1,1.0,6.0,9.0
72,2,MADAM & EVE,TV Show,1,2.0,11.0,7.0
72,4,JELLY TOTS,Food and Drink,1,1.0,10.0,7.0
72,5,SISTER BETTINA,Music,1,1.0,14.0,7.0
72,3,BEST OF BOTH WORLDS,Music,1,2.0,19.0,7.0
72,1,POKÉMON,Games,1,1.0,7.0,7.0
73,1,YELLOW SUBMARINE,Music,1,1.0,16.0,9.0
73,2,CRYPTOGRAPHY,Technology,1,3.0,12.0,9.0
73,3,STREET FIGHTER ,Games,1,1.0,15.0,9.0
73,4,PRISON BREAK,TV Show,1,2.0,12.0,9.0
73,5,RISK,Games,1,2.0,4.0,9.0
75,1,KUCH KUCH HOTA HAI,Movies,1,2.0,18.0,7.0
75,2,DRAGONBALL Z,TV Show,1,1.0,12.0,7.0
75,5,WATERPOLO,Sports,1,1.0,9.0,7.0
75,3,WINDSURFING,Sports,1,1.0,11.0,7.0
75,4,CHESTER WILLIAMS,People and Characters,1,2.0,16.0,7.0
76,4,OCEAN BASKET,Companies,1,1.0,,9.0
76,5,AMISH,People and Characters,1,3.0,5.0,9.0
76,1,CAPITEC,Companies,1,1.0,7.0,9.0
76,3,WAR AND PEACE,Events,1,2.0,13.0,9.0
76,2,DANNY K,People and Characters,1,2.0,7.0,9.0
77,1,MONOPOLY,Games,1,1.0,8.0,7.0
77,4,KITE RUNNER,Language and Literature ,1,2.0,11.0,7.0
77,2,E.T. ,Movies,1,1.0,5.0,7.0
77,5,MICROPHONE,Things,1,1.0,10.0,7.0
77,3,RENAULT,Companies,1,2.0,,7.0
78,3,THUNEE,Games,1,2.0,6.0,9.0
78,4,WINSTON CHURCHILL,People and Characters,1,1.0,17.0,9.0
78,5,KANTO EARTHQUAKE,History,1,2.0,16.0,9.0
78,1,CASEY NEISTAT,People and Characters,1,2.0,13.0,9.0
78,2,YOU MUSTN'T PUSH!,Culture,1,2.0,17.0,9.0
79,1,SUPERSTORE,TV Show,1,1.0,10.0,8.0
79,5,FIRST NATIONAL BANK,Companies,1,1.0,19.0,8.0
79,3,WORDS WITH FRIENDS,Games,1,2.0,18.0,8.0
79,4,MUVHANGO,TV Show,1,2.0,8.0,8.0
79,2,BIG MAGIC,Language and Literature ,1,2.0,9.0,8.0
81,5,BORIS JOHNSON,People and Characters,1,2.0,13.0,9.0
81,3,TAKKIES,Culture,1,2.0,7.0,9.0
81,4,THE WIRE,TV Show,1,2.0,8.0,9.0
81,2,KAYTRANADA,People and Characters,1,2.0,10.0,9.0
81,1,RAINFOREST,Nature,1,1.0,10.0,9.0
82,1,LUCIANO PAVAROTTI,People and Characters,1,3.0,17.0,8.0
82,2,HULA HOOP,Things,1,1.0,9.0,8.0
82,4,*SNORKELLING*,Actions,1,2.0,13.0,8.0
82,5,THE PUSSYCAT DOLLS,People and Characters,1,1.0,18.0,8.0
82,3,BOEREWORS,Food and Drink,1,1.0,9.0,8.0
83,2,TWELFTH NIGHT,Language and Literature ,1,3.0,13.0,9.0
83,3,BUFFY THE VAMPIRE SLAYER,TV Show,1,2.0,24.0,9.0
83,4,PADEL,Sports,1,1.0,5.0,9.0
83,5,HILLSONG CHURCH,Geography,1,2.0,15.0,9.0
83,1,"WE WILL, WE WILL ROCK YOU",Music,1,1.0,25.0,9.0
84,1,WOODEN SPOON,Things,1,1.0,12.0,9.0
84,5,NOVAK DJOKOVIC,People and Characters,1,3.0,14.0,9.0
84,3,GOOD PLACE,TV Show,1,2.0,10.0,9.0
84,2,NEW YEAR'S EVE,Events,1,1.0,14.0,9.0
84,4,BARBRA STREISAND,People and Characters,1,2.0,16.0,9.0
86,4,TOM HANKS,People and Characters,1,2.0,9.0,9.0
86,5,VOLLEYBALL,Sports,1,2.0,10.0,9.0
86,3,PARMESAN,Food and Drink,1,1.0,8.0,9.0
86,1,I'M EVERY WOMEN,Music,1,1.0,15.0,9.0
86,2,TIRAMISU,Food and Drink,1,3.0,8.0,9.0
87,1,ORPHAN BLACK,TV Show,1,3.0,12.0,8.0
87,2,7DE LAAN,TV Show,1,1.0,8.0,8.0
87,4,DARK KNIGHT ,Movies,1,1.0,12.0,8.0
87,3,VICTOR MATFIELD,People and Characters,1,2.0,15.0,8.0
87,5,THE CRICKET WORLD CUP,Events,1,1.0,21.0,8.0
88,2,COMMUNITY,TV Show,1,2.0,9.0,9.0
88,3,CASUAL DAY,Events,1,1.0,10.0,9.0
88,1,THE FIRST LADY,People and Characters,1,1.0,14.0,9.0
88,5,PARASITE,Movies,1,2.0,8.0,9.0
88,4,ANDY WARHOL,People and Characters,1,3.0,11.0,9.0
89,2,STAR TREK,TV Show,1,2.0,9.0,7.0
89,5,ALL THE SINGLE LADIES,Music,1,1.0,21.0,7.0
89,1,ECOSYSTEM,Math and Science,1,1.0,9.0,7.0
89,4,GRAND THEFT AUTO,Games,1,2.0,16.0,7.0
89,3,ON-ON,Games,1,1.0,5.0,7.0
90,1,CRISTIANO RONALDO,People and Characters,1,1.0,17.0,8.0
90,3,CHRIS HEMSWORTH,People and Characters,1,2.0,15.0,8.0
90,2,LETS GO 50/50 ,Music,1,2.0,14.0,8.0
90,4,TIGER WOODS,People and Characters,1,1.0,11.0,8.0
90,5,TED TALKS,TV Show,1,2.0,9.0,8.0
91,1,SWEET CAROLINE,Music,1,1.0,14.0,7.0
91,2,CHINESE NEW YEAR,Events,1,1.0,16.0,7.0
91,3,TV LICENSE,Things,1,1.0,10.0,7.0
91,4,DRICUS DU PLESSIS,People and Characters,1,2.0,17.0,7.0
91,5,DANIEL CRAIG,People and Characters,1,2.0,12.0,7.0
92,1,PLUTO,Geography,1,1.0,5.0,8.0
92,4,TONY BLAIR,People and Characters,1,2.0,10.0,8.0
92,3,MARK FISH,People and Characters,1,2.0,9.0,8.0
92,5,BADMINTON,Sports,1,2.0,9.0,8.0
92,2,DECIMALS,Math and Science,1,1.0,8.0,8.0
93,4,FERGIE,People and Characters,1,2.0,6.0,9.0
93,3,DISTRICT 9,Movies,1,2.0,10.0,9.0
93,2,MOZZARELLA,Food and Drink,1,1.0,10.0,9.0
93,5,THEY NOT LIKE US,Music,1,2.0,16.0,9.0
93,1,LET THE RIGHT ONE IN,Movies,1,2.0,20.0,9.0
94,1,FYNBOS,Culture,1,1.0,6.0,9.0
94,2,PIETER GROENEWALD,People and Characters,1,3.0,17.0,9.0
94,3,DASSIE,Culture,1,1.0,6.0,9.0
94,4,AVOCADO,Food and Drink,1,1.0,7.0,9.0
94,5,THE LAST OF US,Games,1,3.0,14.0,9.0
95,4,JOHNNY CLEGG,People and Characters,1,1.0,12.0,9.0
95,5,BEAUTIFUL GIRL,Music,1,2.0,14.0,9.0
95,1,AUDREY HEPBURN,People and Characters,1,3.0,14.0,9.0
95,2,THE INCREDIBLES,Movies,1,1.0,15.0,9.0
95,3,MOPARKS,Companies,1,2.0,7.0,9.0
96,4,SEX PISTOLS,Music,1,3.0,11.0,9.0
96,1,MEMORIAL DAY,Events,1,2.0,12.0,9.0
96,3,BURNING MAN,Events,1,2.0,11.0,9.0
96,2,MEXICO,Geography,1,1.0,6.0,9.0
96,5,KEEPING UP WITH KARDASHIANS,TV Show,1,1.0,27.0,9.0
97,5,SWEET LIFE,Music,1,2.0,10.0,8.0
97,2,DIWALI,Events,1,1.0,6.0,8.0
97,3,ANDON CORD,Things,1,3.0,10.0,8.0
97,1,LANCE ARMSTRONG,People and Characters,1,1.0,15.0,8.0
97,4,EYE OF TIGER,Music,1,1.0,12.0,8.0
98,3,FIREFLY,TV Show,1,2.0,7.0,8.0
98,2,BAKKIE,Things,1,1.0,6.0,8.0
98,5,EID AL-FITR,Events,1,2.0,11.0,8.0
98,4,TWISTER,Games,1,1.0,7.0,8.0
98,1,MALCOLM GLADWELL,People and Characters,1,2.0,16.0,8.0
99,3,OLIVER TAMBO,People and Characters,1,2.0,12.0,8.0
99,2,MAGIC JOHNSON,People and Characters,1,2.0,13.0,8.0
99,1,PEARL HARBOUR,Events,1,1.0,13.0,8.0
99,5,*PAINTING*,Actions,1,2.0,10.0,8.0
99,4,BAYWATCH,Movies,1,1.0,8.0,8.0
100,3,COMMONWEALTH GAMES,Events,1,2.0,18.0,9.0
100,1,1 2 STEP,Music,1,2.0,8.0,9.0
100,2,LEBRON JAMES,People and Characters,1,1.0,12.0,9.0
100,5,AR GLASSES,Technology,1,2.0,10.0,9.0
100,4,SCHABIR SHAIK,People and Characters,1,2.0,13.0,9.0
101,2,BP,Companies,1,1.0,2.0,9.0
101,4,MAD MEN,TV Show,1,2.0,7.0,9.0
101,1,STERI STUMPIE,Food and Drink,1,1.0,13.0,9.0
101,5,THE OKTOBERFEST,Events,1,2.0,15.0,9.0
101,3,MUTI,Culture,1,3.0,4.0,9.0
102,4,LOONEY TUNES,TV Show,1,1.0,12.0,7.0
102,1,DROP IT LIKE IT'S HOT,Music,1,1.0,21.0,7.0
102,3,NVIDIA ,Companies,1,2.0,7.0,7.0
