1,2,3,4,5
LEONARDO DICAPRIO,PRINCESS LEIA,MICROSOFT TEAMS,GRAÇA MACHEL,LET THE RIGHT ONE IN
AFRIKABURN,GOLD RUSH,LET ME HOLD YOU DOWN,WAR AND PEACE,"WOOF, WOOF, WOOF"
TWO OCEANS MARATHON,ROOSTERKOEK,JAMIE OLIVER,BURGER'S DAUGHTER ,NANOTECHNOLOGY
VIETNAM,HEINZ WINCKLER,ORIGIN OF SPECIES,MAKE THE CIRCLE BIGGER,FAJITAS
GEOPOLITICS,MUTI,GERMANY,ATCHA,THE ELDER SCROLLS
VICTORIA BECKHAM,EDINBURGH CASTLE,DAISIES,BOMBARDIER BEETLE,ERLING HAALAND
HIDDEN LEAF VILLAGE,CHRISTMAS DAY,KING CONE,WAYDE VAN NIEKERK,CROOKED KINGDOM
QUENTIN TARANTINO,SECTION 33,THE NORTHERN CAPE,PINA COLADA,ARAB SPRING
ART BLAKEY,GEM SQUASH,TERRACOTTA ARMY,DEVIL'S PEAK,FRANKENSTEIN
SEINFELD,STATUE OF LIBERTY,IPHONE SE,MARAIS VILJOEN,MRBEAST
NAKED MOLE-RAT,KABHI KUSHI KABHI GHAM,WALL STREET CRASH,ULTIMATE FRISBEE,PANG DOODMAAK
HOT SPRINGS,GREAT EXPECTATIONS,MARILYN MONROE,ELLA FITZGERALD,PRINCE WILLIAM
GUY FAWKES ,"BET ON IT, BET ON IT",THE HUNGER GAMES,SOCCER,PUMPED UP KICKS 
BOXING DAY,TITO MBOWENI SHA SHA,LED ZEPPELIN,REAL HOUSEWIVES,CORSAIR
FERNANDO ALONSO,COVID-19,MANATEE,CAPE VERDE,VALLEY OF THE END
ALEXANDER FLEMING,CALGARY,MY SISTER'S KEEPER,COLOSSEUM,DRAGONBALL Z
MOWBRAY SUBURBS,ADAM DRIVER,RHODES MUST FALL,JOHN HERSCHEL,JIMI HENDRIX
TURKEY,SHAQUILLE O'NEAL,AGTER 'N BAARD,THE LEGEND OF ZELDA,PALACE OF VERSAILLES
SCARLETT JOHANSSON,MAGNA CARTA,FROZEN,1984,COLOR PURPLE
CRISTIANO RONALDO,FINAL FANTASY,LAOS,MOUNT RUSHMORE,AFRICAN WORMWOOD
SERENA WILLIAMS,MERYL STREEP,PARIS,XI JINPING,IT'S TOO LATE TO APOLOGIZE
TONGA,SPUD,GAUSSIAN DISTRIBUTION,KALEIDOSCOPE,"READY, SET, GO"
PROJECT RUNWAY,SLUMDOG MILLIONAIRE,MOBY DICK,CHRIS HANI,MASASHI KISHIMOTO
SINKHOLE,BURNING MAN,KABADDI,CAPE COLONY,O.R. TAMBO INTERNATIONAL AIRPORT
KOESISTERS,CHEESE-ROLLING,DRI BUDDI,UNIVERSITY OF THE WESTERN CAPE,HUMAN RIGHTS DAY 
GOOGLE GLASSES,JULY'S PEOPLE ,FIRST NATIONAL BANK,BLACKPINK,TALKING TO THE MOON
SÃO TOMÉ AND PRÍNCIPE,TRIVIAL PURSUIT,JAKARTA,JOE BARBER,SOCIOLOGY
SOUTH KOREA,UNITED KINGDOM,PESTO,PRINCE,ONE PIECE
KURT COBAIN,SIMPSONS,NARNIA,PERKS OF BEING A WALLFLOWER,PYRAMIDS OF GIZA
PHENOLOGY,ALGORITHM,MUAMMAR GADDAFI,MAINE COON,CIABATTA
RACCOON,NAPOLEONIC WARS,NIKE,SUEZ CANAL,BETHLEHEM
SOMALIA,WORCESTERSHIRE SAUCE,CARBON,LIMPOPO,SMILEY
IDI AMIN,"WHAT IS LOVE, BABY DON'T HURT ME",JACK AND THE BEANSTALK,PERU,CAIRO
UMHLANGA ROCKS,TOM YUM SOUP,JAMES BLUNT,MANCHESTER,ARGENTINA
ST. PATRICK'S DAY,"GET LOW, GET LOW",CRUSADES,PRIDE AND PREJUDICE,AK-47
OLYMPIAD,THE DA,CHEVRON ,GONE GIRL,GUYANA
ASTRONOMY,KABUL,CASUAL DAY,EGYPT,MOUNT EVEREST
CHAPPIES,SHENZHEN,WILLIAM SMITH,AZKABAN,GORILLA
EYE OF TIGER,KOREAN WAR,E-READER,CLIFTON,ALAN TURING
CATAN,SWITZERLAND,EQUILIBRIUM,SANGOMA,LUCILLE BALL
DOUBLE HOTDOG,SILENCE OF LAMBS,WE ARE THE CHAMPIONS,NINA SIMONE,ALICE’S ADVENTURES IN WONDERLAND
PELOPONNESIAN WAR,ARTIC,ROBERT MUGABE,TOTO WOLF,INDONESIA
TO KILL A MOCKINGBIRD,CHINA FLOODS,EYEDRESS,LIZA KOSHY,MIKE TYSON
POTJIEKOS,AUDREY HEPBURN,BRENDA FASSIE,MARLON BRANDO,AERODYNAMICS
NORTHERN LIGHTS,OXYGEN,UNITED STATES,OZARK,RINGO STARR
TRACK AND FIELD,BITE THE BULLET,FAUNA AND FLORA,FRANKLIN D. ROOSEVELT,HARVEY WEINSTEIN
FRENCH REVOLUTION,TENNIS,BACKSTAGE,KAI CENAT,ZINC
NEW DELHI,TOGO,THE ALCHEMIST ,GREAT WALL OF CHINA,ARCEUS
HYPOTHESIS,ALPACA,MATCHBOX,2-FACTOR AUTHENTICATION,NICKEL
PHILOSOPHY,SURVIVOR,STERLING GOLDEN,DEVOPS,SAVANNA
KILLER WHALE,LISBON,MONKEY POX,GOGO,OLD FASHIONED
NOEM MY SKOLLIE,NEW YEAR’S DAY,SOPRANOS,VISA,ERITREA
ISIBINDI,5TH GENERATION,THE SUBTLE ART OF NOT GIVING A F*CK,THE CRICKET WORLD CUP,VIGNETTE
SAUDI ARABIA,SAM SMITH,THE MIDNIGHT LIBRARY,THE INDIAN OCEAN,"THE LION, THE WITCH AND THE WARDROBE"
DA VINCI CODE,DONALD DUCK,FRANCOIS PIENAAR,GUY FAWKES DAY,FLINT
PARKOUR,R KELLY,ULURU,FW DE KLERK,TOBLERONE
SUPERMAN,MICHAEL BUBLE,GAME THEORY,BOBOTIE,FOOTBALL
WORKERS’ DAY,IPAD,ISIDINGO,DESALINATION,UP THE CREEK
DAVID BOWIE,DOWN SECOND AVENUE,NAMAQUALAND,JOHN SMIT,LUXEMBOURG
JOHNSON & JOHNSON,PAKISTAN,BRAAI DAY,UNTAMED,BISTRO
