Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
JACK AND THE BEANSTALK,HIDDEN LEAF VILLAGE,STONE COLD STEVE AUSTIN,CHANEL,PUMA,9.0,9.0,9.0,9.0,9.0
QUANTUM COMPUTING,TURKEY,DURBS,BMW,LISBON,9.0,9.0,9.0,9.0,9.0
WAKANDA,ZINEDINE ZIDANE,BALL IS IN YOUR COURT,JAN SMUTS,EGOLI,9.0,9.0,9.0,9.0,9.0
GREAT GATSBY,OSAKA,PAUL LEVESQUE,SACHIN TENDULKAR,ENGLAND,9.0,9.0,9.0,9.0,9.0
THERESA MAY,KUDU,MECHANICAL KEYBOARD,UNIVERSITY OF THE WESTERN CAPE,NAOMI OSAKA,9.0,9.0,9.0,9.0,9.0
TONGA,TYMEBANK,KILLER WHALE,RHOMBUS,CARACAL,9.0,9.0,9.0,9.0,9.0
CASTLE,GAYTON MCKENZIE,JPMORGAN,MZOLI'S,STEPHEN KING,9.0,9.0,9.0,9.0,9.0
SEPTEMBER 11,THE BIG HOLE ,GULF WAR,SWITZERLAND,LAMELO BALL,9.0,9.0,9.0,9.0,9.0
UNITED STATES,THE LIMPOPO RIVER,FABLE,XENOPHOBIA,POCONO MOUNTAINS,9.0,9.0,9.0,9.0,9.0
RIVONIA TRIAL,MOUNT FUJI,RENAISSANCE,THE VIKINGS,HERBALIFE,9.0,9.0,9.0,9.0,9.0
ERITREA,ALISSON BECKER,FRENCH REVOLUTION,SAMSUNG,THE INDIAN OCEAN,9.0,9.0,9.0,9.0,9.0
RASSIE ERASMUS,HELEN ZILLE,SIX-DAY WAR,NAMAQUALAND,KARL MARX,9.0,9.0,9.0,9.0,9.0
CLOCKWORK PRINCESS,SAN SALVADOR,FRANKENSTEIN,MAZDA,CRISTIANO RONALDO,9.0,9.0,9.0,9.0,9.0
TORNADO,FLOYD MAYWEATHER JR.,TRAFFIC LIGHT,KYLIAN MBAPPÉ,FORBIDDEN CITY,9.0,9.0,9.0,9.0,9.0
UNITED NATIONS,NAKED MOLE-RAT,OLIVER TWIST,MÖBIUS STRIP,PLATYPUS,9.0,9.0,9.0,9.0,9.0
DIEGO MARADONA,TORTOISE,ALFRED NOBEL,BREXIT,KHABIB NURMAGOMEDOV,9.0,9.0,9.0,9.0,9.0
NITROGEN,"STOP, DROP, ROLL",PHILADELPHIA,MY SISTER'S KEEPER,SOUTH KOREA,9.0,9.0,9.0,9.0,9.0
ALPACA,RAINFOREST,MALCOLM GLADWELL,SPACE RACE,AT&T,9.0,9.0,9.0,9.0,9.0
VIETNAM WAR,MOTHERWELL,THE THIRD REICH,CHELSEA,MOSQUITO,9.0,9.0,9.0,9.0,9.0
BARACK OBAMA,HIGGS BOSON,DESMOND TUTU,JAKE WHITE,PRETORIA,9.0,9.0,9.0,9.0,9.0
HILLSONG CHURCH,GLACIER,MASSMART,IBUPROFEN,EMIRATES,9.0,9.0,9.0,9.0,9.0
DRI BUDDI,DOWN SECOND AVENUE,ROBERT MUGABE,MEOW,CIRCUIT,9.0,9.0,9.0,9.0,9.0
DESERT,GEOMETRY,GREENPEACE,NEWTON'S SECOND LAW,EDUCATED,9.0,9.0,9.0,9.0,9.0
MOTHERBOARD,IMAM HARON,STANDARD BANK,PIETERMARTIZBURG,BLACK BEAUTY,9.0,9.0,9.0,9.0,9.0
SLACK,GRILLERS,TOTO WOLF,BETHLEHEM,GREECE,9.0,9.0,9.0,9.0,9.0
NOTRE DAME,LAOS,SUEZ CANAL,CRUSADES,HONEY BADGER,9.0,9.0,9.0,9.0,9.0
AUDI,PYTHAGOREAN THEOREM,GABORONE,THE SHINING,CAPE TOWN,9.0,9.0,9.0,9.0,9.0
DUNNING–KRUGER EFFECT,MICROPHONE,CHILE,BLOCKCHAIN,FLINT,9.0,9.0,9.0,9.0,9.0
PALACE OF VERSAILLES,SADDAM HUSSEIN,GAUTENG,CUMULUS CLOUDS,TELEGRAM,9.0,9.0,9.0,9.0,9.0
SEBASTIAN VETTEL,ARTIC,NAGASAKI,EIFFEL TOWER,BANTU LAND ACT,9.0,9.0,9.0,9.0,9.0
ROBSON WALTON,LESOTHO,SHARPEVILLE,NOVAK DJOKOVIC,KLEIN KAROO,9.0,9.0,9.0,9.0,9.0
THE APOSTLES,THABO MBEKI,PAULO COELHO,DALLAS,NICKY OPPENHEIMER,9.0,9.0,9.0,9.0,9.0
CHEETAH,DSTV DECODER,GONE GIRL,THE SHAH ,TURING MACHINE,9.0,9.0,9.0,9.0,9.0
STETHOSCOPE,MONTY PYTHON,IDI AMIN,SANDTON,ARTIFICIAL INTELLIGENCE,9.0,9.0,9.0,9.0,9.0
THE BRITISH LIONS,TREATY OF VERSAILLES,BUCKINGHAM PALACE,ERAGON,RED PANDA,9.0,9.0,9.0,9.0,9.0
GORILLA,CHRIS BARNARD,AFRIKAANS LANGUAGE MONUMENT,AUSTRALIA,ANTON RUPERT,9.0,9.0,9.0,9.0,9.0
CAPE COLONY,MARIE CURIE,SOVIET UNION,KAIZER CHIEFS,COSATU,9.0,9.0,9.0,9.0,9.0
VENUS,VOLKSTAAT,WOLF,FIRST NATIONAL BANK,AFRICAN WORMWOOD,9.0,9.0,9.0,9.0,9.0
FIBONACCI,NELSON MANDELA,MICROSOFT TEAMS,ACKERMANS,AHMED KATHRADA,9.0,9.0,9.0,9.0,9.0
"READY, SET, GO",HILLBROW,APPLE WATCH,TATJANA SMITH,THE SERENGETI,9.0,9.0,9.0,9.0,9.0
COMPLEX NUMBERS,TAMAGOTCHI,FRANKLIN D. ROOSEVELT,BUMBLEBEE,AB DE VILLIERS,9.0,9.0,9.0,9.0,9.0
ISRAEL,RUNOFF,JULY'S PEOPLE ,THE ORANGE RIVER,HOT SPRINGS,9.0,9.0,9.0,9.0,9.0
TUTANKHAMEN,SATRIX,PANGEA,VIRUS,BITE THE BULLET,9.0,9.0,9.0,9.0,9.0
KANGAROO,"LIONS, TIGERS, BEARS, OH MY!",PALAU,PENNY HEYNS,HADEDAS,9.0,9.0,9.0,9.0,9.0
THE SUBTLE ART OF NOT GIVING A F*CK,OUTLIERS,SASOL,WELLINGTON,IDRIS ELBA,9.0,9.0,9.0,9.0,9.0
VLADIMIR LENIN,BERLIN,LACTOSE INTOLERANT,WALT DISNEY,NOKIA ,8.0,8.0,8.0,8.0,8.0
DJIBOUTI,PERCY MONTGOMERY,NEW DELHI,CAPE TOWN HARBOUR,THE MIDDLE EAST,8.0,8.0,8.0,8.0,8.0
DISCHEM,THE ZAMBEZI RIVER,DUNE,GETTYSBURG ADDRESS,GOLDEN GATE BRIDGE,8.0,8.0,8.0,8.0,8.0
MOWBRAY SUBURBS,P.W. BOTHA,THE FIRST LADY,LEMUR,ANGLO AMERICAN,8.0,8.0,8.0,8.0,8.0
ERLING HAALAND,TAJ MAHAL,SECRETARYBIRD,LOVE LANGUAGES,THE GARDEN OF EDEN,8.0,8.0,8.0,8.0,8.0
JBL SPEAKER,TERRACOTTA ARMY,HOODIE,NORWAY,GREAT WALL OF CHINA,8.0,8.0,8.0,8.0,8.0
PORTUGAL,LOS ANGELES,STARLINK,SOCRATES,BP,8.0,8.0,8.0,8.0,8.0
PRINCE WILLIAM,CAT IN THE HAT,STONEHENGE,ATHENS,NETCARE,8.0,8.0,8.0,8.0,8.0
SNOW LEOPARD,ANTARCTICA,LAGOON,PIETER GROENEWALD,BARBIE AND KEN,8.0,8.0,8.0,8.0,8.0
SANDMAN,HONDA,GOLDEN RATIO,BIG MAGIC,CTRL-C,8.0,8.0,8.0,8.0,8.0
GBV,CULTERY ,STENOGRAPHY,PRAYING MANTIS,FAUNA AND FLORA,8.0,8.0,8.0,8.0,8.0
MOTHER TERESA,MOUNT EVEREST,IPAD,SÃO TOMÉ AND PRÍNCIPE,GARLIC PASTE,8.0,8.0,8.0,8.0,8.0
CHEERS,LION'S EAR,WORLD WAR II,FIRSTRAND,MASSACHUSETTS,8.0,8.0,8.0,8.0,8.0
CAPE ALOE,VAPE,HAKUNA MUTATA,MINNIE MOUSE,THE WRIGHT BROTHERS,8.0,8.0,8.0,8.0,8.0
PABLO PICASSO,VALLEY OF THE END,SERENA WILLIAMS,MARK SHUTTLEWORTH,FOSSIL,8.0,8.0,8.0,8.0,8.0
KWAZULU-NATAL,THE MIDNIGHT LIBRARY,RUBIK'S CUBE,WALRUS,TATTOOIST OF AUSCHWITZ,8.0,8.0,8.0,8.0,8.0
KRYPTON,PAKISTAN,ZINC,POWERBANK,SLAUGHTERHOUSE-FIVE,8.0,8.0,8.0,8.0,8.0
GRAÇA MACHEL,ICEBERG,VPN,TIGER WOODS,DRIFTWOOD,8.0,8.0,8.0,8.0,8.0
SATELLITE,PYRAMIDS,ANGLO-ZULU WAR,KALEIDOSCOPE,WAYDE VAN NIEKERK,8.0,8.0,8.0,8.0,8.0
CHEMOTHERAPY,BRONZE,HELIUM,PATRICE MOTSEPE,SHATTERPRUFE,8.0,8.0,8.0,8.0,8.0
PENICILLIN,MEXICO,D-DAY,PEGASUS,LOUIS ARMSTRONG,8.0,8.0,8.0,8.0,8.0
NORTH AMERICA,LET THE CAT OUT OF THE BAG ,PRIDE AND PREJUDICE,QUEENSTOWN,CAPE PROTEA,8.0,8.0,8.0,8.0,8.0
EGYPT,GAUSSIAN DISTRIBUTION,CAPE OF GOOD HOPE,NITRATES,OXYGEN,8.0,8.0,8.0,8.0,8.0
Y2K,BREAKING THE ICE,RHODES MUST FALL,MUAMMAR GADDAFI,FRANSCHHOEK,8.0,8.0,8.0,8.0,8.0
SYDNEY OPERA HOUSE,NASPERS,RHYTHM,THE MARTIAN,WEST AFRICA,8.0,8.0,8.0,8.0,8.0
JEEP,ASICS,AZKABAN,"SUGAR, SPICE AND EVERYTHING NICE",THE OUTSIDERS,8.0,8.0,8.0,8.0,8.0
BLOBFISH,SHENZHEN,O.R. TAMBO INTERNATIONAL AIRPORT,OLD MUTUAL,THE PYRAMIDS,8.0,8.0,8.0,8.0,8.0
EPSTEIN ISLAND,CORAL REEF,K53,ARAB SPRING,MONACO,8.0,8.0,8.0,8.0,8.0
5G,PANGOLIN,OAK TREE,GRAHAMSTOWN,JIMI HENDRIX,8.0,8.0,8.0,8.0,8.0
CHESTER WILLIAMS,MALDIVES,WILDERNESS,PENNSYLVANIA,CAIRO,8.0,8.0,8.0,8.0,8.0
AERODYNAMICS,POLYMER,46664,WHIRLPOOL,MEMOIRS OF A GEISHA,8.0,8.0,8.0,8.0,8.0
STEVE BIKO,FIVE SENSES,GREAT EXPECTATIONS,OLIVER TAMBO,LONDON,8.0,8.0,8.0,8.0,8.0
SOUTH AMERICA,THE LONDON EYE,BRUCE LEE,MAHATMA GANDHI,MANTIS SHRIMP,8.0,8.0,8.0,8.0,8.0
SPANISH FLU,BECOMING,WATER CYCLE,NORTHERN LIGHTS,RNA,8.0,8.0,8.0,8.0,8.0
ROMAN EMPIRE,ROME,SOUTH AFRICA,TOGO,TOUCH TYPING,8.0,8.0,8.0,8.0,8.0
TELESCOPE,WILDEBEEST,THE NIAGARA FALLS,PERKS OF BEING A WALLFLOWER,MOHAMED SALAH,8.0,8.0,8.0,8.0,8.0
WAVES,UMHLANGA ROCKS,MALAYSIA,THE FÜHRER,KOBE BRYANT,8.0,8.0,8.0,8.0,8.0
RONDA ROUSEY,COLOSSEUM,LIGHTING CABLE,MOUNT RUSHMORE,CALABASH,8.0,8.0,8.0,8.0,8.0
DEATH STAR,WINNIE MANDELA,FERNANDO ALONSO,THE HUNGER GAMES,CAMPS BAY,8.0,8.0,8.0,8.0,8.0
MICHAEL SCHUMACHER,EDINBURGH,NARNIA,ANTHROPOLOGY,HANSIE CRONJE,8.0,8.0,8.0,8.0,8.0
MARIKANA,THAILAND,CARBON,ANDON CORD,WORLD WAR I,8.0,8.0,8.0,8.0,8.0
NANOTECHNOLOGY,CAPITEC,RACCOON,FAHRENHEIT 451,YOUTUBE,8.0,8.0,8.0,8.0,8.0
"QUACK, QUACK, QUACK",FREE STATE,FIJI,MAGNUM OPUS,FUNGUS,8.0,8.0,8.0,8.0,8.0
PHOTOSYNTHESIS,THE FAULT IN OUR STARS,LARRY BIRD,STAR-NOSED MOLE,ORANIA,8.0,8.0,8.0,8.0,8.0
CROOKED KINGDOM,FRACTIONS,LEBRON JAMES,CALISTHENICS,INDONESIA,8.0,8.0,8.0,8.0,8.0
SULPHATES,LORD OF THE FLIES,ALGORITHM,"HOOK, LINE, SINKER",POLITICS,8.0,8.0,8.0,8.0,8.0
GREAT BARRIER REEF,PLUTO,KANTO,SAVANNA,DA VINCI CODE,8.0,8.0,8.0,8.0,8.0
TRANSVAAL,OTP,HALLE BERRY,FW DE KLERK,COST AN ARM AND A LEG,8.0,8.0,8.0,8.0,8.0
SOWETO UPRISING,ISAAC NEWTON,JEAN-MICHEL BASQUIAT,KITE RUNNER,TO KILL A MOCKINGBIRD,8.0,8.0,8.0,8.0,8.0
DIARY OF A WIMPY KID,PENTAGON,A CLOCKWORK ORANGE,CHRIST THE REDEEMER,CAT,8.0,8.0,8.0,8.0,8.0
UNTAMED,INDUSTRIAL REVOLUTION,DWAYNE JOHNSON,MAGNA CARTA,HUNGER GAMES,8.0,8.0,8.0,8.0,8.0
LED,CANBERRA,I HAVE A DREAM,DOCSIDE,BRUNCH,8.0,8.0,8.0,8.0,8.0
US ROUTE 66,MTN,HENDRICK VERWOERD,THE GREAT TREK ,SUN CITY,8.0,8.0,8.0,8.0,8.0
YAMAHA,CHRIS HANI,RAFAEL NADAL,JAMIE OLIVER,BORIS JOHNSON,8.0,8.0,8.0,8.0,8.0
DEVIL'S PEAK,PERU,X-RAY,MRI SCAN,NEUTRON,8.0,8.0,8.0,8.0,8.0
IPHONE,THE INTERNET,SIMONE BILES,GOOGLE GLASSES,THE RED SEA,8.0,8.0,8.0,8.0,8.0
HIROSHIMA,LORD OF THE RINGS,BIOTECHNOLOGY,AVALANCHE,MARNUS LABUSCHAGNE,8.0,8.0,8.0,8.0,8.0
NADINE GORDIMER,SOCIOLOGY,IKIGAI,DAILY SUN,WIKIPEDIA,8.0,8.0,8.0,8.0,8.0
BURGER'S DAUGHTER ,GAME THEORY,MARS,V&A WATERFRONT,SWISS ARMY KNIFE,8.0,8.0,8.0,8.0,8.0
LEBONON,CENTRAL PARK,POLAND,CHINA FLOODS,MICROSOFT,8.0,8.0,8.0,8.0,8.0
SCORPIONS,CHARLOTTE’S WEB,WHATSAPP,SPAIN,JOHANNESBURG,7.0,7.0,7.0,7.0,7.0
COBALT,GIRAFFE,MULTIPLICATION,UNITED KINGDOM,CHARLOTTE'S WEB,7.0,7.0,7.0,7.0,7.0
RIHANNA,CAPE VERDE,SEASHELLS,THE NORTHERN CAPE,BENNI MCCARTHY,7.0,7.0,7.0,7.0,1.0
TRENCH TOWN,CYRIL RAMAPHOSA,DISCOVERY,HOLLAND,KOMODO DRAGON,7.0,7.0,7.0,7.0,7.0
ATHLONE,THOMAS EDISON,FOSCHINI,BISTRO,SEOUL,7.0,7.0,7.0,7.0,1.0
AIR FRYER,E COLI,MADRID,STEVE REDGRAVE,MOSCOW,7.0,7.0,7.0,7.0,7.0
ABACUS,PATRICIA DE LILLE,HIT THE NAIL ON THE HEAD,JON JONES,PINE TREE,7.0,7.0,7.0,7.0,1.0
VICTOR MATFIELD,THE ALCHEMIST ,CAPYBARA,THE WINDY CITY,LYNX,7.0,7.0,7.0,7.0,2.0
CARNIVORE,RUSSIA,NETHERLANDS,3D PRINTING,MANCHESTER,7.0,7.0,7.0,7.0,1.0
BLUETOOTH,SHAQUILLE O'NEAL,HOLOCAUST,AK-47,FRANCOIS PIENAAR,7.0,7.0,7.0,7.0,7.0
CLIFTON,TWELFTH NIGHT,MEXICO CITY,ARGENTINA,ELECTROMAGNETISM,7.0,7.0,7.0,7.0,7.0
OXIDATION,ROGER FEDERER,KINDLE,DRICUS DU PLESSIS,STATUE OF LIBERTY,7.0,7.0,7.0,7.0,1.0
JAKARTA,MICHAEL PHELPS,TRAPPE VAN VERGELYKING,NSFAS,TRAPEZIUM,7.0,7.0,7.0,7.0,2.0
SINKHOLE,USAIN BOLT,DURBAN,HITCHHIKER'S GUIDE TO GALAXY,CHROMOSOME,7.0,7.0,7.0,7.0,1.0
ARMADILLO,ALPHABET,GALILEO GALILEI,THE SUEZ CANAL,MACBETH,7.0,7.0,7.0,7.0,2.0
CODESA,NEIL ARMSTRONG,PRECIPITATION,ANTIBIOTICS,CLICKS,7.0,7.0,7.0,7.0,1.0
OCTAGON,COVID-19,SUN INTERNATIONAL,ALCHEMY,KHOI AND SAN,7.0,7.0,7.0,7.0,1.0
CHEVRON ,JACOB ZUMA,DECIMALS,HYPOTHESIS,LANCE ARMSTRONG,7.0,7.0,7.0,7.0,1.0
SHAKA,DNA,CALCULUS,SHELL,BLACKBERRY,7.0,7.0,7.0,7.0,1.0
NEIL DEGRASSE TYSON,LEWIS HAMILTON,JOHN STEENHUISEN,DIVISION,RAT KING,7.0,7.0,7.0,7.0,2.0
NOKIA 3310,TOKYO,JOHN SMIT,ITALY,HARVARD,7.0,7.0,7.0,7.0,1.0
VICTORIA FALLS,AUTOMATIC,KNYSNA,FAULT IN OUR STARS,THE TAJ MAHAL,7.0,7.0,7.0,7.0,1.0
HOLOGRAM,STOCKHOLM,STAPLER,FREEDOM CHARTER,FIFTY SHADES OF GREY,7.0,7.0,7.0,7.0,1.0
MOBY DICK,BODMAS,PARIS,ZAPIRO,TREASURE ISLAND,7.0,7.0,7.0,7.0,7.0
SWEDEN,ADVENTURES OF HUCKLEBERRY FINN,GOOGLE EARTH,UFO,MICHAEL JORDAN,7.0,7.0,7.0,7.0,1.0
"THE LION, THE WITCH AND THE WARDROBE",RENAULT,WEASEL,HAIL,1984,7.0,7.0,7.0,7.0,3.0
RAM,NATO,SILVERFISH,LIGER,THE MOON LANDING,7.0,7.0,7.0,7.0,1.0
THE LOUVRE,BERLIN WALL,PRAGUE,SAUDI ARABIA,CTRL-V,7.0,7.0,7.0,7.0,7.0
LIONEL MESSI,PHILOSOPHY,SHAUN POLLOCK,BILL GATES,PROJECTOR,7.0,7.0,7.0,7.0,1.0
MUHAMMAD ALI,BOSTON,PRESSURE COOKER,FIFA WORLD CUP,"FATHER, SON, HOLY SPIRIT",7.0,7.0,7.0,7.0,1.0
XHOSA,HIPPOPOTAMUS,FREAKONOMICS,TURTLE,SQUARE,7.0,7.0,7.0,7.0,7.0
MINI,DUSK,PEACOCK,RING LIGHT,SICILY,7.0,7.0,7.0,7.0,3.0
EMBRYO,GREAT BRITAIN,MACHU PICCHU,PAM GOLDING,MOMENTUM,7.0,7.0,7.0,7.0,1.0
PRINCE,TELEVISION,LIMPOPO,METAPHOR,APARTHEID,7.0,7.0,7.0,7.0,1.0
ZEBRA,WINSTON CHURCHILL,TRANSKEI,SIYA KOLISI,SISTINE CHAPEL,7.0,7.0,7.0,7.0,7.0
