Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
RENAULT,TATA MA CHANCE! TATA MA MILLIONS,THE FIRST LADY,PATRICIA DE LILLE,CHEESE BOY,9.0,9.0,9.0,9.0,9.0
FRUIT CAKE,CASUAL DAY,BADMINTON,LOS ANGELES,AR GLASSES,9.0,9.0,9.0,9.0,9.0
SISTERHOOD OF THE TRAVELING PANTS,DESMOND TUTU,DALA WHAT YOU MUST,OPPENHEIMER,KHOI AND SAN,9.0,9.0,9.0,9.0,9.0
DESPACITO,VASELINE,HARRY POTTER AND THE SORCERER'S STONE,GOULASH,BLOOD DIAMOND,9.0,9.0,9.0,9.0,9.0
JACOB ZUMA,BEST OF BOTH WORLDS,THE LITTLE MERMAID,ZEF,CRYPTOGRAPHY,9.0,9.0,9.0,9.0,9.0
CTEMF,FAJITAS,SELLOTAPE,GRAVITY FALLS,VAPE,9.0,9.0,9.0,9.0,9.0
JON JONES,E.TV,ROSH HASHANAH,BLINK 182,KOBE BRYANT,9.0,9.0,9.0,9.0,9.0
AMISH,ADVENTURE TIME,CAPITEC,ENGLAND,JEANNIE D,9.0,9.0,9.0,9.0,9.0
INDUSTRIAL REVOLUTION,DEEZER,KANTO EARTHQUAKE,SOUTH PARK,*RUNNING*,9.0,9.0,9.0,9.0,9.0
CHAKALAKA,LOVE LANGUAGES,ALL THE SINGLE LADIES,DRAGONBALL DURAG,CAPE TOWN DANCE FESTIVAL,9.0,9.0,9.0,9.0,9.0
KISS ME THRU THE PHONE,SWISS ARMY KNIFE,NELLY FURTADO,TIM BERNERS-LEE,"YOU ARE MY FIRE, MY ONE DESIRE",9.0,9.0,9.0,9.0,9.0
AIR FRYER,IN THE MEANTIME,THEY NOT LIKE US,RUN JOZI,DISTRICT 9,9.0,9.0,9.0,9.0,9.0
BREAKING BAD,GLASGOW,SANLAM,OPPIKOPPI,CRAYFISH CURRY,9.0,9.0,9.0,9.0,9.0
CURIOUS CASE OF BENJAMIN BUTTON,GODS MUST BE CRAZY,INDEPENDENCE DAY,STEVE REDGRAVE,USAIN BOLT,9.0,9.0,9.0,9.0,9.0
THE LAST OF US,GEM SQUASH,BEAUTY AND THE BEAST,MOTHER'S DAY,TIGER WOODS,9.0,9.0,9.0,9.0,9.0
FIBONACCI SEQUENCE,LEMON CREAMS,GANGNAM STYLE,TWISTER,METAL GEAR SOLID,9.0,9.0,9.0,9.0,9.0
VLADIMIR LENIN,UBUNTU,FLEABAG,ACHY BREAKY HEART,WHAT THE FRIKKADEL,9.0,9.0,9.0,9.0,9.0
GOOD FRIDAY,RON WEASLEY,SEX PISTOLS,TALIEP PETERSEN,HOME ALONE,9.0,9.0,9.0,9.0,9.0
HELEN SUZMAN,THUNEE,BIG MOUTH,ON-ON,NADINE GORDIMER,9.0,9.0,9.0,9.0,9.0
IMAGINE DRAGONS,1 2 STEP,SANTIAGO,BEAUTIFUL GIRL,COMMONWEALTH GAMES,9.0,9.0,9.0,9.0,9.0
*SWEEPING*,NARCOS,FERGIE,THE INCREDIBLES,SCHABIR SHAIK,9.0,9.0,9.0,9.0,9.0
*COOKING*,SMALLVILLE,DRICUS DU PLESSIS,KLEIN KAROO,BARBRA STREISAND,9.0,9.0,9.0,9.0,9.0
THE SUPER BOWL,IMAGINE ALL THE PEOPLE,NOOT VIR NOOT,YASIS,SEE BOTH SIDES LIKE CHANEL,9.0,9.0,9.0,9.0,9.0
ONE PIECE,PAUL LEVESQUE,THE BIG HOLE ,SWEET LIFE,LETS GO 50/50 ,9.0,9.0,9.0,9.0,9.0
PAIN AND GLORY,FRESHLYGROUND,30 SECONDS ,NEW YEAR'S EVE,DURBAN JULY,9.0,9.0,9.0,9.0,9.0
I WANNA BE A BILLIONAIRE,TELESCOPE,BUFFY THE VAMPIRE SLAYER,AMASIE,HANUKKAH,9.0,9.0,9.0,9.0,9.0
THE BRITISH OPEN,WE ARE THE CHAMPIONS,BASTILLE DAY,GLOBAL WARMING,BRAAIBROODJIES,9.0,9.0,9.0,9.0,9.0
CHRISTOPHER NOLAN,WNBA,"BET ON IT, BET ON IT",THE APOSTLES,MADAM & EVE,9.0,9.0,9.0,9.0,9.0
CHESTER WILLIAMS,PRONUTRO,SKEEM SAAM,E.T. ,AVOCADO,9.0,9.0,9.0,9.0,9.0
NETCARE,LEWIS HAMILTON,SLAUGHTERHOUSE-FIVE,CRICKET,GOOD PLACE,9.0,9.0,9.0,9.0,9.0
PARASITE,DAVID KRAMER,WORKERS’ DAY,THE WIRE,TOKOLOSHE,9.0,9.0,9.0,9.0,9.0
SAY MY NAME,GRAND THEFT AUTO,YOU,TWILIGHT ZONE,JOHNNY CLEGG,9.0,9.0,9.0,9.0,9.0
RADISH,YOU MUSTN'T PUSH!,LUCKY STAR,GLOBAL POSITIONING SYSTEM,BLUE CHEESE,9.0,9.0,9.0,9.0,9.0
CINDERELLA,GUY FAWKES ,HUGH MASEKELA,OSLO,HURT SO BAD ,9.0,9.0,9.0,9.0,9.0
30 ROCK,CAPE TOWN KLOPSE,*KNITTING*,INTERNET OF THINGS,TYLA,9.0,9.0,9.0,9.0,9.0
MASTERCHEF,DISCOVERY CHANNEL,VOLLEYBALL,CHRIS PRATT,PATRICE MOTSEPE,9.0,9.0,9.0,9.0,9.0
MAD MEN,BANG BANG BANG,EMPIRE STATE BUILDING,TV LICENSE,ANDY WARHOL,9.0,9.0,9.0,9.0,9.0
TONY BLAIR,MONKEY D. LUFFY,JELLY TOTS,STAR WARS,BILLIE JEAN KING,8.0,8.0,8.0,8.0,8.0
LESOTHO,CALL OF DUTY,VALENTINE'S DAY,X-FILES,HILARY DUFF,8.0,8.0,8.0,8.0,8.0
THE CRICKET WORLD CUP,MARK SHUTTLEWORTH,TREVOR NOAH,GRAVE OF THE FIREFLIES,YEBO YES,8.0,8.0,8.0,8.0,8.0
VODACOM,JULIA ROBERTS,FIREFLY,JEEP,MAGNUM OPUS,8.0,8.0,8.0,8.0,8.0
RISK,BILLIE JEAN,HIGGS BOSON,INSIDE OUT,NOKIA ,8.0,8.0,8.0,8.0,8.0
HARVEST FESTIVAL,WORLD WIDE WEB,OOPS!... I DID IT AGAIN,KING OF THE HILL,MARK FISH,8.0,8.0,8.0,8.0,8.0
I'M EVERY WOMEN,DESPICABLE ME,ANDON CORD,*FLYING*,BURNING MAN,8.0,8.0,8.0,8.0,8.0
RED ROVER,AMERICAN PSYCHO,RUBIK'S CUBE,SHREK 3,DANNY K,8.0,8.0,8.0,8.0,8.0
HAN SOLO,SAUDI ARAMCO,PEARL HARBOUR,"HARDER, BETTER, FASTER, STRONGER",FIGHT CLUB,8.0,8.0,8.0,8.0,8.0
CHRIS HEMSWORTH,CHESS BOXING,FAIRY TAIL,YMCA,MATT DAMON,8.0,8.0,8.0,8.0,8.0
TOP CHEF,IMAM HARON,RUSSIAN ROULETTE,BOET,JUST KEEP SWIMING,8.0,8.0,8.0,8.0,8.0
EVERY BREATH YOU TAKE,CORAL REEF,DAISIES,BENNI MCCARTHY,SEINFELD,8.0,8.0,8.0,8.0,8.0
NEW YORK,EID AL-FITR,AG NEE MAN,*WALKING*,JOHANN RUPERT,8.0,8.0,8.0,8.0,8.0
INDABA,WINSTON CHURCHILL,FETA,BOEREWORS,CASEY NEISTAT,8.0,8.0,8.0,8.0,8.0
CHRISTMAS DAY,HIGH SCHOOL MUSICAL 3,THE FAULT IN OUR STARS,PROOF OF STAKE,UNO,8.0,8.0,8.0,8.0,8.0
DSTV DECODER,CHAMPAGNE PAPI,MARDI GRAS,MOZZARELLA,TAKKIES,8.0,8.0,8.0,8.0,8.0
MANSA MUSA,*KICKING*,WATERPOLO,THANKSGIVING,GRAND BUDAPEST HOTEL,8.0,8.0,8.0,8.0,8.0
MALCOLM GLADWELL,BOKKOMS,TABLE TENNIS,WALES,WINDSURFING,8.0,8.0,8.0,8.0,8.0
FIRST NATIONAL BANK,LOVE ISLAND,FELA IN VERSACE,PICKLEBALL,RICK AND MORTY,8.0,8.0,8.0,8.0,8.0
PURSUIT OF HAPPYNESS,GUY FAWKES DAY,MR BONES,EVERYBODY LOVES RAYMOND,SATELLITE,8.0,8.0,8.0,8.0,8.0
JAN SMUTS,TOM HOLLAND,SWEET CAROLINE,KEANU REEVES,V FOR VENDETTA,8.0,8.0,8.0,8.0,8.0
RUSSIA,THE OFFICE,AND UNITED WE SHALL STAND,SAITAMA,HONDA,8.0,8.0,8.0,8.0,8.0
CALCULUS,DIWALI,RAISE RED LANTERN,BEN 10,SISTER BETTINA,8.0,8.0,8.0,8.0,8.0
THE AVENGERS,"NO WOMAN, NO CRY",TRAPPE VAN VERGELYKING,OCEAN BASKET,ALTERED CARBON,8.0,8.0,8.0,8.0,8.0
SIMONE BILES,PAC-MAN,KOMBI,POKEMON,LET IT BURN,8.0,8.0,8.0,8.0,8.0
RED PANDA,PROJECT RUNWAY,SHISA NYAMA,AMERICAN IDOL,CARTE BLANCHE,8.0,8.0,8.0,8.0,8.0
THE GOOD DOCTOR,"WP, JOU LEKKER DING",THE PENGUIN,DOCTOR WHO,KABHI KUSHI KABHI GHAM,8.0,8.0,8.0,8.0,8.0
EMMA STONE,7DE LAAN,PHUMAKIM,MTN,ECOSYSTEM,8.0,8.0,8.0,8.0,8.0
7 CARDS,SLOTH,WALL-E,NVIDIA ,LAAITIE,8.0,8.0,8.0,8.0,8.0
STETHOSCOPE,THE OKTOBERFEST,JOHANNESBURG,KEEPING UP WITH KARDASHIANS,FIRSTRAND,8.0,8.0,8.0,8.0,8.0
DURBAN,ALL I WANT FOR CHRISTMAS IS YOU,HOCKEY,BATTLESTAR GALACTICA,CHINESE NEW YEAR,8.0,8.0,8.0,8.0,8.0
WORDS WITH FRIENDS,GREAT GATSBY,CHICKEN BILTONG,NETHERLANDS,FREEDOM DAY,8.0,8.0,8.0,8.0,8.0
AB DE VILLIERS,BBC,RAMADAN,DJANGO UNCHAINED,DANJA SAUSAGE,8.0,8.0,8.0,8.0,8.0
MOPARKS,TIMOTHÉE CHALAMET,MALAYSIA,MONOPOLY,ZOE SALDANA,8.0,8.0,8.0,8.0,8.0
WATERMELON SUGAR HIGH,MUVHANGO,SUPERSTORE,BOER MAAK 'N PLAN,OKTOBERFEST,8.0,8.0,8.0,8.0,8.0
HALLOWEEN,"EARTH, WIND AND FIRE",MICKEY MANTLE,STERI STUMPIE,AT&T,8.0,8.0,8.0,8.0,8.0
PABLO PICASSO,TERMINATOR,KUROSAKI ICHIGO,*SHOOTING*,PARMESAN,8.0,8.0,8.0,8.0,8.0
ZENDAYA,CAN'T GET YOU OUT OF MY HEAD,JURASSIC PARK,BOXING DAY,BLONDIE,8.0,8.0,8.0,8.0,8.0
"KAPTEIN, VAN DIE SAILOR ",DIEGO MARADONA,CHEDDAR CHEESE,SCOOBY-DOO,CREED,8.0,8.0,8.0,8.0,8.0
GOLDEN GATE BRIDGE,STRANGER THINGS,GOHAN,COMMUNITY,EGG FRIED RICE,8.0,8.0,8.0,8.0,8.0
MCDONALD'S,KILL BILL,DURAN DURAN,SYDNEY OPERA HOUSE,SPUD,8.0,8.0,8.0,8.0,8.0
BRAAI DAY,BRIDGET JONES'S DIARY,LOONEY TUNES,ZAPIRO,WATCH ME NAE NAE,7.0,7.0,7.0,7.0,7.0
GODFATHER,ABACUS,BOKKE,GOODFELLAS,"BAA, BAA, BLACK SHEEP",7.0,7.0,7.0,7.0,7.0
FINDING NEMO,JOHNNY DEPP,HOUSE OF CARDS,MAKE THE CIRCLE BIGGER,THE UMBRELLA ACADEMY,7.0,7.0,7.0,7.0,7.0
MOMENTUM,SHOPRITE,*EXERCISING*,MARK RUFFALO,QUIDDITCH,7.0,7.0,7.0,7.0,7.0
ZEBRA,AMERICAN FOOTBALL,VICTOR MATFIELD,TAMAGOTCHI,DIE HARD,7.0,7.0,7.0,7.0,7.0
EASTER MONDAY,WATER POLO,MARIE CURIE,BOILEROOM,KOEKSISTERS,7.0,7.0,7.0,7.0,7.0
POKÉMON,*CLIMBING*,BAKKIE,STREET FIGHTER ,TATJANA SMITH,7.0,7.0,7.0,7.0,7.0
PADEL,DRAGON PRINCE,MORSE CODE,"WE WILL, WE WILL ROCK YOU",TOY STORY,7.0,7.0,7.0,7.0,7.0
WOODEN SPOON,HILLSONG CHURCH,JUSTIN TIMBERLAKE,*SNORKELLING*,BAYWATCH,7.0,7.0,7.0,7.0,7.0
MASCARA,MIMOSA,KFC,BOHEMIAN RHAPSODY,TOM HANKS,7.0,7.0,7.0,7.0,7.0
YAMAHA,TOYOTA,KANYE WEST,SPIDER-MAN,MET EISH BRA,7.0,7.0,7.0,7.0,7.0
BP,HERMANUS WHALE FESTIVAL,DUNE 2,GEES,EYE OF TIGER,7.0,7.0,7.0,7.0,7.0
CLICKS,THE PUSSYCAT DOLLS,PAUL KAGAME,SLACK,HULA HOOP,7.0,7.0,7.0,7.0,7.0
KUCH KUCH HOTA HAI,HUMAN RIGHTS DAY ,YELLOW SUBMARINE,MICROPHONE,FLOYD MAYWEATHER JR.,7.0,7.0,7.0,7.0,7.0
WOODY ALLEN,"I'M BLUE, DA BA DEE DA BA DI",CRISTIANO RONALDO,*MEXICAN WAVE*,NOOIT,7.0,7.0,7.0,7.0,7.0
DRAGONBALL Z,LABOUR DAY,EGGNOG,BOONDOCKS,DASSIE,7.0,7.0,7.0,7.0,7.0
RONDAVEL,LANCE ARMSTRONG,OLIVER TAMBO,PICK 'N PAY,VUVUZELA,7.0,7.0,7.0,7.0,7.0
"CROUCHING TIGER, HIDDEN DRAGON",RYAN REYNOLDS,*BLOWING*,*WASHING*,BUSINESS DAY,7.0,7.0,7.0,7.0,7.0
ROBSON WALTON,STEP BROTHERS ,*TYPING*,NADIA COMANECI,DECIMALS,7.0,7.0,7.0,7.0,7.0
SURVIVOR,LOUIS ARMSTRONG,FEAR FACTOR,THE WRIGHT BROTHERS,HAPPY BIRTHDAY TO YOU,7.0,7.0,7.0,7.0,7.0
HUMMUS,NETFLIX,DARK KNIGHT ,SHERLOCK,JACK NICHOLSON,7.0,7.0,7.0,7.0,7.0
