1,2,3,4,5
HADEDAS,MECHANICAL KEYBOARD,NEW YEAR'S EVE,PATRICE MOTSEPE,PAULO COELHO
EMPIRE STATE BUILDING,POLITICS,NAKED MOLE-RAT,SPANISH FLU,COLOR PURPLE
PAM GOLDING,WEASEL,QATAR AIRWAYS,NASPERS,SANLAM
TO KILL A MOCKINGBIRD,CHEERS,TRAPEZIUM,CAPYBARA,X-RAY
LOUIS ARMSTRONG,VACCINE,TRAPPE VAN VERGELYKING,ANDON CORD,NORTHERN LIGHTS
AHMED KATHRADA,ISAAC NEWTON,GIRAFFE,RENAISSANCE,MALAYSIA
MTN,RHOMBUS,MOTHER'S DAY,CIRCUIT,AGAPANTHUS
BISTRO,2-FACTOR AUTHENTICATION,HANUKKAH,CARNIVORE,FIRST NATIONAL BANK
JOHANNESBURG,MAZDA,VIETNAM,"HOOK, LINE, SINKER",ROMAN EMPIRE
COMMONWEALTH GAMES,CAPE PROTEA,HONDA,QUEENSTOWN,IBUPROFEN
CHRIST THE REDEEMER,VISA,A CLOCKWORK ORANGE,FIFA WORLD CUP,HAKUNA MUTATA
HERBALIFE,GARDEN MOLE,BIOTECHNOLOGY,THE OUTSIDERS,CHAD
STARLINK,SILVERFISH,SCELETIUM,HILLBROW,GERMANY
LIBERATION DAY,UNIVERSITY OF THE WESTERN CAPE,RUBIK'S CUBE,ITALY,NADINE GORDIMER
CAPE ALOE,ARTIC,GETTYSBURG ADDRESS,CHROMOSOME,WIFI
PIETERMARTIZBURG,STONEHENGE,GUY FAWKES DAY,TORTOISE,3D PRINTING
AZKABAN,FREAKONOMICS,BRONZE,MINI COOPER,ICEBERG
EVAPORATION,STEPHEN KING,COMIC CON,CHANEL,SLACK
KINDLE,HOLOCAUST,KANGAROO,LITTLE PRINCE,DESALINATION
INTEL,GOOGLE GLASSES,JEEP,HELEN SUZMAN,BOER WAR
HIPPOPOTAMUS,COBALT,"READY, SET, GO",LUNAR NEW YEAR,OSLO
THE BRITISH OPEN,ZEBRA,ELECTROMAGNETISM,WALRUS,THE FAULT IN OUR STARS
OLIVER TWIST,TOKYO,KING OF THE AIR,E COLI,CONSTELLATION
HARVEY WEINSTEIN,ALPACA,ARAB SPRING,XENOPHOBIA,NITRATES
SADDAM HUSSEIN,ALEXANDER FLEMING,SQUARE,PEACOCK,NAKED INSURANCE
SUN INTERNATIONAL,VODACOM,THE APOSTLES,THE VIKINGS,KALEIDOSCOPE
RHYTHM,IKIGAI,CLEOPATRA,DISCHEM,SEPTEMBER 11
TURING MACHINE,THE COMMONWEALTH GAMES,INDEPENDENCE DAY,THE NIAGARA FALLS,FREEDOM CHARTER
THAILAND,THE PYRAMIDS,SAN SALVADOR,DIARY OF A WIMPY KID,THE OSCARS
MEXICO CITY,SASOL,"THE LION, THE WITCH AND THE WARDROBE",PARIS,BURGER'S DAUGHTER 
THE CRICKET WORLD CUP,IDI AMIN,VICTORIA FALLS,HIT THE NAIL ON THE HEAD,COBRA
MEMOIRS OF A GEISHA,HOLLAND,UMHLANGA ROCKS,DURBAN JULY,FACEBOOK
SOWETO UPRISING,KWAZULU-NATAL,ST. PATRICK'S DAY,KRYPTON,THE WESTERN CAPE
MEXICO,GAYTON MCKENZIE,BABOON,SLOTH,SATRIX
CUMULUS CLOUDS,GREAT EXPECTATIONS,GREAT WALL OF CHINA,CHINESE NEW YEAR,THE RED SEA
AT&T,NANOTECHNOLOGY,ATOMIC HABITS,OCTAGON,RING LIGHT
LAST CHRISTMAS,THE FIRST LADY,WALL STREET CRASH,FIRSTRAND,TELEGRAM
IPAD,HALLOWEEN,EGYPT,RUNOFF,DISGRACE
RIVONIA TRIAL,SOUTH AMERICA,ZAPIRO,THABO MBEKI,VLADIMIR LENIN
CHINA FLOODS,MEMORIAL DAY,FOSCHINI,COLOSSEUM,IMAM HARON
BELLVILLE,GREENPEACE,OTP,ISIXHOSA,CHRIS HANI
BIG MAGIC,GREEN EGGS AND HAM,CLICKS,VPN,THE HUNGER GAMES
JEAN-MICHEL BASQUIAT,FAULT IN OUR STARS,TURKEY,FRANKENSTEIN,HELEN ZILLE
NELSON MANDELA,SICILY,NEWTON'S SECOND LAW,HOODIE,SOVIET UNION
MACBETH,HERITAGE DAY ,CHRISTMAS EVE,POWERBANK,MY SISTER'S KEEPER
SUPERMAN,WAKANDA,AINSLEY HARRIOTT,DIVISION,POLYMER
GREECE,THE ZAMBEZI RIVER,NARNIA,ERITREA,PANGEA
HOUSE OF HADES,PROJECTOR,MOSCOW,AVALANCHE,MONACO
HUMAN RIGHTS DAY ,AXOLOTL,TAJ MAHAL,COST AN ARM AND A LEG,BITE THE BULLET
TRANSKEI,ENGLAND,UNITED STATES,GAUSSIAN DISTRIBUTION,BODMAS
HARVARD,BLACK BEAUTY,"SUGAR, SPICE AND EVERYTHING NICE",PENTAGON,"LIONS, TIGERS, BEARS, OH MY!"
STATUE OF LIBERTY,LUXEMBOURG,BUENOS AIRES,NOTRE DAME,MARK SHUTTLEWORTH
AFRIKAANS LANGUAGE MONUMENT,LIMPOPO,EMIRATES,MOUNT FUJI,THE NORTHERN CAPE
DIWALI,AFRIKABURN,DAY OF THE DEAD,HALLE BERRY,WILDERNESS
CLIFTON,STENOGRAPHY,GLASGOW,PYRAMIDS,RAM
CHILE,APPLE WATCH,ANTARCTICA,TOGO,WESTERN CAPE
D-DAY,DELOITTE,ARMADILLO,ABACUS,RAT KING
DURBAN,GRAND CANYON,ARTIFICIAL INTELLIGENCE,TRENCH TOWN,CODESA
WHATSAPP,KITE RUNNER,CORAL REEF,AFRICAN WORMWOOD,BRAAI DAY
OLD MUTUAL,MRI SCAN,EASTER MONDAY,THE LIMPOPO RIVER,CAPE COLONY
BP,GREAT GATSBY,GRAHAMSTOWN,NEIL ARMSTRONG,ELECTRIC DAISY CARNIVAL
THE LOUVRE,DAVID AND GOLIATH,QUANTUM COMPUTING,NOKIA 3310,GOOGLE EARTH
TATTOOIST OF AUSCHWITZ,VALENTINE'S DAY,DUNE,TUTANKHAMEN,DSTV DECODER
ROBOTS,INDIA,GALILEO GALILEI,SAVANNA,BERING STRAIT
HULU,ALPHABET,PORTUGAL,PENICILLIN,THE WRIGHT BROTHERS
THE ORANGE RIVER,BERLIN,SNOW LEOPARD,CAPITEC,PENNSYLVANIA
SUEZ CANAL,STETHOSCOPE,CAPE OF GOOD HOPE,PANGOLIN,KENYA
SINKHOLE,PLUTO,JOHANN RUPERT,BARBIE AND KEN,SAUDI ARABIA
NEW YORK,GONE GIRL,ATHLONE,MANATEE,GABORONE
OUTLIERS,KHOI AND SAN,ASICS,ROBERT MUGABE,THE SHAH 
JAKARTA,SCHABIR SHAIK,NITROGEN,VIRUS,SWISS ARMY KNIFE
NETCARE,TWELFTH NIGHT,BARACK OBAMA,INTERNATIONAL WOMEN'S DAY,THE MARTIAN
METAMORPHIC ROCK,RED PANDA,ALCHEMY,PRETORIA,THE FÜHRER
AK-47,TUNISIA,ROSH HASHANAH,JACK AND THE BEANSTALK,CARBON
DAISIES,THE THIRD REICH,FW DE KLERK,EQUILIBRIUM,CAMPS BAY
MONTENEGRO,HELIUM,CASUAL DAY,MALCOLM GLADWELL,MULTIPLICATION
XI JINPING,V&A WATERFRONT,THE INDIAN OCEAN,GAME THEORY,THE DA
KILLER WHALE,STOCKHOLM,THERESA MAY,FRACTIONS,NOKIA 
MICROSOFT,MZOLI'S,UP THE CREEK,TITANIC,MOBY DICK
STEVE BIKO,TOUCH TYPING,FORBIDDEN CITY,DEATH STAR,YAMAHA
SUN CITY,NEUTRON,BILL GATES,MONKEY POX,KLEIN KAROO
THOMAS EDISON,ORIGIN OF SPECIES,KUDU,MANCHESTER,YOUTH DAY
THE CONSTITUTION ,FRANSCHHOEK,WELLINGTON,MOUNT RUSHMORE,FATHER'S DAY
SAPIENS,LESOTHO,DOWN SECOND AVENUE,SANTIAGO,NAGASAKI
POLAND,EDINBURGH,DNA,MOWBRAY SUBURBS,OSAKA
ASTRONOMY,MACHU PICCHU,FAHRENHEIT 451,WILLIAM SMITH,CHICAGO
HYPOTHESIS,HARVEST FESTIVAL,KABUL,5G,PRINCE WILLIAM
THE ALCHEMIST ,CAT IN THE HAT,TAMAGOTCHI,SECRETARYBIRD,BIG HOLE
HERMANUS WHALE FESTIVAL,PEARL HARBOUR,SAND DUNE,OKTOBERFEST,TREVOR MANUEL
GOLDEN DISH,SHOEBILL,SANDTON,MOMENTUM,LORD OF THE FLIES
RAMADAN,FIJI,YOUTUBE,SUDAN,MARDI GRAS
CAIRO,ANTIBIOTICS,SLAUGHTERHOUSE-FIVE,SHELL,MATILDA
BUMBLEBEE,PRAGUE,ZINC,NVIDIA ,EDUCATED
TRAFFIC LIGHT,BLUE CRANE,EIFFEL TOWER,1984,RACCOON
TOMORROWLAND,WHIRLPOOL,HITCHHIKER'S GUIDE TO GALAXY,TELEVISION,THE LONDON EYE
WORLD WAR I,TONGA,GOOD FRIDAY,NEW YEAR’S DAY,MUAMMAR GADDAFI
LOVE LANGUAGES,PRAYING MANTIS,RAPPORT,AUTOMATIC,COMPLEX NUMBERS
URANUS,STANDARD BANK,RIHANNA,46664,THE SHARD
WATER CYCLE,MORSE CODE,BETWEEN TWO WORLDS ,FREE STATE,NAMAQUALAND
WINSTON CHURCHILL,IPHONE,MÖBIUS STRIP,THE GARDEN OF EDEN,VENEZUELA
LAGOON,CHEETAH,WIKIPEDIA,CHLOROPHYLL,PRINCE
CLOCKWORK PRINCESS,MOSQUITO,FREEDOM DAY,MICHELLE OBAMA,WORKERS’ DAY
THANKSGIVING,RHODES MUST FALL,Y2K,WILDEBEEST,ANGLO AMERICAN
CALABASH,TELESCOPE,BREXIT,EMPEROR PENGUIN,ALICE IN WONDERLAND
NETHERLANDS,PRIDE AND PREJUDICE,LISBON,GREAT BRITAIN,MICROPHONE
GLACIER,JOHN STEENHUISEN,HOT SPRINGS,COMOROS,KARL MARX
PLATYPUS,HUNGER GAMES,LED,"STOP, DROP, ROLL",THERMODYNAMICS
FAUNA AND FLORA,DRIFTWOOD,INDONESIA,NORWAY,NATIONAL WOMEN'S DAY
DA VINCI CODE,FRENCH REVOLUTION,SEOUL,CUM BOOKS,LEBONON
LORD OF THE RINGS,MAGNA CARTA,THE OKTOBERFEST,TRIANGLE ,BREAKING THE ICE
SPAIN,TREASURE ISLAND,PAUL KAGAME,WINNIE MANDELA,SULPHATES
GAUTENG,BLUETOOTH,GOLDEN RATIO,ANTON RUPERT,RAINFOREST
THE WINDY CITY,CAPE VERDE,COVID-19,MAHATMA GANDHI,CYRIL RAMAPHOSA
I HAVE A DREAM,DESERT,MASSMART,THE SUBTLE ART OF NOT GIVING A F*CK,MELBOURNE
ADVENTURES OF HUCKLEBERRY FINN,COLD WAR,ATHENS,PATRICIA DE LILLE,GOLD RUSH
WORLD WIDE WEB,SEASHELLS,HILLSONG CHURCH,SISTINE CHAPEL,CARACAL
GRILLERS,LABOUR DAY,METAPHOR,SIX-DAY WAR,JOHNSON & JOHNSON
VIETNAM WAR,LEMUR,PUMA,TOYOTA,LYNX
"FATHER, SON, HOLY SPIRIT",KOMODO DRAGON,MOUNT EVEREST,APARTHEID,PERKS OF BEING A WALLFLOWER
PIETER GROENEWALD,THE SUPER BOWL,CHRIS BARNARD,K53,SOUTH AFRICA
GLOBAL POSITIONING SYSTEM,AUDI,UFO,CHARLOTTE'S WEB,AMBER
TYMEBANK,THE MIDNIGHT LIBRARY,CHEMOTHERAPY,O.R. TAMBO INTERNATIONAL AIRPORT,HENDRICK VERWOERD
RNA,JAN SMUTS,BECOMING,HYDROGEN,GOLDEN GATE BRIDGE
GBV,TREATY OF VERSAILLES,HOLOGRAM,NEW DELHI,TERRACOTTA ARMY
PALACE OF VERSAILLES,BLACK DEATH,ROBSON WALTON,SOUTH KOREA,AERODYNAMICS
TONY BLAIR,DISCOVERY,BURNING MAN,BETHLEHEM,JIMI HENDRIX
FIBONACCI SEQUENCE,SOMALIA,EAST LONDON,FIVE SENSES,PRECIPITATION
AMISH,BOXING DAY,THE MOON LANDING,JACOB ZUMA,THE FRENCH OPEN
HIROSHIMA,BASTILLE DAY,TRANSVAAL,NEW ZEALAND,EPSTEIN ISLAND
IDRIS ELBA,FABLE,SAMSUNG,THE MIDDLE EAST,ALCHEMIST
LIGER,INDUSTRIAL REVOLUTION,GULF WAR,BLACKBERRY,ALGORITHM
WALES,CRESENT CITY,AUSTRALIA,EMBRYO,CROOKED KINGDOM
STAPLER,PHILOSOPHY,DR SEBI,ARGENTINA,MASSACHUSETTS
MALDIVES,PRESSURE COOKER,THE BIG HOLE ,NATO,FIFTY SHADES OF GREY
COSATU,DESMOND TUTU,OXYGEN,NORTH AMERICA,SANDMAN
UNITED NATIONS,OLIVER TAMBO,ERAGON,WAR AND PEACE,LIGHTING CABLE
CHRISTMAS DAY,MOTHERBOARD,SPACE RACE,CHEVRON ,DAILY SUN
BUCKINGHAM PALACE,THE SERENGETI,P.W. BOTHA,RUSSIA,UNITED KINGDOM
SWEDEN,SHARPEVILLE,PERU,RIO CARNIVAL,NSFAS
MOROCCO,BMW,AIR FRYER,GONE WITH THE WIND,VINCENT VAN GOGH
