Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
"[FORK, SPOON, KNIFE]",BLACKBERRY,ALCHEMY,STEP UP 4,WORCESTERSHIRE SAUCE,8.0,8.0,8.0,8.0,8.0
THE RED SEA,MOBY DICK,PALACE OF VERSAILLES,SHANE DAWSON,SIYA KOLISI,8.0,8.0,8.0,8.0,8.0
COVID-19,RAT KING,CHILE,MOTHER TERESA,COCA-COLA,8.0,8.0,8.0,8.0,8.0
OXYGEN,MICHAEL PHELPS,PRINCESS LEIA,CAMPS BAY,"[WHATSAPP, FACEBOOK, INSTAGRAM]",8.0,8.0,8.0,8.0,8.0
KUDU,SPANISH FLU,DOCSIDE,SPOTIFY,CLIFTON,8.0,8.0,8.0,8.0,8.0
CHARLIZE THERON,WESTERN CAPE,MÖBIUS STRIP,DWAYNE JOHNSON,MUAMMAR GADDAFI,8.0,8.0,8.0,8.0,8.0
NARNIA,STAR-NOSED MOLE,MARLON BRANDO,YOUTH DAY,PRINCE,8.0,8.0,8.0,8.0,8.0
DAVID BOWIE,TATTOOIST OF AUSCHWITZ,NIKE,HIROSHIMA,OUTLIERS,8.0,8.0,8.0,8.0,8.0
SOWETO UPRISING,NICKY OPPENHEIMER,JONTY RHODES,MOUNT EVEREST,ALICE’S ADVENTURES IN WONDERLAND,8.0,8.0,8.0,8.0,8.0
RACCOON,MARS,GIRAFFE,NORWAY,PEKING DUCK,8.0,8.0,8.0,8.0,8.0
TO KILL A MOCKINGBIRD,NATALIE PORTMAN,SOUTH KOREA,GONE GIRL,TRANSKEI,8.0,8.0,8.0,8.0,8.0
BUMBLEBEE,THABO MBEKI,ATOMIC HABITS,OLIVER TWIST,SILENCE OF LAMBS,8.0,8.0,8.0,8.0,8.0
NSFAS,"[BREAKFAST, LUNCH, DINNER]",THE LONDON EYE,BLOBFISH,YELLOW RIVER FLOOD,8.0,8.0,8.0,8.0,8.0
SHAQUILLE O'NEAL,BAFANA BAFANA,5TH GENERATION,CHICKEN KEBAB,E-READER,8.0,8.0,8.0,8.0,8.0
ITALY,BARAKAT,MY SISTER'S KEEPER,UNITED STATES,SASOL,8.0,8.0,8.0,8.0,8.0
MATCHBOX,ANGELINA JOLIE,SECRETARYBIRD,NAOMI OSAKA,LONDON,8.0,8.0,8.0,8.0,8.0
MERYL STREEP,CAPYBARA,SAPIENS,NELSON MANDELA,ZINEDINE ZIDANE,8.0,8.0,8.0,8.0,8.0
MIRIAM MAKEBA,"STOP, DROP, ROLL",SISTINE CHAPEL,XENOPHOBIA,CARACAL,8.0,8.0,8.0,8.0,8.0
LYNX,BUFFALO SPRINGFIELD,HERBALIFE,BECOMING,BARBIE AND KEN,8.0,8.0,8.0,8.0,8.0
RAFAEL NADAL,IPHONE SE,WALL STREET CRASH,TRUE DETECTIVE,TOKYO,8.0,8.0,8.0,8.0,8.0
CARPENTERS,THE TAJ MAHAL,D-DAY,RING LIGHT,"[SWIM, JOG, CYCLE]",8.0,8.0,8.0,8.0,8.0
"[SHIRT, PANTS, JACKET]",KOREAN WAR,"FATHER, SON, HOLY SPIRIT",GOLDEN RATIO,BASSEM YOUSSEF,8.0,8.0,8.0,8.0,8.0
SOUTH AFRICA,MARAIS VILJOEN,SADDAM HUSSEIN,PENNSYLVANIA,WHIRLPOOL,8.0,8.0,8.0,8.0,8.0
FOSCHINI,MOUNT FUJI,BOBCAT,PALAU,HIDE AND SEEK,8.0,8.0,8.0,8.0,8.0
LED ZEPPELIN,GAUTENG,CRUSADES,SWEDEN,AFRIKABURN,8.0,8.0,8.0,8.0,8.0
THE COMMONWEALTH GAMES,"SUGAR, SPICE AND EVERYTHING NICE",ASTRONOMY,GREAT WALL OF CHINA,HOUSE OF HADES,8.0,8.0,8.0,8.0,8.0
ATHENS,MMA,TRIFLE,RAM,ARTIC,8.0,8.0,8.0,8.0,8.0
IPAD,PARIS,SKILPOPPE,MOWBRAY SUBURBS,"[CIRCLE, SQUARE, TRIANGLE]",8.0,8.0,8.0,8.0,8.0
VIRUS,PULP FICTION,FAMILY GUY,WHATSAPP,CHICHEN ITZA,8.0,8.0,8.0,8.0,8.0
TEQUILA,SOVIET UNION,HUBBLE'S LAW,MOSQUITO,PHO,8.0,8.0,8.0,8.0,8.0
AGAPANTHUS,WORLD WAR II,CHEMOTHERAPY,FOOTBALL,CAIRO,8.0,8.0,8.0,8.0,8.0
PUMA,JAKE WHITE,TOKOLOSHI,CALGARY,TAJ MAHAL,8.0,8.0,8.0,8.0,8.0
RIHANNA,PENICILLIN,ROBERT DOWNEY JR.,PANGEA,VIETNAM WAR,8.0,8.0,8.0,8.0,8.0
JAMES BLUNT,BISTRO,NOTRE DAME,AERODYNAMICS,KHABIB NURMAGOMEDOV,8.0,8.0,8.0,8.0,8.0
CAPE PROTEA,LEONARDO DICAPRIO,CAPE TOWN,SAGO PUDDING,BITE THE BULLET,7.0,7.0,7.0,7.0,7.0
PESTO,CYRIL RAMAPHOSA,NOEM MY SKOLLIE,SLASH,KOESISTERS,7.0,7.0,7.0,7.0,7.0
RENAISSANCE,GOUDA,ROBERT MUGABE,JUDO,GERMANY,7.0,7.0,7.0,7.0,7.0
GORILLA,EIFFEL TOWER,THE SMURFS,LUCILLE BALL,GOLD RUSH,7.0,7.0,7.0,7.0,7.0
DISCOVERY,"QUACK, QUACK, QUACK",THE ALCHEMIST ,PYTHAGOREAN THEOREM,DESALINATION,7.0,7.0,7.0,7.0,7.0
MARIAH CAREY,BERLIN,CAPE TOWN HARBOUR,SALEH BBQ TONIGHT ,ROME,7.0,7.0,7.0,7.0,7.0
FIFA WORLD CUP,MICHAEL SCHUMACHER,V&A WATERFRONT,THE MIDNIGHT LIBRARY,THE VOICE,7.0,7.0,7.0,7.0,7.0
EMBRYO,LARRY BIRD,"[PARK, NEUTRAL, DRIVE]",VISA,BURGER KING,7.0,7.0,7.0,7.0,7.0
EDUCATED,NAGASAKI,CLEOPATRA,MICHAEL JORDAN,GREECE,7.0,7.0,7.0,7.0,7.0
"[MOUTH, EYES, NOSE]",NAPOLEONIC WARS,LIGHTHOUSE,THE HUNGER GAMES,"MEOW, MEOW, MEOW",7.0,7.0,7.0,7.0,7.0
ALPACA,THE DA,ARAB SPRING,MINNIE MOUSE,UNIVERSITY OF THE WESTERN CAPE,7.0,7.0,7.0,7.0,7.0
ISRAEL,CAPE OF GOOD HOPE,PORTUGAL,MRBEAST,THAILAND,7.0,7.0,7.0,7.0,7.0
PRAYING MANTIS,MARIKANA MASSACRE,BILLABONG,DEVIL'S PEAK,TOBLERONE,7.0,7.0,7.0,7.0,7.0
HOLOCAUST,STEVE MCQUEEN,CONSTELLATION,XHOSA,HOT SPRINGS,7.0,7.0,7.0,7.0,7.0
ARGENTINA,HIPPOPOTAMUS,COLOSSEUM,46664,PEACOCK,7.0,7.0,7.0,7.0,7.0
WINNIE MANDELA,KOMODO DRAGON,THE NORTHERN CAPE,RUSSELL PETERS,GRAND CANYON,7.0,7.0,7.0,7.0,7.0
WOLF,WORLD WAR I,UCHIHA SASUKE,NEW DELHI,"[CUT, COPY, PASTE]",7.0,7.0,7.0,7.0,7.0
ORANIA,EQUILIBRIUM,BODMAS,SOUTH AMERICA,HEIDI,7.0,7.0,7.0,7.0,7.0
BUCKINGHAM PALACE,HADEDAS,JALAPEÑO,PRETORIA,MANCHESTER,7.0,7.0,7.0,7.0,7.0
ROOSTERKOEK,R KELLY,BLACK PANTHER,STATUE OF LIBERTY,TALKING TO THE MOON,7.0,7.0,7.0,7.0,7.0
CASSPER NYOVEST,THE INDIAN OCEAN,THE BOYS,THE WINDY CITY,SOPRANOS,7.0,7.0,7.0,7.0,7.0
KANGAROO,GEOMETRY,YOUNGSTACPT,INDIA,MACHU PICCHU,7.0,7.0,7.0,7.0,7.0
"[RED, GREEN, YELLOW]",AZKABAN,GEOPOLITICS,CHRISTIAN BALE,NEW ZEALAND,7.0,7.0,7.0,7.0,7.0
