,1,2,3,4,5
54,LOUIS VUITTON,WORLD OF WARCRAFT,ONE PIECE,BODY IS A WONDERLAND,GRAND BUDAPEST HOTEL
55,PUMPED UP KICKS ,BRAAI DAY,HOUSE OF CRONIES,SAN AND KHOIKHOI,"SWIM, JOG, CYCLE"
56,PHO,SWORD ART ONLINE,VEEP,BHUTAN,MANSA MUSA
57,MAXWELL'S EQUATION,KING OF HILL,APPLE BOMPI,RIVONIA TRIAL,NATSU DRAGNEEL
58,NEON GENESIS EVANGELION,KWAITO,MASTERCHEF,CARELESS WHISPER,"FORK, SPOON, KNIFE"
59,AVATAR LAST AIRBENDER,QUENTIN TARANTINO,NKOSI,AB DE VILLIERS,MOHAMED SALAH
60,MUTI,AFRIKABURN,CORUSCANT,GUYANA,YUSUKE URAMESHI
61,ROGER FEDERER,BOBOTIE,MUHAMMAD ALI,NOEM MY SKOLLIE,LOST
64,SKEEM SAAM,SEX PISTOLS,GOGO,PRESSURE COOKER,FINAL FANTASY VII
65,FARGO,PICTIONARY,"RED, GREEN, YELLOW",PARKOUR,SARMIE
66,CHEESE ROLLING,ULTIMATE FRISBEE,PROOF OF STAKE,THUNEE,RUN JOZI
68,FIREFLY,PEWDIEPIE,KOBE BRYANT,SARAFINA,CHICKEN BILTONG
69,NICKEL,LUCKY STAR,CURB YOUR ENTHUSIASM,STAR TREK,GOOD BYE LENIN!
70,TRIATHLON,DSTV DECODER,"CUT, COPY, PASTE",TO KILL A MOCKINGBIRD,MONTENEGRO
73,TREVOR NOAH,GET OUT,SUPEREGO,LAMELO BALL,"PARK, NEUTRAL, DRIVE "
74,IDI AMIN,PEAKY BLINDERS,R KELLY,NOOIT,BASSEM YOUSSEF
75,AG NEE MAN,PICKLEBALL,SCOOBY-DOO,INDABA,"HUE, SATURATION"
76,LEWIS HAMILTON,BOARDWALK EMPIRE,TSOTSI,SURVIVOR SERIES,GAME OF THRONES
77,ALICE’S ADVENTURES IN WONDERLAND,STENOGRAPHY,LAAITIE,HANNIBAL,GEES
78,ANDON CORD,DIEGO MARADONA,NETCARE,TITO MBOWENI SHA SHA,CASSPER NYOVEST
79,PORTISHEAD,"SNAP, CRACKLE, POP",MOPARKS,"INTRODUCTION, BODY, CONCLUSION",AT&T
81,PATRICE MOTSEPE,MACHU PICCHU,HUBBLE'S LAW,NEW DELHI,"CLAVICLE, SCAPULA"
82,"FATHER, SON, HOLY SPIRIT",MASASHI KISHIMOTO,KYLIAN MBAPPE,SHEIKH HASINA,VIE MAAK DIE JOL VOL
83,SAY MY NAME,CARACARA,VLADIMIR LENIN,ATHOL FUGARD,"KOEKSISTERS, KOESISTERS"
84,DJIBOUTI,ANKARA,DOCSIDE,PULP FICTION,WIRE
85,"EARTH, WIND, FIRE",AHMED KATHRADA,PEPPERMINT CRISP,HILLSONG CHURCH,LONG WALK TO FREEDOM
86,ONE FLEW OVER CUCKOO'S NEST,"CAPITALISM, SOCIALISM",DEVIL WEARS PRADA ,PIETER GROENEWALD,HURT SO BAD 
87,GRAVITY FALLS,HERMANUS WHALE FESTIVAL,DUNNING–KRUGER EFFECT,CHEESE BOY,JOE BARBER
88,BORIS JOHNSON,GODFATHER: PART II,UNO,LET IT BURN,HAGIA SOPHIA
89,BLACKPINK,30 ROCK,INVICTUS,SACHIN TENDULKAR,UIWESLAAI
90,TAMAGOTCHI,MRBEAST,DESPACITO,BIG MOUTH,EVERY BREATH YOU TAKE
92,"SHIRT, PANTS, JACKET",CREED,AXOLOTL,SMOSH,AFRICAN WORMWOOD
94,JACK ROOSEVELT ROBINSON,MARIAH CAREY,LET ME HOLD YOU DOWN,MARK FISH,LUXEMBOURG
95,KABADDI,DRAGONBALL DURAG,HONDA MOTOR,1 2 STEP,PAUL LEVESQUE
97,STREET FIGHTER ,TALIEP PETERSEN,BLACK DEATH,PELOPONNESIAN WAR,FOUR CORNERS
98,OZARK,OFFICE US,BANG BANG BANG,LIGER,ALL I WANT FOR CHRISTMAS IS YOU
99,WITCHER,BERLIN WALL,EDINBURGH CASTLE,MIMOSA,ANEESA'S
100,FRANKLIN D. ROOSEVELT,DRICUS DU PLESSIS,CHRIST THE REDEEMER,MAHER ZAIN,TKZEE
101,JAMES BLUNT,LARRY BIRD,WHITE RUSSIAN,DROP IT LIKE IT'S HOT,VULINDLELA
102,COLOSSEUM,"LIONS, TIGERS, BEARS",SPOTIFY,GEORGE BEST,GATTIES
103,HIDE AND SEEK,HIT THE NAIL ON THE HEAD,MOTHERBOARD,ASIMBONANGA,"CORROSION, RUST"
104,"LARGE, MEDIUM, SMALL",HELEN ZILLE,WORLD WAR II,EYEDRESS,"SKY, CLOUD, RAIN"
105,MARAIS VILJOEN,DEVIL'S PEAK,BANSHEE,MALDIVES,SHERLOCK
106,AMERICAN REVOLUTIONARY WAR,BUFFY VAMPIRE SLAYER,DANNY K,"CIRCLE, SQUARE, TRIANGLE",HADEDAS
