Word,Tag 1,Tag 2,Tag 3,South Africa,Colour
Amazing Race,TV Show,,,,0
Angkor Wat,Geography,Landmarks,,,1
American Revolutionary War,History,,,,1
AT&T,Companies,,,,1
art blakey,People and Characters,Music,Artist,,0
Atomic Habits,Language and Literature ,Book,,,1
Athol Fugard,People and Characters,,,,1
Apple Bompi,Food and Drink,,,1,1
Azkaban,Language and Literature ,Places,,,0
and united we shall stand,Music,Lyrics,,1,1
Bad Bunny,People and Characters,Music,Artist,,0
Anglo-Zulu War,History,South Africa,,,0
ball is in your court,Language and Literature ,,,,0
Aye-aye,Animals,,,,1
American Idol,TV Show,,,,1
*Cooking*,Actions,,,,1
Arab Springs,History,Event,,,0
Brandenburg Gate,Geography,Landmarks,,,0
Arrested Development,TV Show,,,,0
Aneesa's,Companies,,,1,1
Arduino,Companies,Technology,,,0
bassem youssef,People and Characters,,,1,1
Avatar: The Last Airbender,TV Show,,,,1
Asimbonanga,Music,,,,1
Barakat,Food and Drink,Meal,,1,0
Bhutan,Geography,Country,,,1
BlackBerry Bold,Technology,Things,,,0
British Petroleum Company,Companies,,,,0
Bantu Land Act,History,Event,,1,0
Bobotie,Food and Drink,,,1,1
Backstage,TV Show,,,1,0
Badminton,Sports,,,,0
Bayer AG,Companies,,,,0
Bayerische Motoren Werke,Companies,,,,1
Berlin Wall,Geography,Landmarks,,,1
Black Death,History,Event,,,1
Boer War,History,South Africa,,1,0
Burj Khalifa,Geography,Landmarks,,,0
Andon Cord,Things,,,,1
"BAA, BAA, BLACK SHEEP",Music,Lyrics,,,1
Becoming,Language and Literature ,Book,,,0
Between Two Worlds ,Language and Literature ,Book,,,0
bang bang bang,Music,Lyrics ,triplets,,1
"Black Skin, White Masks",Language and Literature ,Book,,,0
Banshee,TV Show,,,,1
*Break the ice*,Actions,,,,1
Bromine,Math and Science,,,,0
calabash,Nature,South Africa,,1,0
Axolotl,Animals,,,,1
beautiful girl,Music,Lyrics,,,1
Battlestar Galactica,TV Show,,,,0
Bidvest Group,Companies,,,,0
Big Bang Theory,TV Show,,,,1
Big Brother Nigeria,TV Show,,,,0
Billie Jean King,People and Characters,,,,1
"Blink, Wink",Technical,double,,,1
Brunei,Geography,Country,,,0
Cape Town Dance Festival,Events,,,1,0
Big Mouth,TV Show,,,,1
Belize,Geography,Country,,,1
Bin Rashied,Companies,,,1,1
Bjorn Borg,People and Characters,,,,0
Monex,Companies,,,,0
Black Mirror,TV Show,,,,1
"Breakfast, Lunch, Dinner",Technical,triplets,,,1
Buenos Aires,Geography,Capital,,,0
Blackpink,People and Characters,Music,Artist,,1
"Capitalism, Socialism",Technical,double,,,1
best of both worlds,Music,,,,1
bethlehem,Geography,Landmarks,,,1
*Bite the bullet*,Actions,,,,1
Blink 182,People and Characters,Music,,,0
Boerewors,Food and Drink,,,1,0
BODMAS,Math and Science,,,,0
Bohemian Rhapsody,Movies,,,,0
*Snorkelling*,Actions,,,,1
Calculus,Math and Science,,,,0
Cobalt,Math and Science,,,,0
Bern,Geography,Capital,,,1
"Bet on it, bet on it",Music,Lyrics,,,1
Blobfish,Animals,,,,0
Billie Jean,Music,Lyrics,,1,1
Boston Massacre,History,,,,0
Bleach,TV Show,Anime,,,0
Burger's Daughter ,Language and Literature ,Book,,,1
brexit,History,,,,0
Boris Johnson,People and Characters,Politician,,,1
Brenda Fassie,People and Characters,Music,,1,1
body is a wonderland,Music,Lyrics,,,1
Blood Diamond,TV Show,,,,0
Boardwalk Empire,TV Show,,,,1
Boer maak 'n plan,Culture,,,1,1
Boileroom,TV Show,,,,0
Buffalo Springfield,People and Characters,Music,Artist,,1
Call of Duty,Games,,,,1
Canoeing,Sports,,,,0
Chess Boxing,Sports,,,,0
Castles of Burgundy,Games,,,,1
BoJack Horseman,TV Show,,,,1
Bobsleigh,Sports,,,,1
Boondocks,TV Show,,,,0
Bokke,Culture,,,1,1
Bratislava,Geography,Capital,,,0
Buchu,Nature,South Africa,,1,1
can't get you out of my head,Music,Lyrics,,,1
Capybara,Animals,,,,0
Chevron ,Companies,,,,0
Charlotte’s Web,Language and Literature ,Book,,,0
Carpenters,People and Characters,Music,,,0
Boet,Culture,,,1,1
Bouldering,Sports,,,,0
California Gold Rush,History,,,,0
Breaking Bad,TV Show,,,,1
Brooklyn Nine-Nine,TV Show,,,,0
Cluedo,Games,Boardgame,,,1
Clockwork Princess,Language and Literature ,Book,,,0
Bokkoms,Food and Drink,,,1,1
Braaibroodjies,Food and Drink,,,1,0
Blockchain,Technology,,,,1
Chakalaka,Food and Drink,,,1,1
Chappies Bubble Gum,Food and Drink,,,1,0
Bucharest,Geography,Capital,,,0
Cape Town Klopse,Culture,,,1,1
Chicken Biltong,Food and Drink,,,1,1
Chichen Itza,Geography,Landmarks,,,0
Casey Neistat,People and Characters,Youtube,,1,1
"Caterpillar, Cocoon, Butterfly",Technical,triplets,,,0
Connect Four,Games,Boardgame,,,0
Cassper Nyovest,People and Characters,Music,,1,1
Buffy the Vampire Slayer,TV Show,,,,1
Carte Blanche,TV Show,,,1,1
Buckingham Palace,Geography,Landmarks,,,0
"Celsius, Kelvin, ",Technical,double,,,0
Champagne papi,People and Characters,Music,Artist,,1
Color Purple,Language and Literature ,Book,,,0
Coruscant,Language and Literature ,Places,,,1
BRIDGET JONES'S DIARY,Movies,,,,1
Cape Colony,History,South Africa,,1,0
Braai Day,Events,Holidays,,1,1
Chalte Chalte,Movies,,,,0
Cape Aloe,Nature,South Africa,,1,0
China Floods,History,Event,,,0
Caracara,Music,Lyrics,,,1
Chanel,Companies,,,,1
COVID-19,History,Event,,,0
Cowboy Bebop,TV Show,Anime,,,0
Charlize Theron,People and Characters,,,1,0
Chilli Popper,Food and Drink,Meal,,1,0
*Exercising*,Actions,,,,1
Cape Verde,Geography,Country,,,0
careless whisper,Music,,,,1
Chris Hani,People and Characters,Politician,,1,1
Chaos Theory,Math and Science,,,,0
Churros,Food and Drink,Meal,,1,1
crayfish curry,Food and Drink,Meal,,1,0
crazy eights,Games,,,,0
"Circle, Square, Triangle",Technical,triplets,,,1
Eid al-fitr,Events,,,,0
Caber Tossing,Sports,,,,1
"Clavicle, Scapula",Technical,double,,,1
cheese boy,Culture,,,1,1
Cheese-rolling,Sports,,,,1
Crusades,History,,,,0
Christopher Nolan,People and Characters,,,,0
City of God,Movies,,,,0
D-Day,History,,,,0
daltjies,Food and Drink,,,1,1
Eiffel Tower,Geography,Landmarks,,,0
Cleopatra,People and Characters,,,,1
Creed,Movies,,,,1
Christ the Redeemer,Geography,Landmarks,,,1
"Crouching Tiger, Hidden Dragon",Movies,,,,0
Comoros,Geography,Country,,,1
De Oranjes,History,,,,0
Cost an arm and a leg,Language and Literature ,,,,0
Danja Sausage,Food and Drink,,,1,0
Crown,TV Show,,,,0
Equestrianism,Sports,,,,0
Coldplay,People and Characters,Music,,,0
Denningvleis,Food and Drink,,,1,1
Double Hotdog with whopper sauce,Food and Drink,,,1,0
*walking up stairs*,Actions,,,,1
Complex Numbers,Math and Science,,,,1
cryptography,Technology,,,,0
Deezer,Companies,,,,0
Crooked Kingdom,Language and Literature ,Book,,,1
Despacito,Music,Lyrics,,1,1
Curb Your Enthusiasm,TV Show,,,,1
chemotherapy,Math and Science,,,,0
Chess,Sports,,,,1
"Corrosion, Rust",Technical,double,,,1
Dark Souls,Games,,,,0
Demon Slayer,TV Show,Anime,,,0
Cristiano Ronaldo,People and Characters,,,1,1
Digital twins,Technology,,,,0
Dexter,TV Show,,,,0
Cyril Ramaphosa,People and Characters,Politician,,,0
Da Vinci Code,Language and Literature ,Book,,,0
Danny K,People and Characters,Music,Artist,1,1
Coca-Cola Company,Companies,,,,1
Colosseum,Geography,Landmarks,,,1
Doctor Who,TV Show,,,,1
Daisies,Events,,,1,0
dragonball durag,Music,,,,1
Curious Case of Benjamin Button,Movies,,,,1
Dri Buddi,Things,,,1,0
dstv decoder,Things,,,1,1
FAUNA AND FLORA,Nature,,,,0
"Cut, Copy, Paste",Technical,triplets,,,1
Death Star,Language and Literature ,Places,,,0
Dala what you must,Culture,Language and Literature,,1,0
David Dobrik,People and Characters,Youtube,,,0
Diary of a Wimpy Kid,Language and Literature ,Book,,,0
David Kramer,People and Characters,South Africa,,1,1
driftwood,Nature,,,,0
Desmond Tutu,People and Characters,Politician,,1,1
Diego Maradona,People and Characters,Sports,Football,,1
Fibonacci Sequence,Math and Science,,,,0
Disgrace,Language and Literature ,Book,,,0
Dark Knight Trilogy,Movies,,,,0
DEVIL WEARS PRADA ,Movies,,,,1
Donald Bradman,People and Characters,,,,0
Die hard,Movies,,,,0
district 9,Movies,South Africa,,1,1
Django Unchained,Movies,,,,0
Electric Daisy Carnival,Events,,,,0
Dricus du Plessis,People and Characters,Sports,UFC,1,1
Dune,Movies,,,,0
CTEMF,Events,,,1,1
Dude Perfect,People and Characters,Youtube,,,0
Dwayne Johnson,People and Characters,Sports,,,1
Down Second Avenue,Language and Literature ,Book,,,0
Djibouti,Geography,Country,,,1
Doom,Games,,,,1
Durban July,Events,,,1,0
Empire State Building,Geography,Landmarks,,,0
Die Afrikaanse Patriot,History,South Africa,,1,0
Free State,Geography,,,,0
FIFA 2010 World Cup,History,South Africa,,,1
FAHRENHEIT 9/11 ,Movies,,,,1
DevOps,Technology,,,,1
Downton Abbey,TV Show,,,,0
Dragon Prince,TV Show,,,,1
drop it like it's hot,Music,Lyrics,,,1
"Earth, Wind and Fire",People and Characters,Music,,,0
Eritrea,Geography,Country,,,0
Formula E,Sports,,,,1
Freedom Charter,History,South Africa,,1,0
Dragonball Super,TV Show,Anime,,,0
Devil's Peak,Geography,Landmarks,,,1
"Drum, Piano, Bass",Technical,triplets,,,1
Dunning–Kruger effect,Language and Literature ,,,,1
Edward Elric,People and Characters,Anime,,,1
Eina,Culture,,,1,1
Electromagnetism,Math and Science,,,,0
Eggnog,Food and Drink,Drink,,1,1
Eldrick Tont Woods,People and Characters,Golf,,,0
Educated,Language and Literature ,Book,,,0
Diwali,Events,Holidays,,,0
Docside,Geography,Places,,,1
Edinburgh Castle,Geography,Landmarks,,,1
Eren Yeager,People and Characters,Anime,,,1
Empanadas,Food and Drink,Meal,,1,0
Fajitas,Food and Drink,Meal,,,1
Duran Duran,Music,Lyrics,,,1
Erling Haaland,People and Characters,,,1,0
Ek wil huis toe gaan,Music,Lyrics,,1,1
Great Barrier Reef,Geography,Landmarks,,,0
Family Guy,TV Show,,,,0
Eyedress,People and Characters,Artist,,,1
Falafel,Food and Drink,Meal,,,0
epstein Island,Geography,Places,,,0
"Earth, Wind, Fire",Technical,triplets,,,1
Fernando Alonso,People and Characters,F1,,,0
Fahrenheit 451,Language and Literature ,Book,,,0
Franklin D. Roosevelt,People and Characters,Politician,,,1
Fight Club,Movies,,,,0
Fargo,TV Show,,,,1
Donga,Culture,,,1,1
Fault in Our Stars,Language and Literature ,Book,,,0
Egoli,Geography,Places,,,1
Euler's Identity,Math and Science,,,,0
First national bank,Companies,,,1,1
Fear Factor,TV Show,Reality,,,0
Fourier Transform,Math and Science,,,,1
Glasgow,Geography,City ,,,0
fenugreek,Food and Drink,,,,1
Every Breath You Take,Music,Lyrics,,,1
eye of tiger,Music,Lyrics,,,1
Echidna,Animals,,,,0
Met Eish Bra,Culture,,,1,1
Firefly,TV Show,,,,1
flint,Things,,,,0
"Father, Son, Holy Spirit",Technical,triplets,,,1
Frappuccino,Food and Drink,Drink,,,0
Golden Dish,Geography,Places,,,0
Final Fantasy VII,Games,,,,1
Frederick Carlton Lewis,People and Characters,Sports,,,0
"Fork, Spoon, Knife",Technical,triplets,,,1
FW de Klerk,People and Characters,Politician,,1,1
Fela in versace,Music,Lyrics,,1,1
Forbidden City,Geography,Landmarks,,,0
Foschini Group,Companies,,,1,0
Finding Nemo,Movies,,,,1
Game Theory,Math and Science,,,,1
Golden Ratio,Math and Science,,,,0
guy fawkes day,Events,,,1,1
*Hitchhiking*,Actions,,,,1
Fruity Loops,Music,,,1,1
fiela se kind,Language and Literature ,,,1,1
Four Corners,Movies,South Africa,,1,1
Fossa,Animals,,,,0
Freakonomics,Language and Literature ,Book,,,0
Fleabag,TV Show,,,,0
Gees,Culture,,,1,1
Get Out,Movies,,,,1
Hadedas,Animals,South Africa,,1,1
Hulu,Companies,,,,0
Ericas,Nature,South Africa,,1,1
Friends,TV Show,,,,1
Fractals,Math and Science,,,,0
French Revolution,History,,,,0
Gautama Buddha,People and Characters,,,,0
General Theory of Relativity,Math and Science,,,,0
Godfather: Part II,Movies,,,,1
Grand Canyon,Geography,Landmarks,,,0
Hawker,Culture,,,1,1
GBV,History,Event,,,0
Gangnam Style,Music,Lyrics,,,0
Fruit Cake,Food and Drink,,,,1
Gem Squash,Food and Drink,,,,0
Gettysburg Address,History,Event,,,0
George Best,People and Characters,Sports,,,1
"Glue, Tape, Stapler",Technical,triplets,,,1
Gogo,Culture,,,1,1
Goldfinch,Language and Literature ,Book,,,0
Gone with the Wind,Language and Literature ,Book,,,0
George Herman Ruth,People and Characters,Sports,,,0
gatti,Games,,,,1
Futurama,TV Show,,,,0
Gaborone,Geography,Capital,,,0
Genome Sequencing,Math and Science,,,,1
Global Warming,Events,,,,0
Gohan,People and Characters,Anime,,,1
Good Mythical Morning,People and Characters,Youtube,,,1
Gulf War,History,South Africa,,,0
HAITI EARTHQUAKE,History,Event,,,0
"Hook, Line, Sinker",Technical,triplets,,,1
Gods Must Be Crazy,Movies,South Africa,,1,1
"get low, get low",Music,Lyrics,,,0
happy birthday to you,Music,,,,0
Good Bye Lenin!,Movies,,,,1
Golden Gate Bridge,Geography,Landmarks,,,0
Graça Machel,People and Characters,South Africa,,,0
Hagia Sophia,Geography,Landmarks,,,1
"Harder, Better, Faster, Stronger",Music,Lyrics,,,0
Great Expectations,Language and Literature ,Book,,,0
hurt so bad ,Music,Lyrics,,1,1
Game of Thrones,TV Show,,,,1
Gaussian Distribution,Math and Science,,,,0
*Glassblowing*,Actions,,,,1
great gatsby,Language and Literature ,Book,,,0
Good Place,TV Show,,,,0
Guyana,Geography,Country,,,1
Han Solo,People and Characters,,,,1
Hermanus Whale Festival,Events,,,1,1
I wanna be a billionaire,Music,Lyrics,,,0
I want to break free,Music,Lyrics,,,0
*Flying*,Actions,,,,1
Goulash,Food and Drink,Meal,,,1
Global Positioning System,Technology,,,,1
GOOGLE GLASSES,Technology,,,,0
Grillers,Language and Literature ,Book,,1,0
Hakuna Mutata,Language and Literature ,,,,1
Grand Theft Auto VI,Games,,,,1
Hiroshima,History,,,,0
Gravity Falls,TV Show,,,,1
Jakarta,Geography,Capital,,,1
Fynbos,Culture,,,1,1
Holocaust,History,,,,0
Great Depression,TV Show,,,,0
Hidden Leaf Village,Language and Literature ,Places,,,1
Helen Suzman,People and Characters,Politician,,,0
Helen Zille,People and Characters,Politician,,1,1
Half-Life 2,Games,,,,0
I'm every women,Music,Lyrics,,,0
Hendrick Verwoerd,People and Characters,Politician,,,0
Henry Ford,People and Characters,,,,1
Hannibal,TV Show,,,,1
Henry Louis Aaron,People and Characters,Sports,,,0
Great Wall of China,Geography,Landmarks,,,1
Hundred Years' War,History,South Africa,,,0
Hanoi,Geography,Capital,,,1
Hurricane Katrina,History,Event,,,0
Hubble's Law,Math and Science,,,,1
Hugh Masekela,People and Characters,Music,,,1
Hit the nail on the head,Language and Literature ,,,,1
hide and seek,Games,,,,1
Hopscotch,Games,,,,0
Grahamstown,Geography,Places,,,0
House of Cards,TV Show,,,,0
Ichigo Kurosaki,People and Characters,Anime,,,0
house of cronies,Games,Boardgame,,1,1
Hitchhiker's Guide to Galaxy,Language and Literature ,Book,,,0
hula hoop,Things,,,,1
Internet of Things,Technology,,,,0
"I'm blue, da ba dee da ba di",Music,Lyrics,,1,0
Idi Amin,People and Characters,Politician,,,1
imagine dragons,People and Characters,Music,,,0
Goodfellas,Movies,,,,0
IMAM Haroon,People and Characters,,,1,1
Grand Budapest Hotel,Movies,,,,1
Imagine all people,Music,Lyrics,,,0
"Hue, Saturation",Technical,double,,,1
Isabel Perón,People and Characters,,,,0
Jack Roosevelt Robinson,People and Characters,Sports,,,1
Grave of the Fireflies,Movies,Anime,,,0
Kremlin,Geography,Landmarks,,,0
How to Train Your Dragon,Movies,Animation,,,0
kap tol,Games,Culture,,,1
higgs boson,Technology,,,,1
In the Meantime,Music,Lyrics,,1,0
In the 18 Area,Music,Lyrics,,,0
Indaba,Culture,,,1,1
Jägerbomb,Food and Drink,Drink,,,0
Isidingo,TV Show,,,1,0
Ismaël Lô,Music,Artist,,,1
invictus,Movies,South Africa,,1,1
Joe Barber,Movies,South Africa,,1,1
Jacksepticeye,People and Characters,Youtube,,,0
Hillsong Church,Geography,Places,,,1
James Blunt,People and Characters,Music,Artist,,1
Jumper,Movies,,,,1
iPHONE SE,Things,,,,0
James Cleveland Owens,People and Characters,Sports,,,0
I have a dream,History,Event,,,0
James Francis Thorpe,People and Characters,Sports,,,1
Lima,Geography,Capital,,,0
Hoʻoponopono,Language and Literature ,,,,0
House of Hades,Language and Literature ,Book,,,0
Hueco Mundo,Language and Literature ,Places,,,0
Jan Smuts,People and Characters,Politician,,1,0
Jenna Marbles,People and Characters,Youtube,,,1
Kabhi Kushi Kabhi Gham,Movies,Indian,,,0
Kabaddi,Sports,,,,1
Joe Rogan Podcast,TV Show,,,,1
Jerry Rice,People and Characters,Sports,,,0
Hunger Games,Language and Literature ,Book,,,0
Ikigai,Language and Literature ,,,,0
Honda Motor,Companies,,,,1
Johann Rupert,People and Characters,Politician,,1,1
Johannes Gutenberg,People and Characters,,,1,0
John Herschel,People and Characters,,,,1
Juffrou Is 'n Monster,Language and Literature ,Book,,1,0
Johnny Clegg,People and Characters,Music,Artist,1,1
King of the air,Events,,,,0
it's too late to apologize,Music,Lyrics,,,1
July's People ,Language and Literature ,Book,,,0
Industrial Revolution,History,Event,,,1
"Hypothesis, Conclusion",Technical,double,,,0
Kanto Earthquake,History,Event,,,0
Jon Jones,People and Characters,Sports,,,0
Just keep swiming,Music,Lyrics,,1,1
Kakapo,Animals,,,,0
Kimchi,Food and Drink,Meal,,,1
Kiribati,Geography,Country,,,0
Jonty Rhodes,People and Characters,Sports,Cricket,1,1
Motherwell,Geography,City ,,,0
Keeping Up with Kardashians,TV Show,,,,0
"Introduction, Body, Conclusion",Technical,triplets,,,1
Isibindi,Culture,,,1,1
JPMorgan,Companies,,,1,0
Kabul,Geography,,,,1
Joseph Clifford Montana,People and Characters,Sports,,,0
Kite runner,Language and Literature ,Book,,,0
Kwaito,Culture,,,1,1
Kakashi Hatake,People and Characters,Anime,,,1
Mount Fuji,Geography,Landmarks,,,0
Let the cat out of the bag ,Language and Literature ,,,,0
Kanye West,People and Characters,Music,Artist,,0
Kaytranada,People and Characters,Music,Artist,,1
Khabib Nurmagomedov,People and Characters,Sports,UFC,,0
Klein Karoo,Geography,,,,0
Korean War,History,South Africa,,,0
Kobe Bryant,People and Characters,Sports,Basketball,,1
Koos Bekker,People and Characters,Politician,,,0
"Knife, Fork, Spoon",Technical,triplets,,,1
Lemon Atcha,Food and Drink,,,,0
"Kaptein, van die sailor ",Music,Lyrics,,1,1
Kylian Mbappé,People and Characters,Sports,Football,,1
LaMelo Ball,People and Characters,Basketball,,,1
Lance Armstrong,People and Characters,Sports,,,0
Kal Ho Naa Ho,Movies,Indian,,,1
Kyiv,Geography,Capital,,,0
"Large, Medium, Small",Technical,triplets,,,1
Larry Bird,People and Characters,Sports,Basketball,,1
Maldives,Geography,Country,,,1
LeBron James,People and Characters,Sports,,,0
Kashmir,Music,Song,,,1
Led Zeppelin,People and Characters,Music,Artist,,1
Kat and the Kings,Movies,South Africa,,1,1
"Laugh, Giggle, Snicker",Technical,triplets,,,1
Levi Ackerman,People and Characters,Anime,,,0
Lekker,Culture,,,1,1
Lucky Star,Food and Drink,,,1,1
"the LION, the WITCH AND the WARDROBE",Language and Literature ,,,,1
Mampara,Culture,,,1,1
Naked Mole-Rat,Animals,,,,0
Kiss me thru phone,Music,Lyrics,,,1
Johnson & Johnson,Companies,,,,1
Kill Bill,Movies,,,,1
let it burn,Music,Lyrics,,,1
Little Prince,Language and Literature ,Book,,,0
let me hold you down,Music,Lyrics,,,1
Lewis Hamilton,People and Characters,Sports,F1,,1
Kuch Kuch Hota Hai,Movies,Indian,,,1
Light Yagami,People and Characters,Anime,,,0
National Women's Day,Events,Holidays,,1,0
Lilly Singh,People and Characters,Youtube,,,1
Lets go 50/50 ,Music,,,1,1
Let the Right One In,Movies,,,,0
Liberation Day,Events,Holidays,,,0
liger,Animals,,,,1
Lionel Messi,People and Characters,Sports,Football,,0
lord of the flies,Language and Literature ,Book,,,0
Louis Armstrong,People and Characters,,,,1
Liza Koshy,People and Characters,Youtube,,,0
Lizzie Magie,People and Characters,,,,1
Luciano Pavarotti,People and Characters,Music,Artist,,0
King of the Hill,TV Show,,,,1
*Knitting*,Actions,,,,1
Line of Duty,TV Show,,,,0
Lion's ear,Nature,South Africa,,1,0
"Lemon, Orange",Technical,double,,,1
Louis Vuitton,Companies,,,,1
Lucky Dube,People and Characters,Music,,1,1
Magic Johnson,People and Characters,Sports,Basketball,,0
NVIDIA ,Companies,,,,0
Long Walk to Freedom,Movies,South Africa,,1,1
Kinshasa,Geography,,,,1
"Koeksisters, Koesisters",Culture,doubles,,1,1
Lisbon,Geography,Capital,,,1
Mahatma Gandhi,People and Characters,Politician,,,1
Lost,TV Show,,,,1
Malcolm Gladwell,People and Characters,Literature,,,0
Melktert,Food and Drink,,,1,0
Mansa musa,People and Characters,,,,1
one-time password,Technology,,,,0
Marais Viljoen,People and Characters,Politician,,1,1
Komodo Dragon,Animals,,,,1
Krypton,Math and Science,,,,0
inside out,Movies,,,,0
Mariah Carey,People and Characters,Music,Artist,,1
Magna Carta,History,Event,,,1
Marie Curie,People and Characters,,,,0
Mark fish,People and Characters,Sports,Football,1,1
"Lions, Tigers, Bears",Technical,triplets,,,1
One Flew Over the Cuckoo's Nest,Movies,,,,1
"Mascara, Eyeliner",Technical,triplets,,,1
"Meow, Meow, Meow",Technical,triplet,,,0
Lesotho,Geography,Country,,1,0
Maoist China,History,Event,,,0
Mark Shuttleworth,People and Characters,,,,0
Markiplier,People and Characters,Youtube,,1,1
Metal Gear Solid,Games,,,,0
morse code,Technology,,,,0
Motherboard,Technology,,,,1
Ouagadougou,Geography,,,,0
Kombi,Culture,,,1,1
like a g6,Music,,,,1
Liechtenstein,Geography,Country,,1,0
Marlon Brando,People and Characters,,,,0
Marnus Labuschagne,People and Characters,Sports,Cricket,,1
Maxwell's Equation,Math and Science,,,,1
Minecraft,Games,,,,0
Martina Navratilova,People and Characters,Sports,Tennis,,1
maher zain,Music,Artist,,,1
Masashi Kishimoto,People and Characters,Anime,,,1
Michael Jordan,People and Characters,Sports,,,0
Michael Phelps,People and Characters,Sports,,,1
lord of the rings,Language and Literature ,Book,,,0
Massmart,Companies,,,,0
Love Island,TV Show,,,,0
Michael Schumacher,People and Characters,Sports,F1,,0
Mixed Martial Arts,Sports,,,,0
Mount Rushmore,Geography,Landmarks,,,0
Mad Men,TV Show,,,,1
Pangea,Geography,,,,0
Laaitie,Culture,,,1,1
Mimosa,Food and Drink,Drink,,,1
Madam & Eve,TV Show,,,1,0
*Mexican wave*,Actions,,,,1
Mickey Mantle,People and Characters,Sports,,,1
Mike Tyson,People and Characters,Sports,Boxing,,0
Miriam Makeba,People and Characters,Music,,,1
Nauru,Geography,Country,,,0
MKBHD,People and Characters,Youtube,,,0
oppenheimer,Movies,,,,0
Mohamed Salah,People and Characters,Sports,,,1
Luxembourg,Geography,Country,,,1
Mandalorian,TV Show,,,,0
Möbius Strip,Math and Science,,,,0
Macbeth,Language and Literature ,Plays,,,0
Monkey Pox,Games,,,,1
Monkey D. Luffy,People and Characters,Anime,,,0
Mother Teresa,People and Characters,,,,0
Monopoly,Games,Boardgame,,,1
Penicillin,Math and Science,,,,0
MrBeast,People and Characters,Youtube,,,1
Machu Picchu,Geography,Landmarks,,,1
Mantis Shrimp,Animals,,,,0
Muammar Gaddafi,People and Characters,Politician,,,0
On-on,Games,,,,0
Muti,Culture,,,1,1
Marikana Massacre,History,South Africa,,,0
Netcare,Companies,,,1,1
Oranje,Geography,,,,0
Muhammad Ali,People and Characters,Sports,,1,1
MasterChef,TV Show,,,,1
Nadia Comaneci,People and Characters,Sports,GYmnastists,1,0
Nagasaki,History,,,,0
Mount Everest,Geography,Landmarks,,,0
Nadine Gordimer,People and Characters,Politician,,,1
Naruto Uzumaki,People and Characters,Anime,,1,0
Newton's Second Law,Math and Science,,,,0
Nickel,Math and Science,,,,1
Muvhango,TV Show,,,1,1
Philadelphia,Geography,Places,,,0
Narcos,TV Show,,,,0
Mzanzi Fo sho,Music,,,1,1
"Metaphor, Simile",Technical,double,,,0
mzoli's,Geography,Places,,,0
Naruto,TV Show,Anime,,,1
Moussaka,Food and Drink,Meal,,,0
Napoleonic Wars,History,Wars,,,0
moby dick,Language and Literature ,Book,,,0
"Morning, Afternoon, Night",Technical,triplets,,,1
Photosynthesis,Math and Science,,,,0
Natsu Dragneel,People and Characters,Anime,,1,1
Mechanical Keyboard,Technology,,,,1
"Notebook, Diary, Journal",Technical,triplets,,,1
Neil Armstrong,People and Characters,,,,0
night in tunisia,Music,Song,,,1
Nooit,Culture,,,1,1
Northern Lights,Nature,,,,0
Neon Genesis Evangelion,TV Show,Anime,,,1
Pain and Glory,Movies,,,,0
Pillow fighting,Sports,,,,0
Nelly Furtado,People and Characters,Music,Artist,,1
Nelson Mandela,People and Characters,,,1,1
Nik Naks,Food and Drink,,,1,1
Namaqualand,Geography,,,,0
Nokia 3310,Technology,Things,,,1
Noot vir Noot,TV Show,,,1,0
Okapi,Animals,,,,0
