Word,Tag 1,Tag 2,Tag 3,South Africa,Colour,Difficulty,Length,Versatile
edinburgh,Geography,,,,0,2,9,
Final Fantasy,Games,,,,1,2,13,
Four Corners,Movies,South Africa,,1,1,2,12,
Mad Men,TV Show,,,,1,2,7,
First national bank,Companies,,,1,0,1,19,
FirstRand,Companies,,,,0,2,9,
FIVE SENSES,Technical,triplets,,,0,1,11,
Melktert,Food and Drink,,,1,1,2,8,
Gogo,Culture,,,1,1,2,4,
flint,Things,,,,1,1,5,
Bad Bunny,People and Characters,Music,Artist,,1,2,9,
Football,Sports,,,,1,1,8,
Egoli,Geography,Places,,1,0,2,5,
Formula 1,Sports,,,,1,1,9,
Foschini,Companies,,,1,0,1,8,
fossil,Nature,,,,0,1,6,
friday the thirteenth,Movies,,,,1,2,21,
Fractals,Math and Science,,,,0,3,8,
Fractions,Math and Science,,,,0,1,9,
Barbra Streisand,People and Characters,Music,,,1,2,16,
Billie Jean King,People and Characters,Music,Artist,,1,2,16,
Frankenstein,Language and Literature ,,,,0,1,12,
Blink 182,People and Characters,Music,,,1,2,9,
Eritrea,Geography,Country,,,0,2,7,
Freakonomics,Language and Literature ,Book,,,0,3,12,
Fiji,Geography,Country,,,0,2,4,
Gold Rush,History,,,,0,2,9,
Freedom Day,Events,,,1,0,2,11,
Magna Carta,History,Event,,,0,2,11,
blondie,People and Characters,Music,,1,1,2,7,
Get Out,Movies,,,,1,2,7,
Mocha,Food and Drink,,,,1,2,5,
Gods Must Be Crazy,Movies,South Africa,,1,1,2,18,
Peppermint Crisp,Food and Drink,,,,1,2,16,
bono,People and Characters,Music,,,1,2,4,
Fungus,Nature,,,,0,1,6,
Madam & Eve,TV Show,,,1,1,2,11,
Buffalo Springfield,People and Characters,Music,Artist,,1,2,19,
Kombi,Culture,,,1,1,2,5,
Glasgow,Geography,City ,,,0,2,7,
Carpenters,People and Characters,Music,,,1,2,10,
MasterChef,TV Show,,,,1,2,10,
Game Theory,Math and Science,,,,0,2,11,
Gangnam Style,Music,Lyrics,,,1,1,13,
Perlemoen,Food and Drink,,,1,1,2,9,
Kwaito,Culture,,,1,1,1,6,
Gaussian Distribution,Math and Science,,,,0,3,21,
Golden Dish,Geography,Places,,1,0,2,11,
Cassper Nyovest,People and Characters,Music,,1,1,2,15,
Marikana,History,South Africa,,,0,2,8,
Make the circle bigger,Culture,,,1,1,2,22,
Pina Colada,Food and Drink,Drink,,,1,2,11,
Narcos,TV Show,,,,1,2,6,
New Girl,TV Show,,,,1,2,8,
Geometry,Math and Science,,,,0,1,8,
Grahamstown,Geography,Places,,1,0,2,11,
"get low, get low",Music,Lyrics,,,1,1,16,
inside out,Movies,,,,1,2,10,
renaissance,History,Event,,,0,2,11,
invictus,Movies,South Africa,,1,1,2,8,
Prison Break,TV Show,,,,1,2,12,
liger,Animals,,,,0,2,5,
glacier,Nature,,,,0,1,7,
Great Barrier Reef,Geography,Landmarks,,,0,2,18,
Global Positioning System,Technology,,,,0,2,25,
Global Warming,Events,,,,0,1,14,
Go fish,Games,,,,1,1,7,
Joe Barber,Movies,South Africa,,1,1,2,10,
Jumper,Movies,,,,1,2,6,
Padkos,Culture,,,1,1,2,6,
Champagne papi,People and Characters,Music,Artist,,1,2,14,
Roman Empire,history,,,,0,2,12,
hillbrow,Geography,,,,0,2,8,
Hillsong Church,Geography,Places,,1,0,2,15,
Golden Ratio,Math and Science,,,,0,2,12,
Golf,Sports,,,,1,1,4,
gondola,Things,,,,1,2,7,
Gone Girl,Language and Literature ,,,,0,1,9,
Gone with the Wind,Language and Literature ,Book,,,0,3,18,
notting hill,Movies,,,,1,2,12,
Good Friday,Events,,,,0,1,11,
One Flew Over the Cuckoo's Nest,Movies,,,,1,2,31,
google earth,Technology,,,,0,1,12,
GOOGLE GLASSES,Technology,,,,0,2,14,
Lynx,Animals,,,,0,2,4,
Potjiekos,Food and Drink,,,1,1,2,9,
quiche,Food and Drink,,,,1,2,6,
Danny K,People and Characters,Music,Artist,1,1,2,7,
Klein Karoo,Geography,Landmarks,,,0,2,11,
oppenheimer,Movies,,,,1,2,11,
Krypton,Geography,,,,0,2,7,
Grand Theft Auto,Games,,,,1,1,16,
Pain and Glory,Movies,,,,1,2,14,
Lebonon,Geography,City,,,0,2,7,
Lisbon,Geography,City,Capital,,0,2,6,
Great Expectations,Language and Literature ,Book,,,0,3,18,
great gatsby,Language and Literature ,Book,,,0,1,12,
Machu Picchu,Geography,Landmarks,,,0,2,12,
Maldives,Geography,Country,,,0,2,8,
Green Eggs and Ham,Language and Literature ,Book,,,0,2,18,
greenpeace,Companies,,,,0,3,10,
Grillers,Language and Literature ,Book,,1,0,3,8,
Six-Day War,History,,,,0,2,11,
guy fawkes day,Events,,,1,0,2,14,
Manatee,Animals,,,,0,2,7,
hail,Nature,,,,0,1,4,
Hakuna Mutata,Language and Literature ,,,,0,2,13,
David Bowie,People and Characters,Music,,,1,2,11,
Halloween,Events,,,,0,1,9,
David Kramer,People and Characters,Music,Artist,1,1,2,12,
Hand Wash,Things,,,,1,1,9,
Handball,Games,Culture,,,1,2,8,
Hangman,Games,,,,1,1,7,
Eyedress,People and Characters,Music,Artist,,1,2,8,
Hanukkah,Events,,,,0,2,8,
happy birthday to you,Music,,,,1,1,21,
"Harder, Better, Faster, Stronger",Music,Lyrics,,,1,1,32,
Parasite,Movies,,,,1,2,8,
massachusetts,Geography,,,,0,2,13,
Harvest Festival,Events,,,,0,2,16,
fergie,People and Characters,Music,,,1,2,6,
Fugees,People and Characters,Music,,,1,2,6,
Han Solo,People and Characters,Music,,,1,2,8,
heinz winckler,People and Characters,Music,,,1,2,14,
jack johnson,People and Characters,Music,,,1,2,12,
Helium,Math and Science,,,,0,1,6,
Kaytranada,People and Characters,Music,Artist,,1,2,10,
Lucky Dube,People and Characters,Music,,1,1,2,10,
herbalife,Companies,,,,0,1,9,
Heritage Day ,Events,,,,0,1,13,
