Word,Tag 1,Tag 2,Tag 3,South Africa,Colour,Difficulty,Length
Fault in Our Stars,Language and Literature ,Book,,,0,3,18
Bobotie,Food and Drink,,,1,0,2,7
babe,People and Characters,,,,0,1,4
Fibonacci Sequence,Math and Science,,,,1,3,18
fiela se kind,Language and Literature ,,,1,0,3,13
Backstage,TV Show,,,1,0,2,9
Bern,Geography,City,Capital,,0,3,4
Fossa,Animals,,,,1,3,5
Fourier Transform,Math and Science,,,,1,3,17
Bad Bunny,People and Characters,Music,Artist,,1,2,9
barbie and ken,People and Characters,,,,0,1,14
Boerewors,Food and Drink,,,1,1,1,9
Freakonomics,Language and Literature ,Book,,,0,3,12
bassem youssef,People and Characters,Comedian,,1,1,2,14
Fruity Loops,Music,,,1,1,3,12
Gaussian Distribution,Math and Science,,,,0,3,21
Bokkoms,Food and Drink,,,1,0,3,7
Genome Sequencing,Math and Science,,,,0,3,17
Gettysburg Address,History,Event,,,1,3,18
Goldfinch,Language and Literature ,Book,,,1,3,9
Gone with the Wind,Language and Literature ,Book,,,0,3,18
Good Bye Lenin!,Movies,,,,1,3,15
Battlestar Galactica,TV Show,,,,1,3,20
Goodfellas,Movies,,,,1,3,10
Bompi,Food and Drink,,,1,0,2,5
Grand Budapest Hotel,Movies,,,,1,3,20
Grave of the Fireflies,Movies,Anime,,,1,3,22
bethlehem,Geography,Landmarks,,,0,2,9
Great Expectations,Language and Literature ,Book,,,0,3,18
Grillers,Language and Literature ,Book,,1,1,3,8
Gulf War,History,South Africa,,,1,3,8
ben 10,TV Show,,,,1,1,6
Hawker,Culture,,,1,0,3,6
Benedict Cumberbatch,People and Characters,Actor,,,1,3,20
Hidden Leaf Village,Language and Literature ,Places,,,0,3,19
Hoʻoponopono,Language and Literature ,,,,1,3,12
house of cronies,Games,Boardgame,,1,1,3,16
House of Hades,Language and Literature ,Book,,,1,3,14
Hubble's Law,Math and Science,,,,0,3,12
Hueco Mundo,Language and Literature ,Places,,,0,3,11
Benni McCarthy,People and Characters,,,,1,2,14
Billie Jean King,People and Characters,Music,Artist,,1,2,16
In the 18 Area,Music,Lyrics,,,1,3,14
Indaba,Culture,,,1,1,3,6
Internet of Things,Technology,,,,0,3,18
Black Panther,People and Characters,,,,1,1,13
Isibindi,Culture,,,1,0,3,8
Ismaël Lô,Music,Artist,,,0,3,9
Blackpink,People and Characters,Music,Artist,,0,2,9
Bhutan,Geography,Country,,,1,3,6
Blink 182,People and Characters,Music,,,1,2,9
blondie,People and Characters,Music,,,1,2,7
Boris Johnson,People and Characters,Politician,,,1,2,13
Brenda Fassie,People and Characters,Music,,1,0,1,13
Bryan Habana,People and Characters,Sports,Rugby,,1,1,12
Juffrou Is 'n Monster,Language and Literature ,Book,,1,0,3,21
July's People ,Language and Literature ,Book,,,0,3,14
Kabaddi,Sports,,,,0,3,7
Kabhi Kushi Kabhi Gham,Movies,Indian,,,0,3,22
Boston,Geography,,,,0,1,6
Brandenburg Gate,Geography,Landmarks,,,0,3,16
Brasília,Geography,City,,,1,2,8
Bratislava,Geography,City,Capital,,1,3,10
Bucharest,Geography,City,Capital,,0,3,9
Buckingham Palace,Geography,Landmarks,,,0,2,17
Buenos Aires,Geography,City,Capital,,1,2,12
Burj Khalifa,Geography,Landmarks,,,1,3,12
Cairo,Geography,City,,,0,1,5
Calgary,Geography,City,,,0,3,7
Canberra,Geography,City,,,1,2,8
Cape Town,Geography,City,,1,1,1,9
cape town harbour,Geography,,,,1,1,17
Cape Verde,Geography,Country,,,0,3,10
Chichen Itza,Geography,Landmarks,,,1,3,12
Chile,Geography,Country,,,0,2,5
Christ the Redeemer,Geography,Landmarks,,,0,2,19
clifton,Geography,,,,0,1,7
Colosseum,Geography,Landmarks,,,0,2,9
Comoros,Geography,Country,,,0,3,7
Dallas,Geography,,,,1,2,6
Devil's Peak,Geography,Landmarks,,,0,1,12
Djibouti,Geography,Country,,,1,3,8
Docside,Geography,Places,,,0,2,7
Durban,Geography,City,,1,1,1,6
edinburgh,Geography,,,,0,2,9
Buffalo Springfield,People and Characters,Music,Artist,,1,2,19
Kakapo,Animals,,,,0,3,6
Kal Ho Naa Ho,Movies,Indian,,,1,3,13
kap tol,Games,Culture,,,0,3,7
Kashmir,Music,Song,,,1,3,7
Kat and the Kings,Movies,South Africa,,1,0,3,17
King of the air,Events,,,,1,3,15
Big Bang Theory,TV Show,,,,1,1,15
Edinburgh Castle,Geography,Landmarks,,,0,3,16
Krypton,Math and Science,,,,0,3,7
Caligula,People and Characters,,,,1,3,8
Carpenters,People and Characters,Music,,,1,2,10
Casey Neistat,People and Characters,Youtube,,1,1,2,13
Liberation Day,Events,Holidays,,,0,3,14
Cassper Nyovest,People and Characters,Music,,1,0,2,15
Champagne papi,People and Characters,Music,Artist,,0,2,14
Big Brother,TV Show,,,,1,1,11
Lion's ear,Nature,South Africa,,1,0,3,10
Charlize Theron,People and Characters,Actor,,1,1,1,15
chester williams,People and Characters,,,,1,2,16
Egoli,Geography,Places,,1,1,2,5
magnum opus,Language and Literature ,,,,1,3,11
maher zain,Music,Artist,,,1,3,10
Egypt,Geography,Country,,,0,1,5
Mampara,Culture,,,1,1,3,7
Big Mouth,TV Show,,,,1,2,9
Mantis Shrimp,Animals,,,,1,3,13
Maoist China,History,Event,,,0,3,12
Marikana Massacre,History,South Africa,,,0,3,17
Chris Evans,People and Characters,Actor,,,0,2,11
Chris Hani,People and Characters,Politician,,1,0,2,10
Chris Hemsworth,People and Characters,Actor,,,1,2,15
Chris Pratt,People and Characters,Actor,,,1,2,11
Massmart,Companies,,,,1,3,8
Maxwell's Equation,Math and Science,,,,1,3,18
Metal Gear Solid,Games,,,,1,3,16
Christ,People and Characters,,,,0,1,6
Möbius Strip,Math and Science,,,,0,3,12
Monex,Companies,,,,0,3,5
Eiffel Tower,Geography,Landmarks,,,0,1,12
Empire State Building,Geography,Landmarks,,,1,1,21
england,geography,,,,1,1,7
Braaibroodjies,Food and Drink,,,1,1,2,14
Muti,Culture,,,1,0,3,4
My sister's keeper,Language and Literature ,Book,,,0,3,18
Mzanzi Fo sho,Music,,,1,0,3,13
Naked Mole-Rat,Animals,,,,0,3,14
Napoleonic Wars,History,Wars,,,0,3,15
Black Mirror,TV Show,,,,0,2,12
epstein Island,Geography,Places,,,1,2,14
Bleach,TV Show,Anime,,,1,2,6
Newton's Second Law,Math and Science,,,,0,3,19
night in tunisia,Music,Song,,,1,3,16
North Atlantic Treaty Organization,History,,,,1,3,34
Christian Bale,People and Characters,Actor,,,1,1,14
Okapi,Animals,,,,0,3,5
Brie,Food and Drink,,,,1,2,4
Oppikoppi,Events,,,1,0,3,9
"Oranje, Blanje, Blou",History,triplet,,,0,3,20
Orodruin,Language and Literature ,Places,,,0,3,8
Boileroom,TV Show,,,,0,2,9
Ouroboros,history,,,,1,3,9
Boondocks,TV Show,,,,1,2,9
Camembert,Food and Drink,,,,0,2,9
Eritrea,Geography,Country,,,0,3,7
Pang Doodmaak,Language and Literature ,Book,,1,0,3,13
Pangolin,Animals,,,,0,3,8
Breaking Bad,TV Show,,,,1,1,12
Chakalaka,Food and Drink,,,1,1,2,9
Peloponnesian War,History,Wars,,,0,3,17
Perks of being a wallflower,Language and Literature ,Book,,,0,3,27
Chappies,Food and Drink,,,1,0,2,8
Christopher Nolan,People and Characters,Actor,,,1,2,17
Cleopatra,People and Characters,,,,0,2,9
Coldplay,People and Characters,Music,,,1,2,8
Phumakim,Music,Lyrics,,1,1,3,8
cosatu,People and Characters,,,,1,1,6
Pillars of Earth,Language and Literature ,Book,,,0,3,16
Cristiano Ronaldo,People and Characters,Sports,Soccer,1,0,1,17
Cyril Ramaphosa,People and Characters,Politician,,,0,1,15
daniel,People and Characters,,,,0,1,6
Princess Mononoke,Movies,,,,0,3,17
Brooklyn Nine-Nine,TV Show,,,,0,2,18
Buffy the Vampire Slayer,TV Show,,,,1,2,24
PROOF OF STAKE,Technology,,,,1,3,14
quantum computing,Technology,,,,0,3,17
Carte Blanche,TV Show,,,1,1,1,13
Daniel Craig,People and Characters,,,,1,2,12
Ray tracing,Technology,,,,1,3,11
"Red Light, Green Light",Games,,,,1,3,22
REQUIEM FOR A DREAM ,Movies,,,,1,3,20
Rivonia Trial,History,,,,0,3,13
Rocky Aur Rani Ki Prem Kahani,Movies,Indian,,,1,3,29
Royal Dutch Shell,Companies,,,1,0,3,17
Running of the Bulls (Pamplona),Events,,,,1,3,31
Danny K,People and Characters,Music,Artist,1,1,2,7
David Kramer,People and Characters,South Africa,,1,0,2,12
Cheddar,Food and Drink,,,,1,1,7
Denzel Washington,People and Characters,Actor,,,0,2,17
Forbidden City,Geography,Landmarks,,,1,3,14
Free State,Geography,Province,,,0,2,10
Sarmie,Culture,,,1,1,3,6
Satrix,Companies,,,,1,3,6
Saudi Aramco,Companies,,,1,1,3,12
Desmond Tutu,People and Characters,Politician,,1,1,2,12
Secretarybird,Animals,,,,0,3,13
Section 33,Math and Science,,,,0,3,10
Cowboy Bebop,TV Show,Anime,,,1,3,12
SEX Pistols,Music,Artist,,,1,3,11
Diego Maradona,People and Characters,Sports,Soccer,,1,2,14
Gaborone,Geography,City,Capital,,0,3,8
Donald Bradman,People and Characters,Sports,,,1,3,14
Chicken Biltong,Food and Drink,,,1,1,1,15
Shoebill,Animals,,,,0,3,8
donald duck,People and Characters,,,,0,1,11
Crown,TV Show,,,,1,1,5
skilpoppe,Language and Literature ,Book,,1,1,3,9
Slaughterhouse-Five,Language and Literature ,Book,,,1,3,19
Chilli Popper,Food and Drink,Meal,,1,1,2,13
Dricus du Plessis,People and Characters,Sports,UFC,1,1,2,17
Dwayne Johnson,People and Characters,Sports,WWE,,0,1,14
Softshell Turtle,Animals,,,,1,3,16
"Earth, Wind and Fire",People and Characters,Music,Artist,,1,2,20
Germany,Geography,Country,,,0,1,7
Star-Nosed Mole,Animals,,,,0,3,15
Starlink,Technology,,,,0,3,8
stenography,Things,,,,0,3,11
Eldrick Tont Woods,People and Characters,Sports,Golf,,1,3,18
Glasgow,Geography,City ,,,1,2,7
golan heights,Geography,,,,0,3,13
Superego,Music,,,,1,3,8
Golden Dish,Geography,Places,,1,0,2,11
Curb Your Enthusiasm,TV Show,,,,1,3,20
Tattooist of Auschwitz,Language and Literature ,Book,,,0,3,22
Golden Gate Bridge,Geography,Landmarks,,,1,1,18
The Last of Us,Games,,,,1,3,14
The Legend of Zelda,Games,,,,0,3,19
Emma Stone,People and Characters,Actor,,,1,2,10
The Witcher,Games,,,,1,3,11
Eren Yeager,People and Characters,Anime,,,1,3,11
Churros,Food and Drink,Meal,,1,0,2,7
tito mboweni sha sha,Music,Lyrics,,1,0,3,20
Erling Haaland,People and Characters,Sports,Soccer,1,0,3,14
crayfish curry,Food and Drink,Meal,,1,1,2,14
Tomorrowland,Events,,,,0,3,12
Grahamstown,Geography,Places,,1,0,2,11
Dark,TV Show,,,,0,1,4
daltjies,Food and Drink,,,1,1,2,8
Trivial Pursuit,Games,Boardgame,,,0,3,15
Turing Machine,Math and Science,,,,1,3,14
Twelfth Night,Language and Literature ,Plays,,,1,3,13
Demon Slayer,TV Show,Anime,,,1,2,12
Dexter,TV Show,,,,1,2,6
Eyedress,People and Characters,Artist,,,0,2,8
Grand Canyon,Geography,Landmarks,,,0,1,12
Umlungu,Culture,,,1,0,3,7
Up the Creek,Events,,,,0,3,12
Great Barrier Reef,Geography,Landmarks,,,1,3,18
Valley of the End,Language and Literature ,Places,,,0,3,17
discovery channel,TV Show,,,,1,1,17
fergie,People and Characters,,,,0,2,6
Virtual private network,Technology,,,,1,3,23
Great Wall of China,Geography,Landmarks,,,0,1,19
Vulindlela,Music,,,1,1,3,10
Greece,Geography,Country,,,0,1,6
Doctor Who,TV Show,,,,1,2,10
Downton Abbey,TV Show,,,,1,3,13
Danja Sausage,Food and Drink,,,1,1,2,13
World of Warcraft,Games,,,,1,3,17
Fernando Alonso,People and Characters,Sports,F1,,0,3,15
Francois Pienaar,People and Characters,Sports,Rugby,,0,3,16
46664,History,,,,0,2,5
"[Drum, Piano, Bass]",Technical,triplets,,,0,2,19
"[Earth, Wind, Fire, Water]",Technical,triplets,,,0,2,26
"[Onion, Garlic, Ginger]",Technical,triplets,,,0,2,23
"[Park, Neutral, Drive]",Technical,triplets,,,0,2,22
"[Proton, Neutron, Electron]",Technical,triplets,,,0,2,27
"[Sky, Cloud, Rain]",Technical,triplets,,,0,2,18
"[Swim, Jog, Cycle]",Technical,triplets,,,0,2,18
"[Whatsapp, Facebook, Instagram]",Technical,triplets,,,0,2,31
*Glassblowing*,Actions,,,,1,2,14
*Knitting*,Actions,,,,1,2,10
*Painting*,Actions,,,,1,2,10
*Snorkelling*,Actions,,,,1,2,13
*Taking Photos*,Actions,,,,1,2,15
1 2 Step,Music,,,,1,2,8
2-factor authentication,Technology,,,,0,2,23
Dragonball Z,TV Show,Anime,,,0,1,12
3d printing,Technology,,,,1,2,11
5 second rule,Games,Boardgame,,,1,2,13
5th generation,Technology,,,,0,2,14
7 cards,Games,,,,1,2,7
Franklin D. Roosevelt,People and Characters,Politician,,,0,3,21
Frederick Carlton Lewis,People and Characters,Sports,,,1,3,23
Dragon Prince,TV Show,,,,1,3,13
AfrikaBurn,Events,,,1,0,2,10
Alabasta,Language and Literature ,Places,,,0,2,8
albaraka bank,Companies,,,1,0,2,13
Alchemist,Language and Literature ,Book,,,1,2,9
Alice’s Adventures in Wonderland,Language and Literature ,Book,,,0,2,32
All i want for christmas is you,Music,Lyrics,,,1,2,31
Alpaca,Animals,,,,0,2,6
Dragonball Super,TV Show,Anime,,,0,2,16
American Civil War,History,,,,0,2,18
American Psycho,Movies,Indian,,,1,2,15
Aneesa's,Companies,,,1,1,2,8
Anglo American,Companies,,,1,0,2,14
freshlyground,People and Characters,Music,,,0,2,13
AR Glasses,Technology,,,,1,2,10
Arab Springs,History,Event,,,0,2,12
Armadillo,Animals,,,,1,2,9
FW de Klerk,People and Characters,Politician,,1,0,2,11
AT&T,Companies,,,,1,2,4
Denningvleis,Food and Drink,,,1,0,3,12
Guyana,Geography,Country,,,0,3,6
Atomic Habits,Language and Literature ,Book,,,0,2,13
Gandhi,People and Characters,,,,1,1,6
Azkaban,Language and Literature ,Places,,,0,2,7
e.tv,TV Show,,,,1,1,4
George Best,People and Characters,Sports,,,1,2,11
Badminton,Sports,,,,1,2,9
ball is in your court,Language and Literature ,,,,1,2,21
bang bang bang,Music,Lyrics ,triplets,,1,2,14
Double Hotdog,Food and Drink,,,1,0,2,13
George Herman Ruth,People and Characters,Sports,,,0,2,18
beautiful girl,Music,Lyrics,,,1,2,14
Becoming,Language and Literature ,Book,,,0,2,8
Gohan,People and Characters,Anime,,,1,1,5
Hagia Sophia,Geography,Landmarks,,,0,3,12
Hanoi,Geography,City,Capital,,1,3,5
best of both worlds,Music,,,,1,2,19
"Bet on it, bet on it",Music,Lyrics,,,0,2,20
Hillsong Church,Geography,Places,,2,1,2,15
Big Magic,Language and Literature ,,,,1,2,9
Euphoria,TV Show,,,,0,1,8
Graça Machel,People and Characters,South Africa,,,0,2,12
Bin Rashied,Companies,,,1,0,2,11
Black Beauty,Language and Literature ,,,,1,2,12
Black Death,History,Event,,,1,2,11
everybody loves raymond,TV Show,,,,1,2,23
Han Solo,People and Characters,,,,1,2,8
Family Guy,TV Show,,,,0,2,10
harvey weinstein,People and Characters,,,,0,2,16
Blockchain,Technology,,,,0,2,10
heidi,People and Characters,,,,0,2,5
Blood Diamond,Movies,,,,1,2,13
Eggnog,Food and Drink,Drink,,1,1,2,6
BODMAS,Math and Science,,,,0,2,6
Boer War,History,South Africa,,1,0,2,8
Fargo,TV Show,,,,1,3,5
Empanadas,Food and Drink,Meal,,1,1,3,9
fear factor,TV Show,,,,1,1,11
heinz winckler,People and Characters,,,,0,2,14
Bouldering,Sports,,,,1,2,10
Fajitas,Food and Drink,Meal,,,0,2,7
India,Geography,Country,,,0,1,5
BRIDGET JONES'S DIARY,Movies,,,,1,2,21
Falafel,Food and Drink,Meal,,,0,2,7
Firefly,TV Show,,,,1,2,7
Indonesia,Geography,Country,,,0,2,9
Isahaya Bay,Geography,,,,1,3,11
Helen Suzman,People and Characters,Politician,,,1,2,12
Fleabag,TV Show,,,,1,3,7
Burning Man,Events,,,,0,2,11
calabash,Nature,South Africa,,1,0,2,8
Calculus,Math and Science,,,,0,2,8
Call of Duty,Games,,,,1,2,12
fenugreek,Food and Drink,,,,1,3,9
can't get you out of my head,Music,Lyrics,,,1,2,28
Israel,Geography,Country,,,0,1,6
Canoeing,Sports,,,,0,2,8
Cape Aloe,Nature,South Africa,,1,0,2,9
Cape Colony,History,South Africa,,1,0,2,11
Cape Town Dance Festival,Events,,,1,1,2,24
Capybara,Animals,,,,0,2,8
Caracal,Animals,,,,0,2,7
Helen Zille,People and Characters,Politician,,1,1,1,11
Hendrick Verwoerd,People and Characters,Politician,,,0,2,17
Henry Ford,People and Characters,,,,0,2,10
Catan,Games,Boardgame,,,0,2,5
Feta,Food and Drink,,,,0,1,4
Henry Louis Aaron,People and Characters,Sports,,,0,3,17
Chanel,Companies,,,,1,2,6
Frappuccino,Food and Drink,Drink,,,0,3,11
cheese boy,Culture,,,1,1,2,10
chemotherapy,Math and Science,,,,1,2,12
Chess Boxing,Sports,,,,1,2,12
Hugh Masekela,People and Characters,Music,,,1,3,13
Chevron ,Companies,,,,0,2,8
Italy,Geography,Country,,,0,1,5
Fruit Cake,Food and Drink,,,,0,2,10
Idi Amin,People and Characters,Politician,,,0,3,8
imagine dragons,People and Characters,Music,,,1,1,15
IMAM Haron,People and Characters,,,1,1,2,10
Isabel Perón,People and Characters,,,,0,3,12
Jakarta,Geography,City,Capital,,0,3,7
Jack Roosevelt Robinson,People and Characters,Sports,,,0,3,23
Gem Squash,Food and Drink,,,,0,3,10
cinderella man,Movies,,,,0,2,14
City of God,Movies,,,,1,2,11
jake White,People and Characters,,,,0,2,10
Cluedo,Games,Boardgame,,,1,2,6
Coati,Animals,,,,1,2,5
Cobalt,Math and Science,,,,0,2,6
James Blunt,People and Characters,Music,Artist,,0,1,11
Color Purple,Language and Literature ,Book,,,0,2,12
Commonwealth Games,Events,,,,0,2,18
Cost an arm and a leg,Language and Literature ,,,,0,2,21
Gouda,Food and Drink,,,,1,1,5
crazy eights,Games,,,,1,2,12
Creed,Movies,,,,1,2,5
"Crouching Tiger, Hidden Dragon",Movies,,,,1,2,30
Crusades,History,,,,0,2,8
cryptography,Technology,,,,1,2,12
Curious Case of Benjamin Button,Movies,,,,0,2,31
D-Day,History,,,,1,2,5
Da Vinci Code,Language and Literature ,Book,,,0,2,13
Johannesburg,Geography,City,,1,1,1,12
Goulash,Food and Drink,Meal,,,1,3,7
James Cleveland Owens,People and Characters,Sports,,,0,2,21
Jägerbomb,Food and Drink,Drink,,,0,2,9
James Francis Thorpe,People and Characters,Sports,,,0,2,20
James Stockdale,People and Characters,,,,0,2,15
Death Star,Language and Literature ,Places,,,1,2,10
Deezer,Companies,,,,1,2,6
Futurama,TV Show,,,,1,2,8
jamie oliver,People and Characters,,,,0,1,12
Jan Smuts,People and Characters,Politician,,1,1,2,9
Despacito,Music,Lyrics,,1,1,2,9
DEVIL WEARS PRADA ,Movies,,,,1,2,18
Game of Thrones,TV Show,,,,0,1,15
Diary of a Wimpy Kid,Language and Literature ,Book,,,1,2,20
Die hard,Movies,,,,1,2,8
jeep,People and Characters,,,,1,1,4
district 9,Movies,South Africa,,1,1,2,10
Divergent,Language and Literature ,,,,0,2,9
Django Unchained,Movies,,,,1,2,16
Kabul,Geography,City ,,,0,3,5
GenC,TV Show,Podcast,,,1,2,4
jelly tots,Food and Drink,,,1,1,1,10
Good Place,TV Show,,,,1,3,10
Dri Buddi,Things,,,1,0,2,9
Jenna Marbles,People and Characters,Youtube,,,0,3,13
driftwood,Nature,,,,0,2,9
Duran Duran,Music,Lyrics,,,1,2,11
E-Reader,Technology,,,,0,2,8
Jennifer Lawrence,People and Characters,Actor,,,1,2,17
Educated,Language and Literature ,Book,,,1,2,8
Kimchi,Food and Drink,Meal,,,1,2,6
Kenya,Geography,Country,,,0,2,5
Eid al-fitr,Events,,,,1,2,11
Eina Malèna,Culture,,,1,1,2,11
Ek wil huis toe gaan,Music,Lyrics,,1,0,2,20
Electric Daisy Carnival,Events,,,,0,2,23
Electromagnetism,Math and Science,,,,1,2,16
Jerry Rice,People and Characters,Sports,,,1,3,10
Ericas,Nature,South Africa,,1,1,2,6
Gravity Falls,TV Show,,,,1,2,13
Johann Rupert,People and Characters,Politician,,1,1,3,13
FAHRENHEIT 9/11 ,Movies,,,,1,2,16
klipdrift,Food and Drink,,,,0,2,
lemon creams,Food and Drink,,,,1,1,12
Hannibal,TV Show,,,,1,3,8
FAUNA AND FLORA,Nature,,,,0,2,15
Fela in versace,Music,Lyrics,,1,1,2,15
Johannes Gutenberg,People and Characters,,,1,0,3,18
Final Fantasy,Games,,,,0,2,13
House of Cards,TV Show,,,,1,2,14
FirstRand,Companies,,,,0,2,9
Florence,Things,,,,1,2,8
Formula E,Sports,,,,0,2,9
Four Corners,Movies,South Africa,,1,0,2,12
Fractals,Math and Science,,,,0,2,8
Frankenstein,Language and Literature ,,,,0,2,12
Kinshasa,Geography,City,,,0,3,8
Freedom Day,Events,,,1,0,2,11
French Revolution,History,,,,0,2,17
John Herschel,People and Characters,,,,0,3,13
friday the thirteenth,Movies,,,,1,2,21
Lucky Star,Food and Drink,,,1,1,2,10
Howl's Moving Castle,TV Show,Anime,,,1,2,20
John Smit,People and Characters,Sports,Rugby,,0,2,9
Game Theory,Math and Science,,,,0,2,11
Gees,Culture,,,1,1,2,4
Isidingo,TV Show,,,1,0,2,8
Johnny Clegg,People and Characters,Music,Artist,1,1,1,12
Johnny Depp,People and Characters,Actor,,,1,1,11
Get Out,Movies,,,,1,2,7
Klein Karoo,Geography,Landmarks,,,1,2,11
Global Positioning System,Technology,,,,1,2,25
Gods Must Be Crazy,Movies,South Africa,,1,1,2,18
Gogo,Culture,,,1,0,2,4
Gold Rush,History,,,,0,2,9
Kremlin,Geography,Landmarks,,,0,3,7
Golden Ratio,Math and Science,,,,0,2,12
GOOGLE GLASSES,Technology,,,,0,2,14
Jon Jones,People and Characters,Sports,,,1,2,9
Kyiv,Geography,City,Capital,,0,3,4
Grand Theft Auto,Games,,,,1,2,16
Joe Rogan Podcast,TV Show,,,,1,1,17
guy fawkes day,Events,,,1,0,2,14
Hadedas,Animals,South Africa,,1,0,2,7
Hakuna Mutata,Language and Literature ,,,,1,2,13
Jonty Rhodes,People and Characters,Sports,Cricket,1,0,2,12
Hanukkah,Events,,,,1,2,8
Julia Roberts,People and Characters,Actor,,,1,1,13
justin timberlake,People and Characters,Music,,,1,1,17
Kai Cenat,People and Characters,Streamer,,,0,3,9
kaizer chiefs,People and Characters,,,,0,1,13
Kanye West,People and Characters,Music,Artist,,0,1,10
Kaytranada,People and Characters,Music,Artist,,1,2,10
Heritage Day ,Events,,,,0,2,13
Hermanus Whale Festival,Events,,,1,0,2,23
higgs boson,Technology,,,,1,2,11
Hit the nail on the head,Language and Literature ,,,,0,2,24
Hitchhiker's Guide to Galaxy,Language and Literature ,Book,,,1,2,28
Home Alone,Movies,,,,1,2,10
Honey Badger,Animals,,,,0,2,12
"Hook, Line, Sinker",Language and Literature ,triplets,,,0,2,18
Hopscotch,Games,,,,0,2,9
Horseback Riding,Sports,,,,1,2,16
