Word,Tag 1,Tag 2,Tag 3,South Africa,Colour,Difficulty,Length
"[Paper, Rock, Scissors]",Technical,triplets,,,1,1,23
2-factor authentication,Technology,,,,0,2,23
artificial Intelligence,Technology,,,,1,1,23
"Black Skin, White Masks",Language and Literature ,Book,,,0,3,23
Electric Daisy Carnival,Events,,,,0,2,23
Joe Rogan Podcast,TV Show,,,,1,1,17
Michael Schumacher,People and Characters,Sports,F1,,1,1,18
Hermanus Whale Festival,Events,,,1,0,2,23
Scarlett Johansson,People and Characters,Actor,,,0,1,18
The pussycat dolls,People and Characters,,,,1,1,18
Big Bang Theory,TV Show,,,,1,1,15
Oops!... I did it again,Music,Lyrics,,,1,1,23
Cristiano Ronaldo,People and Characters,Sports,Soccer,1,0,1,17
The Power of Introverts,Language and Literature ,,,,0,2,23
Virtual private network,Technology,,,,1,3,23
justin timberlake,People and Characters,Music,,,1,1,17
"[First, Second, Third]",Technical,triplets,,,1,1,22
"[Large, Medium, Small]",Technical,triplets,,,0,1,22
"[Park, Neutral, Drive]",Technical,triplets,,,1,2,22
"[Shirt, Pants, Jacket]",Technical,triplets,,,1,1,22
"[Vinegar, Baking Soda]",Technical,triplets,,,1,1,22
Die Afrikaanse Patriot,History,South Africa,,1,0,3,22
Game of Thrones,TV Show,,,,0,1,15
Imagine all the people,Music,Lyrics,,,1,2,22
jack and the beanstalk,Language and Literature ,,,,0,1,22
The Good Doctor,TV Show,,,,1,1,15
Make the circle bigger,Culture,,,,0,2,22
"Red Light, Green Light",Games,,,,1,3,22
Tattooist of Auschwitz,Language and Literature ,Book,,,0,3,22
the commonwealth games,Events,,,,0,1,22
The Fault in Our Stars,Language and Literature ,,,,1,2,22
trappe van vergelyking,Language and Literature ,Book,,,1,1,22
"[Chair, Couch, Bench]",Technical,triplets,,,1,2,21
"[Glue, Tape, Stapler]",Technical,triplets,,,1,3,21
All the Single Ladies,Music,Lyrics,,,0,1,21
"BAA, BAA, BLACK SHEEP",Music,Lyrics,,,1,1,21
ball is in your court,Language and Literature ,,,,1,2,21
The Incredibles,Movies,,,,1,1,15
Cost an arm and a leg,Language and Literature ,,,,0,2,21
drop it like it's hot,Music,Lyrics,,,1,1,21
Dunning–Kruger effect,Language and Literature ,,,,1,3,21
Empire State Building,Geography,Landmarks,,,1,1,21
Every Breath You Take,Music,Lyrics,,,1,1,21
Leonardo DiCaprio,People and Characters,Actor,,,0,1,17
STEP BROTHERS ,Movies,,,,1,1,14
Gaussian Distribution,Math and Science,,,,0,3,21
happy birthday to you,Music,,,,1,1,21
American Idol,TV Show,,,,0,1,13
Industrial Revolution,History,Event,,,1,2,21
Mark Shuttleworth,People and Characters,,,,1,1,17
Juffrou Is 'n Monster,Language and Literature ,Book,,1,0,3,21
São Tomé and Príncipe,Geography,Country,,,0,3,21
St. Basil's Cathedral,Geography,Landmarks,,,0,3,21
Synchronized Swimming,Sports,,,,0,2,21
the cricket world cup,Events,,,,0,1,21
The Girl on the Train,Language and Literature ,,,,0,2,21
To Kill a Mockingbird,Language and Literature ,Book,,,0,2,21
watermelon sugar high,Music,Lyrics,,,1,2,21
"[Fork, Spoon, Knife]",Technical,triplets,,,1,1,20
"[Red, Green, Yellow]",Technical,triplets,,,1,1,20
"[Snap, Crackle, Pop]",Technical,triplets,,,0,1,20
Carte Blanche,TV Show,,,1,1,1,13
Despicable Me,Movies,,,,1,1,13
Dragaonball Z,TV Show,Anime,,,0,1,13
Robert Downey Jr.,People and Characters,Actor,,,0,1,17
"Bet on it, bet on it",Music,Lyrics,,,0,2,20
body is a wonderland,Music,Lyrics,,,1,3,20
Jurassic Park,Movies,,,,1,1,13
Diary of a Wimpy Kid,Language and Literature ,Book,,,1,2,20
Samuel L. Jackson,People and Characters,Actor,,,1,1,17
Ek wil huis toe gaan,Music,Lyrics,,1,0,2,20
Fifty Shades of Grey,Language and Literature ,,,,0,1,20
The Lion King,Movies,,,,0,1,13
Breaking Bad,TV Show,,,,1,1,12
I want to break free,Music,Lyrics,,,0,2,20
Wayde van Niekerk,People and Characters,Sports,Runner,1,0,1,17
let me hold you down,Music,Lyrics,,,0,2,20
Dark Knight ,Movies,,,,1,1,12
Finding Nemo,Movies,,,,1,1,12
National Women's Day,Events,Holidays,,1,1,2,20
"Oranje, Blanje, Blou",History,triplet,,,0,3,20
Palace of Versailles,Geography,Landmarks,,,0,2,20
Looney Tunes,TV Show,,,,1,1,12
Pulp Fiction,Movies,,,,0,1,12
The Avengers,Movies,,,,1,1,12
The Midnight Library,Language and Literature ,,,,0,2,20
Big Brother,TV Show,,,,1,1,11
they were all yellow,Music,Lyrics,,,1,2,20
tito mboweni sha sha,Music,Lyrics,,1,0,3,20
Treaty of Versailles,History,Event,,,0,2,20
vie maak die jol vol,Culture,,,1,1,2,20
We Are the Champions,Music,Lyrics,,,0,1,20
Worcestershire sauce,Food and Drink,,,,0,3,20
"[Drum, Piano, Bass]",Technical,triplets,,,0,2,19
"[Mouth, Eyes, Nose]",Technical,triplets,,,0,1,19
best of both worlds,Music,,,,1,2,19
Between Two Worlds ,Language and Literature ,Book,,,1,3,19
Winston Churchill,People and Characters,Politician,,,1,1,17
Christ the Redeemer,Geography,Landmarks,,,0,2,19
First national bank,Companies,,,1,0,1,19
Great Wall of China,Geography,Landmarks,,,0,1,19
Hidden Leaf Village,Language and Literature ,Places,,,0,3,19
victoria beckham,People and Characters,,,,0,1,16
Charlize Theron,People and Characters,Actor,,1,1,1,15
Mechanical Keyboard,Technology,,,,0,2,19
Newton's Second Law,Math and Science,,,,0,3,19
Pride and Prejudice,Language and Literature ,Book,,,0,2,19
Pythagorean Theorem,Math and Science,,,,0,2,19
"quack, quack, quack",Language and Literature ,Phonics,,,0,1,19
Red Dead Redemption,Games,,,,0,2,19
Slaughterhouse-Five,Language and Literature ,Book,,,1,3,19
fear factor,TV Show,,,,1,1,11
Talking to the Moon,Music,Lyrics,,,0,2,19
The Legend of Zelda,Games,,,,0,3,19
Cyril Ramaphosa,People and Characters,Politician,,,0,1,15
Two oceans marathon,Events,,,1,0,2,19
"WP, JOU LEKKER DING",Culture,,,1,1,1,19
"[Cut, Copy, Paste]",Technical,triplets,,,0,1,18
"[Red, White, Blue]",Technical,triplets,,,0,1,18
"[Sky, Cloud, Rain]",Technical,triplets,,,0,2,18
"[Swim, Jog, Cycle]",Technical,triplets,,,0,2,18
American Civil War,History,,,,0,2,18
Love Island,TV Show,,,,1,1,11
Burger's Daughter ,Language and Literature ,Book,,,0,3,18
Clockwork Princess,Language and Literature ,Book,,,0,3,18
Commonwealth Games,Events,,,,0,2,18
Dala what you must,Culture,Language and Literature,,1,0,1,18
Cinderella,Movies,,,,1,1,10
Down Second Avenue,Language and Literature ,Book,,,0,3,18
imagine dragons,People and Characters,Music,,,1,1,15
Fault in Our Stars,Language and Literature ,Book,,,0,3,18
Fibonacci Sequence,Math and Science,,,,1,3,18
Lance Armstrong,People and Characters,Sports,,,0,1,15
Gettysburg Address,History,Event,,,1,3,18
Fight Club,Movies,,,,0,1,10
Golden Gate Bridge,Geography,Landmarks,,,1,1,18
Gone with the Wind,Language and Literature ,Book,,,0,3,18
Great Barrier Reef,Geography,Landmarks,,,1,3,18
Great Expectations,Language and Literature ,Book,,,0,3,18
"Hook, Line, Sinker",Language and Literature ,triplets,,,0,2,18
Internet of Things,Technology,,,,0,3,18
Angelina Jolie,People and Characters,Actor,,,1,1,14
Kiss me thru phone,Music,Lyrics,,,1,1,18
South Park,TV Show,,,,1,1,10
barbie and ken,People and Characters,,,,0,1,14
Maxwell's Equation,Math and Science,,,,1,3,18
Christian Bale,People and Characters,Actor,,,1,1,14
My sister's keeper,Language and Literature ,Book,,,0,3,18
Saleh Bbq Tonight ,Companies,,,,0,2,18
Dwayne Johnson,People and Characters,Sports,WWE,,0,1,14
Stock Market Crash,History,Event,,,0,2,18
Sydney Opera House,Geography,Landmarks,,,1,1,18
Spider-Man,Movies,,,,1,1,10
Superstore,TV Show,,,,1,1,10
The Power of Habit,Language and Literature ,,,,0,2,18
Lewis Hamilton,People and Characters,Sports,F1,,1,1,14
What the Frikkadel,Culture,,,1,1,2,18
words with friends,Games,Boardgame,,,1,2,18
YELLOW RIVER FLOOD,History,Natural Disaster,,,0,2,18
"[Win, Lose, Draw]",Technical,triplets,,,0,1,17
achy breaky heart,Music,,,,1,1,17
American Football,Sports,,,,1,1,17
As-salamu alaykum,Language and Literature ,Book,,1,0,1,17
Boer maak 'n plan,Culture,,,1,0,1,17
Terminator,Movies,,,,1,1,10
Bombardier beetle,Animals,,,,0,3,17
Buckingham Palace,Geography,Landmarks,,,0,2,17
Michael Jordan,People and Characters,Sports,basketball,,0,1,14
Michael Phelps,People and Characters,Sports,,,1,1,14
Neil Armstrong,People and Characters,,,,0,1,14
Godfather,Movies,,,,1,1,9
Nelson Mandela,People and Characters,Politician,,1,1,1,14
Fourier Transform,Math and Science,,,,1,3,17
French Revolution,History,,,,0,2,17
Genome Sequencing,Math and Science,,,,0,3,17
prince william,People and Characters,,,,0,1,14
the first lady,People and Characters,,,,1,1,14
Human Rights Day ,Events,,,,0,1,17
Hurricane Katrina,History,Event,,,0,2,17
Winnie Mandela,People and Characters,South Africa,,,0,1,14
Star Wars,Movies,,,,1,1,9
Johnson & Johnson,Companies,,,,0,1,17
Just keep swiming,Music,Lyrics,,1,1,1,17
Black Panther,People and Characters,,,,1,1,13
step up 4,Movies,,,,0,1,9
Brenda Fassie,People and Characters,Music,,1,0,1,13
lord of the flies,Language and Literature ,Book,,,0,2,17
lord of the rings,Language and Literature ,Book,,,0,1,17
Julia Roberts,People and Characters,Actor,,,1,1,13
Marikana Massacre,History,South Africa,,,0,3,17
kaizer chiefs,People and Characters,,,,0,1,13
Ryan Reynolds,People and Characters,Actor,,,1,1,13
William Smith,People and Characters,,,1,0,1,13
Origin of Species,Language and Literature ,Book,,,0,2,17
Bryan Habana,People and Characters,Sports,Rugby,,1,1,12
Peloponnesian War,History,Wars,,,0,3,17
jamie oliver,People and Characters,,,,0,1,12
Toy Story,Movies,,,,1,1,9
quantum computing,Technology,,,,0,3,17
Johnny Clegg,People and Characters,Music,Artist,1,1,1,12
7de Laan,TV Show,,,1,1,1,8
Keanu Reeves,People and Characters,Actor,,,0,1,12
Royal Dutch Shell,Companies,,,1,1,3,17
LeBron James,People and Characters,Sports,Basketball,,1,1,12
St. Patrick's Day,Events,Holidays,,,0,2,17
Statue of Liberty,Geography,Landmarks,,1,0,1,17
Super Mario Bros.,Games,,,,1,1,17
The Elder Scrolls,Games,,,,0,2,17
the northern cape,Geography,,,,0,1,17
Think Like a Monk,Language and Literature ,,,,0,2,17
Led Zeppelin,People and Characters,Music,Artist,,0,1,12
Valley of the End,Language and Literature ,Places,,,0,3,17
Wall Street Crash,History,,,,0,2,17
Lionel Messi,People and Characters,Sports,soccer,,1,1,12
Mariah Carey,People and Characters,Music,Artist,,0,1,12
World of Warcraft,Games,,,,1,3,17
You mustn't push!,Culture,,,0,1,2,17
5 Love Languages,Language and Literature ,,,,1,1,16
African Wormwood,Nature,South Africa,,1,0,3,16
minnie mouse,People and Characters,,,,1,1,12
Muhammad Ali,People and Characters,Sports,,1,0,1,12
Rafael Nadal,People and Characters,Sports,Tennis,,1,1,12
Brandenburg Gate,Geography,Landmarks,,,0,3,16
Breaking the ice,Language and Literature ,,,,0,1,16
Cape Town Klopse,Culture,,,1,1,1,16
careless whisper,Music,,,,1,3,16
donald duck,People and Characters,,,,0,1,11
Chinese New Year,Events,,,,1,1,16
baywatch,Movies,,,,1,1,8
dragonball durag,Music,,,,1,3,16
Euphoria,TV Show,,,,0,1,8
Edinburgh Castle,Geography,Landmarks,,,0,3,16
Electromagnetism,Math and Science,,,,1,2,16
Euler's Identity,Math and Science,,,,0,3,16
mr bones,Movies,,,,1,1,8
Helen Zille,People and Characters,Politician,,1,1,1,11
"get low, get low",Music,Lyrics,,,0,1,16
Grand Theft Auto,Games,,,,1,2,16
James Blunt,People and Characters,Music,Artist,,0,1,11
Horseback Riding,Sports,,,,1,2,16
house of cronies,Games,Boardgame,,1,1,3,16
Independence Day,Events,,,,0,2,16
Kanto Earthquake,History,Event,,,1,2,16
Simpsons,TV Show,,,,0,1,8
Johnny Depp,People and Characters,Actor,,,1,1,11
"Meow, Meow, Meow",Language and Literature ,Phonics,,,1,1,16
Metal Gear Solid,Games,,,,1,3,16
night in tunisia,Music,Song,,,1,3,16
"No Woman, No Cry",Music,Lyrics,,,1,2,16
Sky News,TV Show,,,,1,1,8
Party in the USA,Music,Lyrics,,,1,2,16
Peppermint Crisp,Food and Drink,,,,1,2,16
Pillars of Earth,Language and Literature ,Book,,,0,3,16
Pocono Mountains,Geography,Places,,,0,3,16
Pumped up kicks ,Music,Lyrics,,,0,2,16
Pyramids of Giza,Geography,Landmarks,,,0,2,16
Rhodes must fall,History,South Africa,,,0,1,16
Kobe Bryant,People and Characters,Sports,Basketball,,0,1,11
ron weasley,People and Characters,,,,1,1,11
Siya Kolisi,People and Characters,Sports,Rugby,,0,1,11
Survivor,TV Show,,,,0,1,8
Softshell Turtle,Animals,,,,1,3,16
Trevor Noah,People and Characters,South Africa,,1,1,1,11
Kanye West,People and Characters,Music,Artist,,0,1,10
"Stop, Drop, Roll",Language and Literature ,triplets,,,1,1,16
swiss army knife,Things,,,,1,1,16
The Boys,TV Show,,,,0,1,8
the british open,Events,,,,1,2,16
The Hunger Games,Language and Literature ,,,,0,1,16
The Moon Landing,History,,,,0,1,16
They not like us,Music,Lyrics,,,1,2,16
Ultimate Frisbee,Sports,,,,0,2,16
Matt Damon,People and Characters,Actor,,,1,1,10
watch me nae nae,Music,Lyrics,,,1,1,16
"Woof, Woof, Woof",Language and Literature ,Phonics,,,0,1,16
yellow submarine,Music,,,,1,1,16
*Taking Photos*,Actions,,,,1,2,15
Aladdin,Movies,,,,1,1,7
Shrek 3,Movies,,,,1,1,7
Bite the bullet,Language and Literature ,,,,0,1,15
the bbc,TV Show,,,,1,1,7
Mike Tyson,People and Characters,Sports,Boxing,,0,1,10
Steve Biko,People and Characters,Politician,,1,1,1,10
Charlotte’s Web,Language and Literature ,Book,,,0,3,15
Chicken Biltong,Food and Drink,,,1,1,1,15
the smurfs,People and Characters,,,,0,1,10
Complex Numbers,Math and Science,,,,0,3,15
Crooked Kingdom,Language and Literature ,Book,,,0,3,15
Usain Bolt,People and Characters,Sports,Runner,,1,1,10
FAUNA AND FLORA,Nature,,,,0,2,15
Fela in versace,Music,Lyrics,,1,1,2,15
Will Smith,People and Characters,Actor,,,0,1,10
Freedom Charter,History,South Africa,,1,0,1,15
ben 10,TV Show,,,,1,1,6
Dune 2,Movies,,,,1,1,6
Hillsong Church,Geography,Places,,2,1,2,15
I'm every women,Music,Lyrics,,,1,1,15
Son Goku,People and Characters,Anime,,,1,1,8
In the Meantime,Music,Lyrics,,1,1,2,15
Superman,People and Characters,,,,0,1,8
King of the air,Events,,,,1,3,15
madonna,People and Characters,,,,1,1,7
R Kelly,People and Characters,Music,Artist,,0,1,7
rihanna,People and Characters,,,,1,1,7
Christ,People and Characters,,,,0,1,6
Microsoft Teams,Companies,,,1,1,2,15
cosatu,People and Characters,,,,1,1,6
daniel,People and Characters,,,,0,1,6
Gandhi,People and Characters,,,,1,1,6
Napoleonic Wars,History,Wars,,,0,3,15
the da,People and Characters,,,,0,1,6
noem my skollie,Language and Literature ,,,1,0,2,15
Northern Lights,Nature,,,,0,2,15
Gohan,People and Characters,Anime,,,1,1,5
Pegasus Spyware,Companies,,,,1,1,15
Pillow fighting,Sports,,,,0,2,15
Plate Tectonics,Math and Science,,,,0,2,15
pressure cooker,Things,,,,1,2,15
Naked Insurance,Companies,,,,0,1,15
Frozen,Movies,,,,0,1,6
babe,People and Characters,,,,0,1,4
Soweto Uprising,History,South Africa,,1,0,1,15
Star-Nosed Mole,Animals,,,,0,3,15
jeep,People and Characters,,,,1,1,4
Tsotsi,Movies,South Africa,,1,1,1,6
Street Fighter ,Games,,,,1,1,15
Tyla,People and Characters,Music,Artist,,0,1,4
WNBA,People and Characters,,,,1,1,4
Terracotta Army,Geography,Landmarks,,1,0,3,15
Arrow,TV Show,,,,1,1,5
The Great Trek ,History,Event,,,0,2,15
Crown,TV Show,,,,1,1,5
The oktoberfest,Events,,,,0,2,15
Stone Cold Steve Austin,People and Characters,Sports,WWE,,0,2,23
Track and Field,Sports,,,,0,2,15
Trivial Pursuit,Games,Boardgame,,,0,3,15
Valentine’s Day,Events,,,,0,1,15
Wolfgang Amadeus Mozart,People and Characters,Music,Artist,,1,2,23
James Cleveland Owens,People and Characters,Sports,,,0,2,21
*Glassblowing*,Actions,,,,1,2,14
*Mexican wave*,Actions,,,,1,1,14
5th generation,Technology,,,,0,2,14
"Earth, Wind and Fire",People and Characters,Music,Artist,,1,2,20
E.T. ,Movies,,,,1,1,5
agter 'n baard,Language and Literature ,Book,,1,0,3,14
James Francis Thorpe,People and Characters,Sports,,,0,2,20
Buffalo Springfield,People and Characters,Music,Artist,,1,2,19
Khabib Nurmagomedov,People and Characters,Sports,UFC,,0,2,19
Dark,TV Show,,,,0,1,4
The wright Brothers,People and Characters,,,,1,2,19
Anglo American,Companies,,,1,0,2,14
Anglo-Zulu War,History,South Africa,,,0,3,14
bang bang bang,Music,Lyrics ,triplets,,0,2,14
Bantu Land Act,History,Event,,1,0,3,14
George Herman Ruth,People and Characters,Sports,,,0,2,18
Christopher Nolan,People and Characters,Actor,,,1,2,17
beautiful girl,Music,Lyrics,,,1,2,14
Denzel Washington,People and Characters,Actor,,,0,2,17
Braaibroodjies,Food and Drink,,,1,1,3,14
Dricus du Plessis,People and Characters,Sports,UFC,1,1,2,17
Cheese-rolling,Sports,,,,0,3,14
Hendrick Verwoerd,People and Characters,Politician,,,0,2,17
e.tv,TV Show,,,,1,1,4
crayfish curry,Food and Drink,Meal,,1,1,2,14
Jennifer Lawrence,People and Characters,Actor,,,1,2,17
Nicky Oppenheimer,People and Characters,,,,0,2,17
patricia de lille,People and Characters,Politician ,,,1,2,17
epstein Island,Geography,Places,,,1,2,14
Quentin Tarantino,People and Characters,Director,,,0,2,17
Fahrenheit 451,Language and Literature ,Book,,,0,3,14
FIFA World Cup,History,South Africa,,,1,1,14
Forbidden City,Geography,Landmarks,,,1,3,14
Global Warming,Events,,,,0,1,14
GOOGLE GLASSES,Technology,,,,0,2,14
guy fawkes day,Events,,,1,0,2,14
Timothée Chalamet,People and Characters,Actor,,,1,2,17
Lost,TV Show,,,,0,1,4
House of Hades,Language and Literature ,Book,,,1,3,14
I have a dream,History,Event,,,0,1,14
In the 18 Area,Music,Lyrics,,,1,3,14
July's People ,Language and Literature ,Book,,,0,3,14
Lets go 50/50 ,Music,,,1,1,2,14
Billie Jean King,People and Characters,Music,Artist,,0,2,16
Liberation Day,Events,Holidays,,,0,3,14
chester williams,People and Characters,,,,1,2,16
harvey weinstein,People and Characters,,,,0,2,16
Malcolm Gladwell,People and Characters,Literature,,,1,2,16
Shaquille O'Neal,People and Characters,Sports,Basketball,,0,2,16
Mount Rushmore,Geography,Landmarks,,,0,3,14
Steven Spielberg,People and Characters,Director,,,1,2,16
Naked Mole-Rat,Animals,,,,0,3,14
Cassper Nyovest,People and Characters,Music,,1,0,2,15
Chris Hemsworth,People and Characters,Actor,,,1,2,15
New Year’s Day,Events,,,,0,1,14
James Stockdale,People and Characters,,,,0,2,15
Up,Movies,,,,1,1,2
SISTERHOOD OF THE TRAVELING PANTS,Movies,,,,1,2,33
Louis Armstrong,People and Characters,,,,1,2,15
Mowbray Suburbs,People and Characters,,,,0,2,15
Photosynthesis,Math and Science,,,,0,1,14
praying mantis,Animals,,,,0,1,14
Monkey D. Luffy,People and Characters,Anime,,,1,2,15
Curious Case of Benjamin Button,Movies,,,,0,2,31
PROOF OF STAKE,Technology,,,,1,3,14
"Ready, Set, Go",Language and Literature ,triplets,,,0,1,14
One Flew Over the Cuckoo's Nest,Movies,,,,1,2,31
Muammar Gaddafi,People and Characters,Politician,,,0,2,15
Sister Bettina,Music,South Africa,,1,1,1,14
Sistine Chapel,Geography,Landmarks,,1,0,2,14
Start with Why,Language and Literature ,,,,0,2,14
"Crouching Tiger, Hidden Dragon",Movies,,,,1,2,30
Nadine Gordimer,People and Characters,Politician,,,1,2,15
Sweet Caroline,Music,Lyrics,,1,1,1,14
The Alchemist ,Language and Literature ,,,,0,1,14
Natalie Portman,People and Characters,Actor,,,0,2,15
The Last of Us,Games,,,,1,3,14
the london eye,Geography,,,,1,1,14
The Super Bowl,Events,,,,0,1,14
the windy city,Geography,,,,1,1,14
Thermodynamics,Math and Science,,,,0,2,14
Buffy the Vampire Slayer,TV Show,,,,1,2,24
Turing Machine,Math and Science,,,,1,3,14
umhlanga rocks,Geography,Places,,,0,3,14
United Kingdom,Geography,Country,,,0,1,14
United Nations,History,Event,,,1,1,14
Patrice Motsepe,People and Characters,,,,1,2,15
How to Train Your Dragon,Movies,Animation,,,1,2,24
V&A Waterfront,Geography,Places,,1,0,1,14
Victoria Falls,Geography,Landmarks,,,0,1,14
Serena Williams,People and Characters,Sports,Tennis,,0,2,15
Taliep Petersen,People and Characters,South Africa,,,1,2,15
World Wide Web,Technology,,,,1,1,14
*Hitchhiking*,Actions,,,,1,1,13
*Snorkelling*,Actions,,,,1,2,13
5 second rule,Games,Boardgame,,,1,2,13
albaraka bank,Companies,,,1,0,2,13
everybody loves raymond,TV Show,,,,1,2,23
tarzan and Jane,People and Characters,,,,0,2,15
Atomic Habits,Language and Literature ,Book,,,0,2,13
bafana bafana,Sports,,,,0,1,13
Victor Matfield,People and Characters,Sports,Rugby,,1,2,15
BRIDGET JONES'S DIARY,Movies,,,,1,2,21
Zinedine Zidane,People and Characters,Sports,Soccer,,0,2,15
AB de Villiers,People and Characters,Sports,Cricket,1,1,2,14
Caber Tossing,Sports,,,,1,3,13
friday the thirteenth,Movies,,,,1,2,21
bassem youssef,People and Characters,Comedian,,1,0,2,14
Howl's Moving Castle,TV Show,Anime,,,1,2,20
Chilli Popper,Food and Drink,Meal,,1,1,2,13
Christmas Day,Events,,,,0,1,13
Da Vinci Code,Language and Literature ,Book,,,0,2,13
Danja Sausage,Food and Drink,,,1,1,2,13
Let the Right One In,Movies,,,,0,2,20
Digital twins,Technology,,,,1,3,13
Double Hotdog,Food and Drink,,,1,0,2,13
Pursuit of Happyness,Movies,,,,1,2,20
Brooklyn Nine-Nine,TV Show,,,,0,2,18
DEVIL WEARS PRADA ,Movies,,,,1,2,18
Easter Monday,Events,,,,1,1,13
Equestrianism,Sports,,,,1,3,13
fiela se kind,Language and Literature ,,,1,0,3,13
Final Fantasy,Games,,,,0,2,13
Benni McCarthy,People and Characters,,,,1,2,14
Gangnam Style,Music,Lyrics,,,1,1,13
golan heights,Geography,,,,0,3,13
Gods Must Be Crazy,Movies,South Africa,,1,1,2,18
Hakuna Mutata,Language and Literature ,,,,1,2,13
Heritage Day ,Events,,,,0,2,13
Champagne papi,People and Characters,Music,Artist,,0,2,14
Diego Maradona,People and Characters,Sports,Soccer,,1,2,14
heinz winckler,People and Characters,,,,0,2,14
Mahatma Gandhi,People and Characters,Politician,,,1,2,14
Marais Viljoen,People and Characters,Politician,,1,0,2,14
Kuch Kuch Hota Hai,Movies,Indian,,,1,2,18
Nadia Comaneci,People and Characters,Sports,GYmnastists,1,1,2,14
The Last Airbender,TV Show,,,,0,2,18
Komodo Dragon,Animals,,,,1,2,13
Saddam Hussein,People and Characters,Politician,,,0,2,14
Liechtenstein,Geography,Country,,1,0,3,13
Little Prince,Language and Literature ,Book,,,1,2,13
Louis Vuitton,Companies,,,,0,1,13
Steve Redgrave,People and Characters,Sports,,,1,2,14
Mantis Shrimp,Animals,,,,1,3,13
Uzumaki Naruto,People and Characters,Anime,TV Show,1,0,2,14
Vladimir Lenin,People and Characters,Politician,,,1,2,14
Boris Johnson,People and Characters,Politician,,,0,2,13
Casey Neistat,People and Characters,Youtube,,1,1,2,13
freshlyground,People and Characters,Music,,,0,2,13
Magic Johnson,People and Characters,Sports,Basketball,,1,2,13
Mount Everest,Geography,Landmarks,,,0,1,13
Mzanzi Fo sho,Music,,,1,0,3,13
michael buble,People and Characters,,,,0,2,13
