Word,Tag 1,Tag 2,Tag 3,South Africa,Colour,Row
Chalte Chalte,Movies,,,,0,2
Christ the Redeemer,Geography,Landmarks,,,1,2
City of God,Movies,,,,0,5
Comoros,Geography,Country,,,1,3
Crusades,History,,,,0,1
Da Vinci Code,Language and Literature ,Book,,,0,3
Denningvleis,Food and Drink,,,1,1,1
Dexter,TV Show,,,,0,4
Equestrianism,Sports,,,,0,5
Cassper Nyovest,People and Characters,Music,,1,1,4
Chappies Bubble Gum,Food and Drink,,,1,0,2
Churros,Food and Drink,Meal,,1,1,2
*walking up stairs*,Actions,,,,1,5
Complex Numbers,Math and Science,,,,1,3
cryptography,Technology,,,,0,1
Deezer,Companies,,,,0,3
Diary of a Wimpy Kid,Language and Literature ,Book,,,0,4
dragonball durag,Music,,,,1,1
Family Guy,TV Show,,,,0,5
chemotherapy,Math and Science,,,,0,2
Chess,Sports,,,,1,4
"Circle, Square, Triangle",Technical,triplets,,,1,2
Cluedo,Games,Boardgame,,,1,5
Curb Your Enthusiasm,TV Show,,,,1,3
Cyril Ramaphosa,People and Characters,Politician,,,0,1
Digital twins,Technology,,,,0,4
Downton Abbey,TV Show,,,,0,3
Dricus du Plessis,People and Characters,Sports,UFC,1,1,1
Fault in Our Stars,Language and Literature ,Book,,,0,5
Cleopatra,People and Characters,,,,1,4
Coca-Cola Company,Companies,,,,1,2
Colosseum,Geography,Landmarks,,,1,5
Crown,TV Show,,,,0,2
Daisies,Events,,,1,0,1
Despacito,Music,Lyrics,,1,1,3
Django Unchained,Movies,,,,0,4
Dri Buddi,Things,,,1,0,3
dstv decoder,Things,,,1,1,1
FAUNA AND FLORA,Nature,,,,0,5
"Corrosion, Rust",Technical,double,,,1,5
Coruscant,Language and Literature ,Places,,,1,4
Dala what you must,Culture,Language and Literature,,1,0,2
Danny K,People and Characters,Music,Artist,1,1,2
Death Star,Language and Literature ,Places,,,0,1
Diego Maradona,People and Characters,Sports,Football,,1,3
driftwood,Nature,,,,0,3
Dude Perfect,People and Characters,Youtube,,,0,4
Dwayne Johnson,People and Characters,Sports,,,1,1
Fibonacci Sequence,Math and Science,,,,0,5
Crooked Kingdom,Language and Literature ,Book,,,1,5
Curious Case of Benjamin Button,Movies,,,,1,4
Dark Knight Trilogy,Movies,,,,0,2
David Kramer,People and Characters,South Africa,,1,1,2
Die hard,Movies,,,,0,1
district 9,Movies,South Africa,,1,1,3
Dune,Movies,,,,0,3
Electric Daisy Carnival,Events,,,,0,4
Eren Yeager,People and Characters,Anime,,,1,1
Fight Club,Movies,,,,0,5
CTEMF,Events,,,1,1,5
David Dobrik,People and Characters,Youtube,,,0,2
Desmond Tutu,People and Characters,Politician,,1,1,4
Disgrace,Language and Literature ,Book,,,0,1
Djibouti,Geography,Country,,,1,3
Doom,Games,,,,1,2
Durban July,Events,,,1,0,3
Empire State Building,Geography,Landmarks,,,0,4
FIFA 2010 World Cup,History,South Africa,,,1,1
Free State,Geography,,,,0,5
De Oranjes,History,,,,0,2
DEVIL WEARS PRADA ,Movies,,,,1,4
DevOps,Technology,,,,1,5
Dragon Prince,TV Show,,,,1,3
Dragonball Super,TV Show,Anime,,,0,1
Duran Duran,Music,Lyrics,,,1,2
"Earth, Wind and Fire",People and Characters,Music,,,0,3
Eritrea,Geography,Country,,,0,4
Formula E,Sports,,,,1,1
GBV,History,Event,,,0,5
Demon Slayer,TV Show,Anime,,,0,2
Devil's Peak,Geography,Landmarks,,,1,4
"Drum, Piano, Bass",Technical,triplets,,,1,5
Educated,Language and Literature ,Book,,,0,1
Edward Elric,People and Characters,Anime,,,1,3
Eina,Culture,,,1,1,2
Electromagnetism,Math and Science,,,,0,3
Falafel,Food and Drink,Meal,,,0,4
Franklin D. Roosevelt,People and Characters,Politician,,,1,1
Gone with the Wind,Language and Literature ,Book,,,0,5
Diwali,Events,Holidays,,,0,2
Docside,Geography,Places,,,1,4
Edinburgh Castle,Geography,Landmarks,,,1,5
Eldrick Tont Woods,People and Characters,Golf,,,0,1
Empanadas,Food and Drink,Meal,,1,0,3
Fajitas,Food and Drink,Meal,,,1,2
Fela in versace,Music,Lyrics,,1,1,3
Frederick Carlton Lewis,People and Characters,Sports,,,0,4
Fruity Loops,Music,,,1,1,1
Great Barrier Reef,Geography,Landmarks,,,0,5
Doctor Who,TV Show,,,,1,4
Donald Bradman,People and Characters,,,,0,2
Eggnog,Food and Drink,Drink,,1,1,5
epstein Island,Geography,Places,,,0,1
"Father, Son, Holy Spirit",Technical,triplets,,,1,2
Fernando Alonso,People and Characters,F1,,,0,3
fiela se kind,Language and Literature ,,,1,1,3
Gautama Buddha,People and Characters,,,,0,4
Gods Must Be Crazy,Movies,South Africa,,1,1,1
Great Depression,TV Show,,,,0,5
Donga,Culture,,,1,1,4
Down Second Avenue,Language and Literature ,Book,,,0,2
Egoli,Geography,Places,,,1,5
Euler's Identity,Math and Science,,,,0,1
First national bank,Companies,,,1,1,2
Fleabag,TV Show,,,,0,3
Fourier Transform,Math and Science,,,,1,3
Glasgow,Geography,City ,,,0,4
Goulash,Food and Drink,Meal,,,1,1
"Harder, Better, Faster, Stronger",Music,Lyrics,,,0,5
drop it like it's hot,Music,Lyrics,,,1,4
Echidna,Animals,,,,0,2
Eish,Culture,,,1,1,5
Fear Factor,TV Show,Reality,,,0,1
flint,Things,,,,0,3
"Fork, Spoon, Knife",Technical,triplets,,,1,2
Fruit Cake,Food and Drink,,,,1,3
Golden Dish,Geography,Places,,,0,4
Grand Theft Auto VI,Games,,,,1,1
Higgs Boson,Math and Science,,,,0,5
"Earth, Wind, Fire",Technical,triplets,,,1,4
Erling Haaland,People and Characters,,,1,0,2
eye of tiger,Music,Lyrics,,,1,5
Forbidden City,Geography,Landmarks,,,0,3
Foschini Group,Companies,,,1,0,1
Four Corners,Movies,South Africa,,1,1,2
Game Theory,Math and Science,,,,1,3
Golden Ratio,Math and Science,,,,0,4
guy fawkes day,Events,,,1,1,1
*Hitchhiking*,Actions,,,,1,5
Ek wil huis toe gaan,Music,Lyrics,,1,1,4
Fahrenheit 451,Language and Literature ,Book,,,0,2
FAHRENHEIT 9/11 ,Movies,,,,1,5
Fossa,Animals,,,,0,3
Freakonomics,Language and Literature ,Book,,,0,1
Friends,TV Show,,,,1,2
Gees,Culture,,,1,1,3
Goodfellas,Movies,,,,0,4
Hadedas,Animals,South Africa,,1,1,1
Hulu,Companies,,,,0,5
Ericas,Nature,South Africa,,1,1,4
Fargo,TV Show,,,,1,5
Fractals,Math and Science,,,,0,3
Freedom Charter,History,South Africa,,1,0,1
FW de Klerk,People and Characters,Politician,,1,1,2
General Theory of Relativity,Math and Science,,,,0,2
Godfather: Part II,Movies,,,,1,3
Grand Canyon,Geography,Landmarks,,,0,4
Hawker,Culture,,,1,1,1
Hundred Years' War,History,South Africa,,,0,5
Every Breath You Take,Music,Lyrics,,,1,4
fenugreek,Food and Drink,,,,1,5
Frappuccino,Food and Drink,Drink,,,0,3
French Revolution,History,,,,0,1
George Herman Ruth,People and Characters,Sports,,,0,2
"Glue, Tape, Stapler",Technical,triplets,,,1,2
Gogo,Culture,,,1,1,3
Great Expectations,Language and Literature ,Book,,,0,4
Hunger Games,Language and Literature ,Book,,,0,5
IMAM Haroon,People and Characters,,,1,1,1
Final Fantasy VII,Games,,,,1,5
Futurama,TV Show,,,,0,3
Gaborone,Geography,Capital,,,0,1
Genome Sequencing,Math and Science,,,,1,4
Global Warming,Events,,,,0,2
Gohan,People and Characters,Anime,,,1,3
Great Gatsby,Movies,,,,1,2
Gulf War,History,South Africa,,,0,4
Hurricane Katrina,History,Event,,,0,5
"Introduction, Body, Conclusion",Technical,triplets,,,1,1
Finding Nemo,Movies,,,,1,5
Gangnam Style,Music,Lyrics,,,0,3
"get low, get low",Music,Lyrics,,,0,1
Get Out,Movies,,,,1,4
Golden Gate Bridge,Geography,Landmarks,,,0,2
Good Mythical Morning,People and Characters,Youtube,,,1,3
Hagia Sophia,Geography,Landmarks,,,1,2
happy birthday to you,Music,,,,0,4
Ikigai,Language and Literature ,,,,0,5
Ismaël Lô,Music,Artist,,,1,1
Firefly,TV Show,,,,1,5
Gaussian Distribution,Math and Science,,,,0,3
*Glassblowing*,Actions,,,,1,4
Goldfinch,Language and Literature ,Book,,,0,2
Good Place,TV Show,,,,0,1
Guyana,Geography,Country,,,1,3
Helen Suzman,People and Characters,Politician,,,0,4
Hermanus Whale Festival,Events,,,1,1,2
In the 18 Area,Music,Lyrics,,,0,5
it's too late to apologize,Music,Lyrics,,,1,1
*Flying*,Actions,,,,1,5
Gem Squash,Food and Drink,,,,0,3
Global Positioning System,Technology,,,,1,4
GOOGLE GLASSES,Technology,,,,0,2
great gatsby,Language and Literature ,Book,,,0,1
Hakuna Mutata,Language and Literature ,,,,1,3
hide and seek,Games,,,,1,2
I have a dream,History,Event,,,0,4
Isidingo,TV Show,,,1,0,5
Jakarta,Geography,Capital,,,1,1
Fynbos,Culture,,,1,1,5
Gettsyburg Address,History,Event,,,0,3
Gravity Falls,TV Show,,,,1,4
Grillers,Language and Literature ,Book,,1,0,1
Han Solo,People and Characters,,,,1,3
Henry Louis Aaron,People and Characters,Sports,,,0,2
house of cronies,Games,Boardgame,,1,1,2
I want to break free,Music,Lyrics,,,0,4
James Francis Thorpe,People and Characters,Sports,,,1,1
Joseph Clifford Montana,People and Characters,Sports,,,0,5
Game of Thrones,TV Show,,,,1,5
Graça Machel,People and Characters,South Africa,,,0,3
Great Wall of China,Geography,Landmarks,,,1,4
HAITI EARTHQUAKE,History,Event,,,0,1
Hanoi,Geography,Capital,,,1,3
Hiroshima,History,,,,0,2
Hubble's Law,Math and Science,,,,1,2
Ichigo Kurosaki,People and Characters,Anime,,,0,4
July's People ,Language and Literature ,Book,,,0,5
kap tol,Games,Culture,,,1,1
gatties,Games,,,,1,5
Grahamstown,Geography,Places,,,0,3
Hannibal,TV Show,,,,1,4
Helen Zille,People and Characters,Politician,,1,1,3
Hopscotch,Games,,,,0,2
Hueco Mundo,Language and Literature ,Places,,,0,1
hula hoop,Things,,,,1,2
Internet of Things,Technology,,,,0,4
"Kaptein, van die sailor ",Music,Lyrics,,1,1,1
Khabib Nurmagomedov,People and Characters,Sports,UFC,,0,5
George Best,People and Characters,Sports,,,1,5
Grave of the Fireflies,Movies,Anime,,,0,3
Henry Ford,People and Characters,,,,1,4
How to Train Your Dragon,Movies,Animation,,,0,2
hurt so bad ,Music,Lyrics,,1,1,2
"Hypothesis, Conclusion",Technical,double,,,0,1
Jack Roosevelt Robinson,People and Characters,Sports,,,1,3
Jacksepticeye,People and Characters,Youtube,,,0,4
Kat and the Kings,Movies,South Africa,,1,1,1
Kremlin,Geography,Landmarks,,,0,5
Good Bye Lenin!,Movies,,,,1,5
Half-Life 2,Games,,,,0,3
higgs boson,Technology,,,,1,4
I'm every women,Music,Lyrics,,,0,1
Imagine all people,Music,Lyrics,,,0,2
Indaba,Culture,,,1,1,2
Jägerbomb,Food and Drink,Drink,,,0,4
Joe Rogan Podcast,TV Show,,,,1,3
Kiss me thru phone,Music,Lyrics,,,1,1
LET RIGHT ONE IN ,Movies,,,,0,5
Grand Budapest Hotel,Movies,,,,1,5
Hendrick Verwoerd,People and Characters,Politician,,,0,3
Hillsong Church,Geography,Places,,,1,4
imagine dragons,People and Characters,Music,,,0,1
invictus,Movies,South Africa,,1,1,2
iPHONE SE,Things,,,,0,2
Johnny Clegg,People and Characters,Music,Artist,1,1,3
Kanto Earthquake,History,Event,,,0,4
Kobe Bryant,People and Characters,Sports,Basketball,,1,1
Lima,Geography,Capital,,,0,5
Hidden Leaf Village,Language and Literature ,Places,,,1,5
Hit the nail on the head,Language and Literature ,,,,1,4
Hitchhiker's Guide to Galaxy,Language and Literature ,Book,,,0,3
Jan Smuts,People and Characters,Politician,,1,0,1
Jerry Rice,People and Characters,Sports,,,0,2
Joe Barber,Movies,South Africa,,1,1,2
Kabaddi,Sports,,,,1,3
Keeping Up with Kardashians,TV Show,,,,0,4
Lewis Hamilton,People and Characters,Sports,F1,,1,1
lord of the rings,Language and Literature ,Book,,,0,5
Hoʻoponopono,Language and Literature ,,,,0,3
Honda Motor,Companies,,,,1,5
Idi Amin,People and Characters,Politician,,,1,4
Johannes Gutenberg,People and Characters,,,1,0,2
Jonty Rhodes,People and Characters,Sports,Cricket,1,1,2
Juffrou Is 'n Monster,Language and Literature ,Book,,1,0,1
Kakashi Hatake,People and Characters,Anime,,,1,3
King of the air,Events,,,,0,4
like a g6,Music,,,,1,1
Macbeth,Language and Literature ,Plays,,,0,5
Holocaust,History,,,,0,3
"Hook, Line, Sinker",Technical,triplets,,,1,5
Industrial Revolution,History,Event,,,1,4
Jon Jones,People and Characters,Sports,,,0,2
Just keep swiming,Music,Lyrics,,1,1,2
Kakapo,Animals,,,,0,1
Kimchi,Food and Drink,Meal,,,1,3
Kiribati,Geography,Country,,,0,4
Lilly Singh,People and Characters,Youtube,,,1,1
Motherwell,Geography,City ,,,0,5
House of Cards,TV Show,,,,0,3
"Hue, Saturation",Technical,double,,,1,5
Isibindi,Culture,,,1,1,4
JPMorgan,Companies,,,1,0,2
Kabul,Geography,,,,1,2
Kanye West,People and Characters,Music,Artist,,0,1
Kite runner,Language and Literature ,Book,,,0,4
Kwaito,Culture,,,1,1,3
lious armstrong,People and Characters,,,,1,1
Mount Fuji,Geography,Landmarks,,,0,5
House of Hades,Language and Literature ,Book,,,0,3
Hugh Masekela,People and Characters,Music,,,1,5
Jenna Marbles,People and Characters,Youtube,,,1,4
Kaytranada,People and Characters,Music,Artist,,1,2
Klein Karoo,Geography,,,,0,1
Korean War,History,South Africa,,,0,2
LaMelo Ball,People and Characters,Basketball,,,1,3
Lance Armstrong,People and Characters,Sports,,,0,4
"Lipstick, Mascara, Eyeliner",Technical,triplets,,,1,1
Moussaka,Food and Drink,Meal,,,0,5
I wanna be a billionaire,Music,Lyrics,,,0,3
James Blunt,People and Characters,Music,Artist,,1,5
Johann Rupert,People and Characters,Politician,,1,1,4
Koos Bekker,People and Characters,Politician,,,0,1
Kuch Kuch Hota Hai,Movies,Indian,,,1,2
Kyiv,Geography,Capital,,,0,2
"Large, Medium, Small",Technical,triplets,,,1,3
Lionel Messi,People and Characters,Sports,Football,,0,4
Maldives,Geography,Country,,,1,1
Muammar Gaddafi,People and Characters,Politician,,,0,5
im blue dabadedabada,Music,Lyrics,,1,0,3
John Herschel,People and Characters,,,,1,4
Jumper,Movies,,,,1,5
"Laugh, Giggle, Snicker",Technical,triplets,,,1,2
LeBron James,People and Characters,Sports,,,0,1
Lekker,Culture,,,1,1,3
Lemon Atcha,Food and Drink,,,,0,2
Little Prince,Language and Literature ,Book,,,0,4
Mampara,Culture,,,1,1,1
Naked Mole-Rat,Animals,,,,0,5
In mean time,Music,Lyrics,,1,0,3
Johnson & Johnson,Companies,,,,1,4
Kal Ho Naa Ho,Movies,Indian,,,1,5
let it burn,Music,Lyrics,,,1,2
Let the cat out of the bag ,Language and Literature ,,,,0,1
Lets go 50 50 ,Music,,,1,1,3
Levi Ackerman,People and Characters,Anime,,,0,2
Lord of Rings,Movies,,,,0,4
Mansa musa,People and Characters,,,,1,1
National Women's Day,Events,Holidays,,1,0,5
Isabel Perón,People and Characters,,,,0,3
Kashmir,Music,Song,,,1,4
Kill Bill,Movies,,,,1,5
Liberation Day,Events,Holidays,,,0,2
liger,Animals,,,,1,2
Light Yagami,People and Characters,Anime,,,0,1
LION WITCH AND WARDROBE,Language and Literature ,,,,1,3
Luciano Pavarotti,People and Characters,Music,Artist,,0,4
Markiplier,People and Characters,Youtube,,1,1,1
Neil Armstrong,People and Characters,,,,0,5
James Cleveland Owens,People and Characters,Sports,,,0,3
King of Hill,TV Show,,,,1,4
*Knitting*,Actions,,,,1,5
Line of Duty,TV Show,,,,0,1
Lion's ear,Nature,South Africa,,1,0,2
"Lions, Tigers, Bears",Technical,triplets,,,1,3
Louis Vuitton,Companies,,,,1,2
Malcolm Gladwell,People and Characters,Literature,,,0,4
Marnus Labuschagne,People and Characters,Sports,Cricket,,1,1
NVIDIA ,Companies,,,,0,5
Kabhi Kushi Kabhi Gham,Movies,Indian,,,0,3
Kinshasa,Geography,,,,1,4
"Koeksisters, Koesisters",Culture,doubles,,1,1,5
Lisbon,Geography,Capital,,,1,3
Liza Koshy,People and Characters,Youtube,,,0,1
Love Island,TV Show,,,,0,2
Lucky Dube,People and Characters,Music,,1,1,2
melktart ,Food and Drink,,,1,0,4
Miriam Makeba,People and Characters,Music,,,1,1
one-time password,Technology,,,,0,5
Kite runner,Language and Literature ,Book,,,1,4
Komodo Dragon,Animals,,,,1,5
Krypton,Math and Science,,,,0,3
Long Walk to Freedom,Movies,South Africa,,1,1,3
Magic Johnson,People and Characters,Sports,Basketball,,0,2
Magna Carta,History,Event,,,1,2
Marie Curie,People and Characters,,,,0,1
Mike Tyson,People and Characters,Sports,Boxing,,0,4
"Morning, Noon, Night",Technical,triplets,,,1,1
oppenheimer,Movies,,,,0,5
"Knife, Fork, Spoon",Technical,triplets,,,1,4
"Lemon, Lime, Orange",Technical,triplets,,,1,5
Lesotho,Geography,Country,,1,0,3
Maoist China,History,Event,,,0,2
Marais Viljoen,People and Characters,Politician,,1,1,2
Mariah Carey,People and Characters,Music,Artist,,1,3
Metal Gear Solid,Games,,,,0,1
morse code,Technology,,,,0,4
Motherboard,Technology,,,,1,1
Ouagadougou,Geography,,,,0,5
Kombi,Culture,,,1,1,4
let me hold you down,Music,Lyrics,,,1,5
Liechtenstein,Geography,Country,,1,0,3
Mark fish,People and Characters,Sports,Football,1,1,2
Mark Shuttleworth,People and Characters,,,,0,2
Maxwell's Equation,Math and Science,,,,1,3
Minecraft,Games,,,,0,1
Mother Teresa,People and Characters,,,,0,4
Mzanzi Fo sho,Music,,,1,1,1
P. W. BOtha,People and Characters,Politician,,1,0,5
Kylian Mbappe,People and Characters,Sports,Football,,1,4
Lizzie Magie,People and Characters,,,,1,5
lord of the flies,Language and Literature ,Book,,,0,3
Massmart,Companies,,,,0,2
MasterChef,TV Show,,,,1,2
Mickey Mantle,People and Characters,Sports,,,1,3
Mixed Martial Arts,Sports,,,,0,1
Mount Rushmore,Geography,Landmarks,,,0,4
Naruto,TV Show,Anime,,,1,1
Pangea,Geography,,,,0,5
Laaitie,Culture,,,1,1,4
Lucky Star,Food and Drink,,,1,1,5
Madam & Eve,TV Show,,,1,0,3
