Word,Tag 1,Tag 2,Tag 3,South Africa,Colour,Difficulty,Length,Versatile
Color Purple,Language and Literature ,Book,,,0,2,12,
Django Unchained,Movies,,,,1,2,16,
Big Hole,Geography,,,,0,2,8,
Russian Roulette,Games,,,,1,2,16,
Four Corners,Movies,South Africa,,1,1,2,12,
Mad Men,TV Show,,,,1,2,7,
facebook,Companies,,,,0,1,8,
First national bank,Companies,,,1,0,1,19,
FIVE SENSES,Technical,triplets,,,0,1,11,
Melktert,Food and Drink,,,1,1,2,8,
Gogo,Culture,,,1,1,2,4,
flint,Things,,,,1,2,5,
Bad Bunny,People and Characters,Music,Artist,,1,2,9,
Football,Sports,,,,1,1,8,
edinburgh,Geography,,,,0,2,9,
Formula 1,Sports,,,,1,1,9,
FirstRand,Companies,,,,0,2,9,
fossil,Nature,,,,0,1,6,
friday the thirteenth,Movies,,,,1,2,21,
Fractals,Math and Science,,,,0,3,8,
Fractions,Math and Science,,,,0,1,9,
Barbra Streisand,People and Characters,Music,,,1,2,16,
Billie Jean King,People and Characters,Music,Artist,,1,2,16,
Cost an arm and a leg,Language and Literature ,,,,0,2,21,
Blink 182,People and Characters,Music,,,1,2,9,
Egoli,Geography,Places,,1,0,2,5,
Death Star,Language and Literature ,Places,,,0,2,10,
Eritrea,Geography,Country,,,0,2,7,
Gold Rush,History,,,,0,2,9,
Freedom Day,Events,,,1,0,2,11,
Magna Carta,History,Event,,,0,2,11,
blondie,People and Characters,Music,,1,1,2,7,
Get Out,Movies,,,,1,2,7,
Mocha,Food and Drink,,,,1,2,5,
Gods Must Be Crazy,Movies,South Africa,,1,1,2,18,
Peppermint Crisp,Food and Drink,,,,1,2,16,
bono,People and Characters,Music,,,1,2,4,
Fungus,Nature,,,,0,1,6,
Madam & Eve,TV Show,,,1,1,2,11,
Buffalo Springfield,People and Characters,Music,Artist,,1,2,19,
Kombi,Culture,,,1,1,2,5,
Fiji,Geography,Country,,,0,2,4,
Carpenters,People and Characters,Music,,,1,2,10,
MasterChef,TV Show,,,,1,2,10,
Game Theory,Math and Science,,,,0,2,11,
Gangnam Style,Music,Lyrics,,,1,1,13,
Perlemoen,Food and Drink,,,1,1,2,9,
Kwaito,Culture,,,1,1,1,6,
Gaussian Distribution,Math and Science,,,,0,3,21,
Glasgow,Geography,City ,,,0,2,7,
Cassper Nyovest,People and Characters,Music,,1,1,2,15,
Marikana,History,South Africa,,,0,2,8,
Make the circle bigger,Culture,,,1,1,2,22,
Pina Colada,Food and Drink,Drink,,,1,2,11,
Narcos,TV Show,,,,1,2,6,
New Girl,TV Show,,,,1,2,8,
Geometry,Math and Science,,,,0,1,8,
Golden Dish,Geography,Places,,1,0,2,11,
"get low, get low",Music,Lyrics,,,1,1,16,
inside out,Movies,,,,1,2,10,
renaissance,History,Event,,,0,2,11,
invictus,Movies,South Africa,,1,1,2,8,
Prison Break,TV Show,,,,1,2,12,
liger,Animals,,,,0,2,5,
glacier,Nature,,,,0,1,7,
Grahamstown,Geography,Places,,1,0,2,11,
Global Positioning System,Technology,,,,0,2,25,
Global Warming,Events,,,,0,1,14,
Thunee,Games,,,1,1,2,6,
Joe Barber,Movies,South Africa,,1,1,2,10,
Jumper,Movies,,,,1,2,6,
Padkos,Culture,,,1,1,2,6,
G Dragon,People and Characters,Music,Artist,,1,3,8,
Roman Empire,history,,,,0,2,12,
Great Barrier Reef,Geography,Landmarks,,,0,2,18,
hillbrow,Geography,,,,0,2,8,
Golden Ratio,Math and Science,,,,0,2,12,
Golf,Sports,,,,1,1,4,
gondola,Things,,,,1,2,7,
Diary of a Wimpy Kid,Language and Literature ,Book,,,0,2,20,
Eragon,Language and Literature ,Book,,1,0,2,6,
notting hill,Movies,,,,1,2,12,
Good Friday,Events,,,,0,1,11,
One Flew Over the Cuckoo's Nest,Movies,,,,1,2,31,
google earth,Technology,,,,0,1,12,
GOOGLE GLASSES,Technology,,,,0,2,14,
Lynx,Animals,,,,0,2,4,
Potjiekos,Food and Drink,,,1,1,2,9,
quiche,Food and Drink,,,,1,2,6,
Danny K,People and Characters,Music,Artist,1,1,2,7,
Hillsong Church,Geography,Places,,1,0,2,15,
oppenheimer,Movies,,,,1,2,11,
Klein Karoo,Geography,Landmarks,,,0,2,11,
30 seconds ,Games,Boardgame,,1,1,1,11,
Pain and Glory,Movies,,,,1,2,14,
Krypton,Geography,,,,0,2,7,
Lebonon,Geography,City,,,0,2,7,
fable,Language and Literature ,,,,0,2,5,
Green Eggs and Ham,Language and Literature ,Book,,,0,2,18,
Lisbon,Geography,City,Capital,,0,2,6,
Machu Picchu,Geography,Landmarks,,,0,2,12,
Hakuna Mutata,Language and Literature ,,,,0,2,13,
Foschini,Companies,,,1,0,1,8,
Hit the nail on the head,Language and Literature ,,,,0,2,24,
Six-Day War,History,,,,0,2,11,
guy fawkes day,Events,,,1,0,2,14,
Manatee,Animals,,,,0,2,7,
Metamorphic rock,Nature,,,,0,2,16,
Hitchhiker's Guide to Galaxy,Language and Literature ,Book,,,0,2,28,
David Bowie,People and Characters,Music,,,1,2,11,
Halloween,Events,,,,0,1,9,
David Kramer,People and Characters,Music,Artist,1,1,2,12,
Inverter,Things,,,,1,3,8,
angry birds,Games,,,,1,1,11,
PSP,Games,Boardgame,,,1,2,3,
Eyedress,People and Characters,Music,Artist,,1,2,8,
Hanukkah,Events,,,,0,2,8,
happy birthday to you,Music,,,,1,1,21,
"Harder, Better, Faster, Stronger",Music,Lyrics,,,1,1,32,
Parasite,Movies,,,,1,2,8,
Maldives,Geography,Country,,,0,2,8,
Harvest Festival,Events,,,,0,2,16,
fergie,People and Characters,Music,,,1,2,6,
Fugees,People and Characters,Music,,,1,2,6,
Han Solo,People and Characters,Music,,,1,2,8,
heinz winckler,People and Characters,Music,,,1,2,14,
jack johnson,People and Characters,Music,,,1,2,12,
Helium,Math and Science,,,,0,1,6,
Kaytranada,People and Characters,Music,Artist,,1,2,10,
