Word,Word,Word,Word,Word,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total,Difficulty_total
LIKE A G6,LAOS,FAULT IN OUR STARS,PARIS,ASTRONOMY,9.0,9.0,9.0,9.0,9.0
LUCKY DUBE,MRBEAST,BUCKINGHAM PALACE,DRI BUDDI,ROME,9.0,9.0,9.0,9.0,9.0
CHAPPIES,FRACTIONS,ATHENS,WHIRLPOOL,CHLOROPHYLL,9.0,9.0,9.0,9.0,9.0
STEVE BIKO,PRINCESS MONONOKE,SOUTH AFRICA,WOLF,LUXEMBOURG,9.0,9.0,9.0,9.0,9.0
MICROSOFT TEAMS,SOCRATES,MANCHESTER,"STOP, DROP, ROLL",JOE BARBER,9.0,9.0,9.0,9.0,9.0
THE RED SEA,ANGLO-ZULU WAR,GOOGLE GLASSES,JONTY RHODES,ACKERMANS,9.0,9.0,9.0,9.0,9.0
"[NOTES, CHORDS, SCALES]",MONACO,CHICKEN KEBAB,UZUMAKI NARUTO,NIKE,9.0,9.0,9.0,9.0,9.0
CHILE,THE SUBTLE ART OF NOT GIVING A F*CK,IBUPROFEN,DONALD DUCK,CHILLI POPPER,9.0,9.0,9.0,9.0,9.0
WALRUS,SOVIET UNION,TRIFLE,HERBALIFE,STAR-NOSED MOLE,9.0,9.0,9.0,9.0,9.0
ARGENTINA,FAHRENHEIT 451,MMA,NATALIE PORTMAN,GRAÇA MACHEL,9.0,9.0,9.0,9.0,9.0
NEWTON'S SECOND LAW,THERMODYNAMICS,MATCHBOX,FOSCHINI,EDUCATED,9.0,9.0,9.0,9.0,9.0
CLIFTON,HIT THE NAIL ON THE HEAD,SEBASTIAN VETTEL,PILLOW FIGHTING,GAUTENG,9.0,9.0,9.0,9.0,9.0
KUDU,US ROUTE 66,DAILY SUN,OZZY OSBOURNE,THE DA,9.0,9.0,9.0,9.0,9.0
MICHAEL PHELPS,FREE STATE,WELLINGTON,TWO OCEANS MARATHON,PAKISTAN,9.0,9.0,9.0,9.0,9.0
LIGHTHOUSE,NAPOLEONIC WARS,OXIDATION,BILLABONG,SHAQUILLE O'NEAL,9.0,9.0,9.0,9.0,9.0
NAMAQUALAND,SLUMDOG MILLIONAIRE,SHARD,HUNGER GAMES,UFO,9.0,9.0,9.0,9.0,9.0
LAST CHRISTMAS,THE COMMONWEALTH GAMES,YOUNGSTACPT,TITO MBOWENI SHA SHA,BETHLEHEM,9.0,9.0,9.0,9.0,9.0
KAIZER CHIEFS,HEIDI,ELLA FITZGERALD,HULU,TOTO WOLF,9.0,9.0,9.0,9.0,9.0
BITE THE BULLET,BUMBLEBEE,IPHONE SE,AZKABAN,STERLING GOLDEN,9.0,9.0,9.0,9.0,9.0
HURRICANE KATRINA,EPSTEIN ISLAND,BETWEEN TWO WORLDS ,THE LION KING,BREAKING THE ICE,9.0,9.0,9.0,9.0,9.0
"[BREAKFAST, LUNCH, DINNER]",RIO CARNIVAL,ELECTROMAGNETISM,TOKOLOSHI,LAMELO BALL,9.0,9.0,9.0,9.0,9.0
CHINA FLOODS,PERKS OF BEING A WALLFLOWER,GERMANY,SNOW LEOPARD,NEW YEAR’S DAY,9.0,9.0,9.0,9.0,9.0
"BLACK SKIN, WHITE MASKS",THE LONDON EYE,"GET LOW, GET LOW",GRAHAMSTOWN,PALACE OF VERSAILLES,9.0,9.0,9.0,9.0,9.0
BLACKPINK,RACCOON,PYRAMIDS OF GIZA,QUEER EYE FOR THE STRAIGHT GUY,BRYAN HABANA,9.0,9.0,9.0,9.0,9.0
SAVANNA,VIETNAM WAR,KAKAPO,PSYCHO,REDBULL,9.0,9.0,9.0,9.0,9.0
ALPHABET,LORD OF THE RINGS,CARACARA,THE MARTIAN,KOMODO DRAGON,9.0,9.0,9.0,9.0,9.0
VIGNETTE,REAL HOUSEWIVES,BMW,SADDAM HUSSEIN,THE NORTHERN CAPE,9.0,9.0,9.0,9.0,9.0
AL CAPONE,NORTHERN LIGHTS,WINNIE MANDELA,CHROMOSOME,SERGIO MENDEZ,9.0,9.0,9.0,9.0,9.0
DEVOPS,WHISKEY SOUR,MADRID,BRENDA FASSIE,HOT SPRINGS,9.0,9.0,9.0,9.0,9.0
SOUTH KOREA,GLACIER,PENICILLIN,AXOLOTL,NOEM MY SKOLLIE,9.0,9.0,9.0,9.0,9.0
"[RED, GREEN, YELLOW]",HEINZ WINCKLER,SMILEY,SIMPSONS,ORIGIN OF SPECIES,9.0,9.0,9.0,9.0,9.0
"READY, SET, GO",BLOBFISH,CASSPER NYOVEST,E-READER,I HAVE A DREAM,9.0,9.0,9.0,9.0,9.0
JALAPEÑO,DESALINATION,PRINCE,BERLIN WALL,STARLINK,9.0,9.0,9.0,9.0,9.0
ANTHROPOLOGY,YELLOW RIVER FLOOD,ALBARAKA BANK,BREXIT,VIETNAM,9.0,9.0,9.0,9.0,9.0
PHOTOSYNTHESIS,THE BOYS,TUTANKHAMEN,BURGER'S DAUGHTER ,BOBOTIE,9.0,9.0,9.0,9.0,9.0
SON GOKU,RAMI MALEK,WILL SMITH,BANTU LAND ACT,SHENZHEN,9.0,9.0,9.0,9.0,9.0
"[MORNING, AFTERNOON, NIGHT]",LILLY SINGH,PRAYING MANTIS,MOCHA,BUENOS AIRES,9.0,9.0,9.0,9.0,9.0
IKIGAI,CORSAIR,SILVERFISH,GOUDA,THE GIRL ON THE TRAIN,9.0,9.0,9.0,9.0,9.0
PUMA,AERODYNAMICS,JEAN-MICHEL BASQUIAT,TONGA,KLIPDRIFT,9.0,9.0,9.0,9.0,9.0
"[MOUTH, EYES, NOSE]",QUANTUM COMPUTING,NICKY OPPENHEIMER,UNIVERSITY OF THE WESTERN CAPE,2-FACTOR AUTHENTICATION,9.0,9.0,9.0,9.0,9.0
TARZAN AND JANE,VENUS,FABLE,TATTOOIST OF AUSCHWITZ,FIFA WORLD CUP,9.0,9.0,9.0,9.0,9.0
IT'S TOO LATE TO APOLOGIZE,SOMALIA,HOLOCAUST,"SUGAR, SPICE AND EVERYTHING NICE",ALCHEMIST,9.0,9.0,9.0,9.0,9.0
PORTUGAL,PENNSYLVANIA,PEDRO'S,NOTRE DAME,AFRIKABURN,9.0,9.0,9.0,9.0,9.0
AMERICAN CIVIL WAR,BAFANA BAFANA,CHICHEN ITZA,P. W. BOTHA,"QUACK, QUACK, QUACK",9.0,9.0,9.0,9.0,9.0
FRENCH REVOLUTION,AWKWAFINA,BASSEM YOUSSEF,MACBETH,HENRY FORD,9.0,9.0,9.0,9.0,9.0
HIDE AND SEEK,BISTRO,CHEMOTHERAPY,MALDIVES,RHODES MUST FALL,9.0,9.0,9.0,9.0,9.0
"[CUT, COPY, PASTE]",VICTORIA BECKHAM,EYEDRESS,FAMILY GUY,GOLDFINCH,9.0,9.0,9.0,9.0,9.0
THE TAJ MAHAL,KHABIB NURMAGOMEDOV,RAM,FRACTALS,DOWN SECOND AVENUE,9.0,9.0,9.0,9.0,9.0
HADEDAS,VALLEY OF THE END,GRAND CANYON,BECOMING,HOLOGRAM,9.0,9.0,9.0,9.0,9.0
KILLER WHALE,MOUNT EVEREST,UNTAMED,FIELA SE KIND,MULTIPLICATION,9.0,9.0,9.0,9.0,9.0
ZINC,SAUDI ARABIA,LUCILLE BALL,HARVEY WEINSTEIN,DJIBOUTI,9.0,9.0,9.0,9.0,9.0
WAKANDA,BURGER KING,UNITED STATES,WORCESTERSHIRE SAUCE,UMHLANGA ROCKS,9.0,9.0,9.0,9.0,9.0
GALILEO GALILEI,STOCKHOLM,CHARLOTTE’S WEB,ITALY,SELFIE STICK,9.0,9.0,9.0,9.0,9.0
PILLARS OF EARTH,SUPERMAN,PENNY HEYNS,TAJ MAHAL,TRANSKEI,9.0,9.0,9.0,9.0,9.0
HOʻOPONOPONO,TOBLERONE,SASOL,UCHIHA SASUKE,VICTORIA FALLS,9.0,9.0,9.0,9.0,9.0
"[WHATSAPP, FACEBOOK, INSTAGRAM]",POKIMANE,GOLDEN DISH,FIFTY SHADES OF GREY,SOUTH AMERICA,9.0,9.0,9.0,9.0,9.0
NAKED MOLE-RAT,METAPHOR,SASHIMI,ROYAL DUTCH SHELL,THE INDIAN OCEAN,9.0,9.0,9.0,9.0,9.0
"[DRUM, PIANO, BASS]",COVID-19,"ORANJE, BLANJE, BLOU",MANATEE,XENOPHOBIA,9.0,9.0,9.0,9.0,9.0
BOMBARDIER BEETLE,KOESISTERS,CONSTELLATION,EDINBURGH,FINAL FANTASY,9.0,9.0,9.0,9.0,9.0
PYTHAGOREAN THEOREM,PANGEA,JOHN SMIT,"MEOW, MEOW, MEOW",SAM SMITH,9.0,9.0,9.0,9.0,9.0
NEIL ARMSTRONG,PHO,HANDBALL,JUFFROU IS 'N MONSTER,NICKEL,9.0,9.0,9.0,9.0,9.0
5TH GENERATION,JIMI HENDRIX,MUAMMAR GADDAFI,DAVID BOWIE,LET ME HOLD YOU DOWN,9.0,9.0,9.0,9.0,9.0
PALAU,ATCHA,AUSTRALIA,MONKEY POX,HIPPOPOTAMUS,9.0,9.0,9.0,9.0,9.0
BUTTERNUT SOUP,EMBRYO,ARDUINO,ARAB SPRING,ANGELINA JOLIE,9.0,9.0,9.0,9.0,9.0
CHEVRON ,TREATY OF VERSAILLES,DOUBLE HOTDOG,VIRUS,"THE LION, THE WITCH AND THE WARDROBE",9.0,9.0,9.0,9.0,9.0
GBV,SISTINE CHAPEL,SKILPOPPE,LYNX,NITROGEN,9.0,9.0,9.0,9.0,9.0
THABO MBEKI,MY SISTER'S KEEPER,CAMPS BAY,LED ZEPPELIN,COLOR PURPLE,9.0,9.0,9.0,9.0,9.0
MICHAEL JORDAN,PHILADELPHIA,JPMORGAN,AK-47,46664,9.0,9.0,9.0,9.0,9.0
FOOTBALL,CHRIS EVANS,AFRICAN WORMWOOD,THE ALCHEMIST ,SWEDEN,9.0,9.0,9.0,9.0,9.0
COST AN ARM AND A LEG,COBALT,STEVEN SPIELBERG,CIABATTA,LET THE CAT OUT OF THE BAG ,9.0,9.0,9.0,9.0,9.0
DWAYNE JOHNSON,OTP,SPOTIFY,ALPACA,PELOPONNESIAN WAR,9.0,9.0,9.0,9.0,9.0
MOBY DICK,SCELETIUM,MICHAEL BUBLE,SÃO TOMÉ AND PRÍNCIPE,SPAIN,9.0,9.0,9.0,9.0,9.0
ISAAC NEWTON,1984,CARNIVORE,CARPENTERS,MIRIAM MAKEBA,9.0,9.0,9.0,9.0,9.0
UMLUNGU,ROOSTERKOEK,THE WINDY CITY,NSFAS,O.R. TAMBO INTERNATIONAL AIRPORT,9.0,9.0,9.0,9.0,9.0
SOCCER,MZOLI'S,"LIONS, TIGERS, BEARS, OH MY!",ROGER FEDERER,CLEOPATRA,9.0,9.0,9.0,9.0,9.0
"[GLUE, TAPE, STAPLER]",FW DE KLERK,ISRAEL,WHITE RUSSIAN,COCA-COLA,9.0,9.0,9.0,9.0,9.0
BALL IS IN YOUR COURT,TALKING TO THE MOON,SAXOPHONE,TO KILL A MOCKINGBIRD,GEOPOLITICS,9.0,9.0,9.0,9.0,9.0
CAPE PROTEA,JAKE WHITE,JUDO,DOCSIDE,AGAPANTHUS,9.0,9.0,9.0,9.0,9.0
"FATHER, SON, HOLY SPIRIT",CARBON,CAPE ALOE,MOSCOW,THINK LIKE A MONK,9.0,9.0,9.0,9.0,9.0
"[PROTON, NEUTRON, ELECTRON]",SEOUL,WORLD WAR I,BOMPI,CHRIST THE REDEEMER,9.0,9.0,9.0,9.0,9.0
RAT KING,ORANIA,MECHANICAL KEYBOARD,NAKED INSURANCE,GAUSSIAN DISTRIBUTION,9.0,9.0,9.0,9.0,9.0
BAD BUNNY,GREAT WALL OF CHINA,LIZZIE MAGIE,MAINE COON,SALEH BBQ TONIGHT ,9.0,9.0,9.0,9.0,9.0
JAMIE OLIVER,FORBIDDEN CITY,DISCOVERY,POCONO MOUNTAINS,JACK AND THE BEANSTALK,9.0,9.0,9.0,9.0,9.0
"[CIRCLE, SQUARE, TRIANGLE]",TITANIC,KABUL,OXYGEN,BROMINE,9.0,9.0,9.0,9.0,9.0
CHRISTIAN BALE,RING LIGHT,JULY'S PEOPLE ,MUHAMMAD ALI,JAKARTA,9.0,9.0,9.0,9.0,9.0
SWITZERLAND,LORD OF THE FLIES,BERLIN,THOMAS EDISON,BRUCE LEE,9.0,9.0,9.0,9.0,9.0
MARS,PANG DOODMAAK,MAGNA CARTA,THE GREAT TREK ,THE HUNGER GAMES,9.0,9.0,9.0,9.0,9.0
HYPOTHESIS,FRANKENSTEIN,COMPLEX NUMBERS,CARACAL,NAOMI OSAKA,9.0,9.0,9.0,9.0,9.0
ALGORITHM,OUROBOROS,MIKE TYSON,FREAKONOMICS,XHOSA,9.0,9.0,9.0,9.0,9.0
JOHNSON & JOHNSON,ULTIMATE FRISBEE,GREAT EXPECTATIONS,SIYA KOLISI,ATHLONE,9.0,9.0,9.0,9.0,9.0
DIARY OF A WIMPY KID,HONEY BADGER,NAGASAKI,BUFFALO SPRINGFIELD,NORWAY,9.0,9.0,9.0,9.0,9.0
CRUSADES,NIK NAKS,VIVIEN LEIGH,PEPSI,CAPE COLONY,9.0,9.0,9.0,9.0,9.0
ANTARCTICA,STEVE MCQUEEN,PAD THAI,PRETORIA,BOBCAT,9.0,9.0,9.0,9.0,9.0
RINGO STARR,CHARLIZE THERON,JÄGERBOMB,INDIA,IDI AMIN,9.0,9.0,9.0,9.0,9.0
NELSON MANDELA,SLASH,DENZEL WASHINGTON,SOCIOLOGY,ROBERT MUGABE,9.0,9.0,9.0,9.0,9.0
TRACK AND FIELD,FORMULA E,TURKEY,TYMEBANK,GUYANA,9.0,9.0,9.0,9.0,9.0
"[FORK, SPOON, KNIFE]",GETTYSBURG ADDRESS,LIGER,BLACK PANTHER,LAGOON,9.0,9.0,9.0,9.0,9.0
POTJIEKOS,CAPYBARA,SUEZ CANAL,POLYMER,THE MOON LANDING,9.0,9.0,9.0,9.0,9.0
LION'S EAR,ERITREA,CHEESE-ROLLING,"WOOF, WOOF, WOOF",CIRCUIT,9.0,9.0,9.0,9.0,9.0
"[SKY, CLOUD, RAIN]",I WANT TO BREAK FREE,SCARLETT JOHANSSON,IPAD,AGTER 'N BAARD,9.0,9.0,9.0,9.0,9.0
ART BLAKEY,NANOTECHNOLOGY,BRONZE,WEASEL,LEMUR,9.0,9.0,9.0,9.0,9.0
TOKYO,KING CONE,SHOEBILL,R KELLY,TRUE DETECTIVE,9.0,9.0,9.0,9.0,9.0
FUGEES,MOTHER TERESA,WORLD WAR II,SHINING,BLOCKCHAIN,9.0,9.0,9.0,9.0,9.0
CINDERELLA MAN,MARAIS VILJOEN,RIHANNA,MOWBRAY SUBURBS,SPANISH FLU,9.0,9.0,9.0,9.0,9.0
TOM YUM SOUP,WILLIAM SMITH,"HOOK, LINE, SINKER",LONDON,ZINEDINE ZIDANE,9.0,9.0,9.0,9.0,9.0
TERRACOTTA ARMY,VACCINE,MOSQUITO,CANBERRA,GOLD RUSH,9.0,9.0,9.0,9.0,9.0
BARBIE AND KEN,LISBON,SECRETARYBIRD,GAME THEORY,THAILAND,9.0,9.0,9.0,9.0,9.0
OUTLIERS,NATO,QUENTIN TARANTINO,PHILOSOPHY,MOUNT RUSHMORE,9.0,9.0,9.0,9.0,9.0
MOUNT FUJI,ARTIC,HENDRICK VERWOERD,THE LAST AIRBENDER,PARKOUR,9.0,9.0,9.0,9.0,9.0
SHURE,BARAKAT,GIRAFFE,HYDROGEN,SURINAME,9.0,9.0,9.0,9.0,9.0
ALCHEMY,DA VINCI CODE,DEVIL'S PEAK,PRINCESS LEIA,RAFAEL NADAL,9.0,9.0,9.0,9.0,9.0
WALL STREET CRASH,UIESLAAI,YOUTH DAY,THE VOICE,GOLDEN RATIO,9.0,9.0,9.0,9.0,9.0
QUICHE,INTERNATIONAL WOMEN'S DAY,DALLAS,LUNAR NEW YEAR,PINA COLADA,9.0,9.0,9.0,9.0,9.0
JAMES BLUNT,CLOCKWORK PRINCESS,GONDOLA,SOPRANOS,CAPE TOWN,9.0,9.0,9.0,9.0,9.0
PERU,OLD MUTUAL,MERYL STREEP,SOWETO UPRISING,KABADDI,9.0,9.0,9.0,9.0,9.0
MARIAH CAREY,LEONARDO DICAPRIO,LEBONON,CAPE VERDE,MOTHERBOARD,9.0,9.0,9.0,9.0,9.0
LARRY BIRD,CAIRO,GREAT BARRIER REEF,BACKSTAGE,HIROSHIMA,9.0,9.0,9.0,9.0,9.0
QUEENSTOWN,RIVONIA TRIAL,CYRIL RAMAPHOSA,SANDMAN,THE SMURFS,9.0,9.0,9.0,9.0,9.0
"[ONION, GARLIC, GINGER]",V&A WATERFRONT,GONE WITH THE WIND,TEQUILA,CATAN,9.0,9.0,9.0,9.0,9.0
LOUIS VUITTON,THE MIDNIGHT LIBRARY,CALGARY,WAYDE VAN NIEKERK,SERENA WILLIAMS,9.0,9.0,9.0,9.0,9.0
MARIKANA MASSACRE,EIFFEL TOWER,EULER'S IDENTITY,STATUE OF LIBERTY,ANTIBIOTICS,9.0,9.0,9.0,9.0,9.0
THE SCORPIONS,TOGO,ADAM DRIVER,ROBERT DOWNEY JR.,MONEX,9.0,9.0,9.0,9.0,9.0
FRANKLIN D. ROOSEVELT,EK WIL HUIS TOE GAAN,GONE GIRL,RENAISSANCE,EQUILIBRIUM,9.0,9.0,9.0,9.0,9.0
FAUNA AND FLORA,STONE COLD STEVE AUSTIN,KOREAN WAR,BOBSLEIGH,BLACKBERRY,9.0,9.0,9.0,9.0,9.0
"[EARTH, WIND, FIRE, WATER]",GORILLA,THERESA MAY,BODMAS,D-DAY,9.0,9.0,9.0,9.0,9.0
GABORONE,RUSSELL PETERS,PEACOCK,MELKTERT,TENNIS,9.0,9.0,9.0,9.0,9.0
"[PARK, NEUTRAL, DRIVE]",ATOMIC HABITS,KALEIDOSCOPE,MARILYN MONROE,WESTERN CAPE,9.0,9.0,9.0,9.0,9.0
