1,2,3,4,5
THE SMURFS,CASSPER NYOVEST,THE OFFICE,BLACK MIRROR,DIEGO MARADONA
TV LICENSE,SPIDER-MAN 3,RONDAVEL,CREED,BASSEM YOUSSEF
IN THE 18 AREA,DURAN DURAN,THE COSBY SHOW,MICHAEL SCHUMACHER,I SPY
BOER MAAK 'N PLAN,SKEEM SAAM,HOME ALONE,RUSSIAN ROULETTE,NOOT VIR NOOT
GRAVE OF THE FIREFLIES,BURGER KING,BOONDOCKS,UNO,MUHAMMAD ALI
GATSBY,NEIL DIAMOND,FRANCOIS PIENAAR,GENERATIONS,BIG BANG THEORY
STAR TREK,E.T. ,TOO GOOD AT GOODBYES,"ROCK, PAPER, SCISSORS",BONO
SLUMDOG MILLIONAIRE,VOETSTOOTS,RON WEASLEY,"TO THE WINDOW, TO THE WALL",KAYTRANADA
RONDA ROUSEY,BLEACH,BLACK LABEL,CINDERELLA MAN,CHELSEA
MOCHA,BRYAN HABANA,SPUD,KAIZER CHIEFS,5 SECOND RULE
NELLY FURTADO,BARBECUE,MEGAN FOX,SPUR,LAMELO BALL
SIYA KOLISI,MKBHD,WINDSURFING,BOHEMIAN RHAPSODY,SOPRANOS
DONALD DUCK,SMALLVILLE,C MAJOR,DAVID BOWIE,DAYS OF OUR LIVES
GHOSTBUSTERS,ANGELINA JOLIE,SACHIN TENDULKAR,CHESS,FENCING
DIE HARD,SANTA CLAUS,GOGO,GONDOLA,RASSIE ERASMUS
LADUMA!,FEAR FACTOR,KOBE BRYANT,PURSUIT OF HAPPYNESS,CURB YOUR ENTHUSIASM
JUSTIN TIMBERLAKE,WALL-E,INVICTUS,SERGIO MENDEZ,ZENDAYA
SNORKELLING,JUDO,I WANT TO BREAK FREE,CRICKET,PSP
INDABA,JOE ROGAN PODCAST,BOB THE BUILDER,HEINZ WINCKLER,HIDE AND SEEK
BRUCE LEE,CITY OF GOD,NIKNAKS,SAUTE,BRAAIBROODJIES
MERYL STREEP,MICHELIN STAR,CAUSE I’M MR. BRIGHTSIDE,QUIDDITCH,MARIAH CAREY
BRIDGET JONES'S DIARY,DRICUS DU PLESSIS,WILL SMITH,OZZY OSBOURNE,EISH
SHAUN POLLOCK,SAM SMITH,TABLE TENNIS,BOILEROOM,JEANNIE D
SMOSH,PICTIONARY,LOGAN PAUL,GOUDA,YMCA
HOW TO TRAIN YOUR DRAGON,COCA-COLA,TOKOLOSHI,COWBOY BEBOP,CAN'T GET YOU OUT OF MY HEAD
CHARLIE CHAPLIN,GRAND THEFT AUTO,PERCY MONTGOMERY,HOPSCOTCH,GEM SQUASH
QUICHE,IN THE MEANTIME,TYLA,UBUNTU,CHAMPAGNE PAPI
FUGEES,KNITTING,M-NET,RYAN HIGA,YELLOW SUBMARINE
TOY STORY,PEPPERMINT CRISP,FERNANDO ALONSO,JOHNNY CLEGG,JOL
JENNIFER LOPEZ,QUENTIN TARANTINO,NOEM MY SKOLLIE,GANGNAM STYLE,OPPENHEIMER
KAMALA HARRIS,FRIDAY THE THIRTEENTH,NOW-NOW,VOLLEYBALL,DRAGONBALL Z
MRBEAST,TOKOLOSHE,R KELLY,TOM BRADY,SIMON SAYS
LEWIS HAMILTON,THE CONGURING,TOP GUN,SANDRA BULLOCK,WE ARE THE CHAMPIONS
LUCKY STAR,PENÉLOPE CRUZ,CHARADES,BUNNY CHOW,MAD MEN
SUITS,SHARPSHOOTING,AL CAPONE,ULTIMATE FRISBEE,TSOTSI
STER-KINEKOR,PORTISHEAD,NIKE,LIONEL MESSI,WOLFGANG AMADEUS MOZART
SURVIVOR,THE WITCHER,CRISTIANO RONALDO,HORSEBACK RIDING,CRAZY STORE
BEAUTIFUL GIRL,BODY IS A WONDERLAND,WATER POLO,DJANGO UNCHAINED,JOU MA SE
CIABATTA,KISS ME THRU THE PHONE,PRONUTRO,SEINFELD,MIRIAM MAKEBA
LEONARDO DICAPRIO,SLAP CHIPS,MARK WAHLBERG,JOHNNY DEPP,LUCIANO PAVAROTTI
PROJECT RUNWAY,YASIS,LED ZEPPELIN,FELA IN VERSACE,GO FISH
DALTJIES,WESTLIFE,BOET,KING OF THE HILL,DENZEL WASHINGTON
THE BOYS,TEQUILA,KUCH KUCH HOTA HAI,TAEKWONDO,YOUNGSTACPT
RUN JOZI,BADMINTON,MICHAEL JORDAN,THE GOOD DOCTOR,ALTERED CARBON
FOOTBALL,INVERTER,WIMPY,SERENA WILLIAMS,ATCHA
LANCE ARMSTRONG,ALADDIN,NATALIE PORTMAN,SARMIE,JENGA
MR BONES,ONE FLEW OVER THE CUCKOO'S NEST,OOPS!... I DID IT AGAIN,LONG WALK TO FREEDOM,PRINCESS MONONOKE
SHERLOCK HOLMES,STEERS,PERLEMOEN,CHAKALAKA,FRUIT CAKE
WALKING,PAIN AND GLORY,HILARY DUFF,ISMAËL LÔ,DESPERATE HOUSEWIVES
"MAKE ME SWEAT, MAKE ME HOTTER",PSYCHO,MCDONALD'S,NIGHT IN TUNISIA,RED HOT CHILL PEPPERS
SAGO PUDDING,ROOSTERKOEK,GODFATHER,SCOOBY-DOO,LEMON CREAMS
DESPACITO,BLONDIE,FLINT,TIMOTHÉE CHALAMET,KING CONE
EDGARS,HANDBALL,RADISH,BAYWATCH,FAJITAS
"BAA, BAA, BLACK SHEEP",HOUSE OF CARDS,SLASH,V FOR VENDETTA,FRESHLYGROUND
PARMESAN,DANNY K,AMERICAN PSYCHO,BAFANA BAFANA,DEVIL WEARS PRADA 
BENEDICT CUMBERBATCH,AND UNITED WE SHALL STAND,LIKE A G6,BEST OF BOTH WORLDS,THE BOLD AND THE BEAUTIFUL
UZUMAKI NARUTO,CALISTHENICS,PEARL JAM,TERMINATOR,TKZEE
NAOMI OSAKA,STERI STUMPIE,MADONNA,CHRISTOPHER NOLAN,EMMA STONE
"BET ON IT, BET ON IT",MEXICAN WAVE,STERLING GOLDEN,BINGO,TWISTER
DRI BUDDI,ERIC CLAPTON,CASEY NEISTAT,FRANK SINATRA,I BELIEVE I CAN FLY
THE AVENGERS,GEN C PODCAST,PHO,CABER TOSSING,DWAYNE JOHNSON
GOKU,BILLIE JEAN,INSIDE OUT,EINA,AMASIE
KAT AND THE KINGS,WNBA,TALKING TO THE MOON,SCRABBLE,CHARLIZE THERON
SAY MY NAME,ALL THE SINGLE LADIES,"WE WILL, WE WILL ROCK YOU",THE PUSSYCAT DOLLS,MARIE CLAIRE
MICHAEL BUBLE,SO YOU THINK YOU CAN DANCE,ADIDAS,CARA DELEVINGNE,BAKKIE
THEY NOT LIKE US,THE PARLOTONES,EGGNOG,DARK KNIGHT ,CLUEDO
TOBEY MAGUIRE,SMILEY,POKÉMON,KOESISTERS,JACK NICHOLSON
BBC,JURASSIC PARK,THE KRUGER MILLIONS,30 ROCK,TOM YUM SOUP
MOHAMED SALAH,OPRAH,LEAF BLOWER,IT'S TOO LATE TO APOLOGIZE,BUTTERNUT SOUP
PEPSI MAX,DISTRICT 9,CHRIS EVANS,FOUR CORNERS,HAPPY BIRTHDAY TO YOU
COCONUT MILK,VUVUZELA,THUNEE,PAUL MCCARTNEY,GRAND BUDAPEST HOTEL
JUST KEEP SWIMING,BOEREWORS,NOVAK DJOKOVIC,FATIMA SYDOW,SIMPSONS
CHEESE-ROLLING,PINA COLADA,BOBOTIE,LOVE ISLAND,LEKKER
EYEDRESS,SHREK 3,TOTO WOLF,THE WIRE,BARNEY
DANCING QUEEN,PARKS AND RECREATION,BREAKING BAD,BLACK PANTHER,SCRUB DADDY
LOONEY TUNES,MELKTERT,AB DE VILLIERS,THE INCREDIBLES,GILMORE GIRLS
"CROUCHING TIGER, HIDDEN DRAGON",DESPICABLE ME,MOZZARELLA,JOSHUA DOORE,BLOOD AND WATER
CHALTE CHALTE,WHISKEY SOUR,BOKKE,MICHAEL PHELPS,LAAITIE
KYLIAN MBAPPÉ,CHICKEN BILTONG,SAY MA NOW,FROZEN,JAMES BLUNT
PILLOW FIGHTING,EVERY BREATH YOU TAKE,OSMAN'S,TATA MA CHANCE! TATA MA MILLIONS,AMERICAN IDOL
ZINEDINE ZIDANE,AMERICAN PIE,RUSSELL PETERS,BANG BANG BANG,SUPERSTORE
SNOOPY,JIM CARREY,"GET LOW, GET LOW",PARTY IN THE USA,VULINDLELA
KOEKSISTERS,BRUNCH,GARLIC PASTE,THEY WERE ALL YELLOW,GOODFELLAS
KOMBI,CATAN,USAIN BOLT,JULIA ROBERTS,TRUE DETECTIVE
"WHAT IS LOVE, BABY DON'T HURT ME",DOOM,JON JONES,JAKE WHITE,PADKOS
TOBLERONE,CURIOUS CASE OF BENJAMIN BUTTON,SKYRIM,THE A-TEAM,KARATE
BEAUTY AND THE BEAST,PAD THAI,SEE BOTH SIDES LIKE CHANEL,VICTORIA BECKHAM,KIMCHI
TREVOR NOAH,LIGHTHOUSE,SWEET CAROLINE,LET'S TWIST AGAIN,QUEER EYE FOR THE STRAIGHT GUY
MASKING TAPE,TIRAMISU,PEPSI,THE PROTEAS,CANDY CRUSH
STEP BROTHERS ,OROS,COMMUNITY,RAY BROWN,MICK JAGGER
SIMONE BILES,CARTE BLANCHE,CREMORA,TOMB RAIDER,DOUBLE HOTDOG
MZANZI FO SHO,HOWZIT,RINGO STARR,LAW AND ORDER,FIGHT CLUB
DEXTER,GET OUT,CNN,SARAFINA,ACHY BREAKY HEART
"YOU ARE MY FIRE, MY ONE DESIRE",EVERYBODY LOVES RAYMOND,1 2 STEP,HULA HOOP,AWEH
ZOE SALDANA,30 SECONDS ,MAKE THE CIRCLE BIGGER,COLDPLAY,PRISON BREAK
KANYE WEST,KAI CENAT,TENNIS,KHABIB NURMAGOMEDOV,WOOLWORTHS
MAHER ZAIN,"I'M BLUE, DA BA DEE DA BA DI",THE UMBRELLA ACADEMY,ONE PIECE,JUMPER
SHISA NYAMA,SANGOMA,JAY-Z,LETS GO 50/50 ,CHAPPIES
IMAGINE ALL THE PEOPLE,LILLY SINGH,SAMUEL L. JACKSON,JOHNNIE WALKER,AVOCADO
HAN SOLO,MRS BALL'S,BENNI MCCARTHY,MAMPARA,DIE ANTWOORD
PIKACHU,WIZARDZ,MARNUS LABUSCHAGNE,BATHROOM BIZARRE,THE LION KING
FORMULA 1,PADEL,BLINK 182,STONE COLD STEVE AUSTIN,A TORNADO FLEW AROUND MY HOME
HITCHHIKING,SEAL,TIC-TAC-TOE,UMLUNGU,SHERLOCK
TOM HANKS,RICK AND MORTY,OCEAN BASKET,PEKING DUCK,BROKEN TELEPHONE
BOBSLEIGH,POTATO WARRAS,SHAQUILLE O'NEAL,CASPER,LUNCH BAR
HOCKEY,MAGNUM,VAALIE,FINDING NEMO,TRIFLE
7DE LAAN,SOUTH PARK,NANDO'S,SYNCHRONIZED SWIMMING,PEWDIEPIE
JALAPEÑO,AULD LANG SYNE,BRENDA FASSIE,RYAN REYNOLDS,DANIEL CRAIG
PULP FICTION,STREET FIGHTER ,KATIE HOLMES,PENNY HEYNS,CHESTER WILLIAMS
THE FLASH,SISTERHOOD OF THE TRAVELING PANTS,BRUNO MARS,"HARDER, BETTER, FASTER, STRONGER",VIRAT KOHLI
WORCESTERSHIRE SAUCE,FYNBOS,I'M EVERY WOMEN,NKOSI SIKELEL' AFRIKA,KABHI KUSHI KABHI GHAM
ISIDINGO,MASTERCHEF,THE BRITISH LIONS,KLIPDRIFT,KANALLAH
