1,2,3,4,5
UNIVERSITY OF THE WESTERN CAPE,MATILDA,GREECE,LEMUR,BERLIN
BLUETOOTH,THE WESTERN CAPE,WILDEBEEST,KING OF THE AIR,HERBALIFE
PYTHAGOREAN THEOREM,TELEVISION,INDONESIA,PARIS,IDI AMIN
MOWBRAY SUBURBS,SEPTEMBER 11,ANGLO AMERICAN,VIETNAM WAR,JIMI HENDRIX
BMW,GONE WITH THE WIND,PRIDE AND PREJUDICE,MOTHER'S DAY,ISIXHOSA
CHICAGO,BIG HOLE,MEMORIAL DAY,THE HUNGER GAMES,ATOMIC HABITS
CLICKS,TREVOR MANUEL,INDUSTRIAL REVOLUTION,ALICE IN WONDERLAND,PANGOLIN
GREAT GATSBY,CAPE COLONY,VINCENT VAN GOGH,SANTIAGO,CHRIST THE REDEEMER
VLADIMIR LENIN,PUMA,GOLDEN GATE BRIDGE,GAME THEORY,BLACK BEAUTY
GOLDEN DISH,ORANIA,TURKEY,ANTHROPOLOGY,HILLSONG CHURCH
FIRST NATIONAL BANK,GULF WAR,JOHANNESBURG,PENICILLIN,ARGENTINA
SUPERMAN,THE SERENGETI,ARAB SPRING,KANGAROO,GOOGLE EARTH
HILLBROW,HELEN ZILLE,EGYPT,LIBERATION DAY,SAVANNA
GRAND CANYON,MOBY DICK,MAGNUM OPUS,METAPHOR,MOTHER TERESA
TYMEBANK,HANUKKAH,CLOCKWORK PRINCESS,SHARPEVILLE,UFO
GEOMETRY,HALLE BERRY,COBALT,PHILADELPHIA,FOSSIL
TRAPEZIUM,PYRAMIDS,PATRICIA DE LILLE,BERLIN WALL,GRAHAMSTOWN
ROCHE,ROME,DSTV DECODER,LONDON,CHINA FLOODS
WAKANDA,ELECTRIC DAISY CARNIVAL,PHOTOSYNTHESIS,OLYMPIAD,PEACOCK
APRIL FOOLS' DAY,SOUTH AFRICA,"FATHER, SON, HOLY SPIRIT",EDUCATED,COST AN ARM AND A LEG
TWO OCEANS MARATHON,GOLDEN RATIO,TRIANGLE ,THE MIDNIGHT LIBRARY,DRIFTWOOD
AVALANCHE,TREASURE ISLAND,GREAT EXPECTATIONS,HOT SPRINGS,MOMENTUM
THABO MBEKI,MARIE CURIE,MZOLI'S,BREAKING THE ICE,SHELL
CTRL-V,MONTENEGRO,SEOUL,FRENCH REVOLUTION,WIFI
MOUNT FUJI,NEW YEAR'S EVE,CHARLOTTE'S WEB,VICTORIA FALLS,JAN SMUTS
BORIS JOHNSON,TANZANIA,GEORGE,SASOL,WINNIE MANDELA
MOSQUITO,3D PRINTING,QUEENSTOWN,INTEL,AFRICAN WORMWOOD
MASSACHUSETTS,PLUTO,BLACK DEATH,FOSCHINI,YAMAHA
CAMPS BAY,SAPIENS,HUNGER GAMES,NAKED MOLE-RAT,SHOEBILL
THE MOON LANDING,GLOBAL WARMING,EIFFEL TOWER,GETTYSBURG ADDRESS,BURNING MAN
AUTOMATIC,PERKS OF BEING A WALLFLOWER,WALL STREET CRASH,CULTERY ,WEASEL
ABACUS,KITE RUNNER,TWELFTH NIGHT,BABOON,PIETERMARTIZBURG
PANGEA,CHEMOTHERAPY,CAT IN THE HAT,MTN,SAMSUNG
ANTON RUPERT,WINSTON CHURCHILL,OLIVER TAMBO,SOWETO UPRISING,TAMAGOTCHI
GAUTENG,THE SUEZ CANAL,THE INTERNET,ALEXANDER FLEMING,CAPE TOWN
ANTARCTICA,SQUARE,GABORONE,MANATEE,SANDTON
SATRIX,VPN,GREAT WALL OF CHINA,CTRL-C,DISCOVERY
LEBONON,WORLD WAR I,POLYMER,OXIDATION,RUBIK'S CUBE
OTP,ERAGON,DEATH STAR,KALEIDOSCOPE,TAJ MAHAL
LOUIS ARMSTRONG,CARACAL,BARBIE AND KEN,NAGASAKI,COMPLEX NUMBERS
MEXICO CITY,MICHELLE OBAMA,AFRIKAANS LANGUAGE MONUMENT,HIPPOPOTAMUS,DALLAS
EGOLI,GLASGOW,BRAAI DAY,INDEPENDENCE DAY,THE CRICKET WORLD CUP
ZINC,TERRACOTTA ARMY,ASTRONOMY,GONE GIRL,GLOBAL POSITIONING SYSTEM
PHILOSOPHY,THE RED SEA,DESALINATION,ALCHEMY,VENEZUELA
TOMORROWLAND,PENTAGON,BLOCKCHAIN,"READY, SET, GO",THE MIDDLE EAST
COVID-19,COMOROS,NSFAS,USB,ELECTROMAGNETISM
HENRY FORD,SWEDEN,THE NIAGARA FALLS,THE SUPER BOWL,GOLD RUSH
NETHERLANDS,NICKY OPPENHEIMER,MOROCCO,KNYSNA,SWITZERLAND
GROUP AREAS ACT,NORTHERN LIGHTS,AMBER,SCHABIR SHAIK,NEW ZEALAND
PRAGUE,OSLO,MIDRAND,FRACTIONS,THANKSGIVING
TOGO,TRANSVAAL,HOLOGRAM,STAPLER,THE GREAT TREK 
MONKEY POX,Y2K,DURBAN JULY,EID ,OUTLIERS
MUAMMAR GADDAFI,NATIONAL WOMEN'S DAY,HERMANUS WHALE FESTIVAL,AFRIKABURN,CHRISTMAS DAY
FW DE KLERK,THE APOSTLES,BALL IS IN YOUR COURT,MAZDA,BP
GRAÇA MACHEL,HAKUNA MUTATA,FLYING SQUIRREL,CYRIL RAMAPHOSA,NEW DELHI
FIBONACCI SEQUENCE,K53,WORLD WAR II,LAST CHRISTMAS,HARVARD
WESTERN CAPE,NOKIA ,LORD OF THE FLIES,LOS ANGELES,ARISTOTLE
SISTINE CHAPEL,EVAPORATION,TRENCH TOWN,PAKISTAN,MEMOIRS OF A GEISHA
FREEDOM DAY,STEVE BIKO,STARLINK,ACKERMANS,LITTLE PRINCE
BLUE CRANE,SHATTERPRUFE,SOMALIA,THE OUTSIDERS,DAISIES
HERITAGE DAY ,GAUSSIAN DISTRIBUTION,RENAISSANCE,THE VIKINGS,VAPE
NADINE GORDIMER,RAINFOREST,SINKHOLE,DAILY SUN,KINDLE
US ROUTE 66,BUCKINGHAM PALACE,NORTH AMERICA,THE OSCARS,ZEBRA
RUSSIA,COSATU,GERMANY,NANOTECHNOLOGY,THE SUBTLE ART OF NOT GIVING A F*CK
FIFTY SHADES OF GREY,THE LOUVRE,THE WRIGHT BROTHERS,ROLEX,RHOMBUS
BUSINESS DAY,O.R. TAMBO INTERNATIONAL AIRPORT,CUMULUS CLOUDS,RENAULT,MICROPHONE
BOXING DAY,MARIKANA,MALDIVES,RNA,WATER CYCLE
JEEP,MICROSOFT,ZAPIRO,SPANISH FLU,POCONO MOUNTAINS
BISTRO,MY SISTER'S KEEPER,ISAAC NEWTON,SLACK,KHOI AND SAN
MOSCOW,IBUPROFEN,HARVEY WEINSTEIN,ALFRED NOBEL,CHRIS BARNARD
SOCIOLOGY,PRINCE,SADDAM HUSSEIN,GOOGLE GLASSES,AERODYNAMICS
MEXICO,BOSTON,MECHANICAL KEYBOARD,STEPHEN KING,ALPHABET
SOUTH KOREA,SUDAN,WILDERNESS,THE GARDEN OF EDEN,KABUL
ADVENTURES OF HUCKLEBERRY FINN,ALGORITHM,RED PANDA,THE SHINING,NAMAQUALAND
FREE STATE,RAT KING,MARK SHUTTLEWORTH,LAGOON,CAPE ALOE
PRETORIA,HARVEST FESTIVAL,BERING STRAIT,YOUTUBE,DA VINCI CODE
HELIUM,QATAR AIRWAYS,NEIL ARMSTRONG,POLAND,ST. PATRICK'S DAY
DUNE,KRYPTON,JPMORGAN,DIVISION,FACEBOOK
THE INDIAN OCEAN,BLACK BEETLE,HONEY BADGER,TONY BLAIR,EMPEROR PENGUIN
LESOTHO,SUEZ CANAL,MOTHERBOARD,NETCARE,WHATSAPP
NOTRE DAME,AUSTRALIA,2-FACTOR AUTHENTICATION,MASSMART,SLOTH
RAM,AHMED KATHRADA,CHANEL,MINNIE MOUSE,LABOUR DAY
SECRETARYBIRD,CAPYBARA,IMAM HARON,X-RAY,NEW YEAR’S DAY
WAR AND PEACE,MINI COOPER,BURGER'S DAUGHTER ,GALILEO GALILEI,KILLER WHALE
PRECIPITATION,KUDU,LIGHTING CABLE,SUN INTERNATIONAL,LET THE CAT OUT OF THE BAG 
UNTAMED,CASTLE OF GOOD HOPE,PORTUGAL,GORILLA,"SUGAR, SPICE AND EVERYTHING NICE"
POLITICS,PRESSURE COOKER,WORLD WIDE WEB,OKTOBERFEST,METAMORPHIC ROCK
GREEN EGGS AND HAM,TRAPPE VAN VERGELYKING,YOUTH DAY,HYDROGEN,AXOLOTL
RHYTHM,WALT DISNEY,LIMPOPO,SANDMAN,TO KILL A MOCKINGBIRD
NOKIA 3310,EPSTEIN ISLAND,DUSK,MORSE CODE,CAPE VERDE
THE THIRD REICH,CIRCUIT,TORTOISE,ATHLONE,NEUTRON
ARMADILLO,DAY OF THE DEAD,DESERT,EQUILIBRIUM,ROBSON WALTON
CARBON,OSAKA,AGAPANTHUS,CAIRO,SPAIN
FAULT IN OUR STARS,HOLLAND,TOKYO,IPHONE,THE BIG HOLE 
E COLI,AUDI,STETHOSCOPE,THE COMMONWEALTH GAMES,TRANSKEI
ROSH HASHANAH,MALCOLM GLADWELL,JBL SPEAKER,BRONZE,TITANIC
HALLOWEEN,CHROMOSOME,QUANTUM COMPUTING,RIO CARNIVAL,JACK AND THE BEANSTALK
TORNADO,EMIRATES,LISBON,STOCKHOLM,SYDNEY OPERA HOUSE
RIHANNA,HOUSE OF HADES,FRANKENSTEIN,HITCHHIKER'S GUIDE TO GALAXY,THE CONSTITUTION 
WELLINGTON,CORAL REEF,FIJI,EMPIRE STATE BUILDING,LOVE LANGUAGES
VIETNAM,DEVIL'S PEAK,ALPACA,WORKERS’ DAY,SPACE RACE
SWISS ARMY KNIFE,DISGRACE,ROBERT MUGABE,RING LIGHT,TOYOTA
COLOR PURPLE,SULPHATES,AK-47,FIFA WORLD CUP,SHENZHEN
INDIA,OPPIKOPPI,GREAT BRITAIN,CHRISTMAS EVE,GREAT BARRIER REEF
XI JINPING,NARNIA,SOUTH AMERICA,AZKABAN,FATHER'S DAY
INTERNATIONAL WOMEN'S DAY,HOLOCAUST,MRI SCAN,THE WINDY CITY,THE FAULT IN OUR STARS
